; Candidate 16602
; ADRP+ADD at VM 0xfffffff009eff900 (fileoff 0x2efb900): page=0x1fd94e000 add_imm=0xe70

0xfffffff009eff880: 4bcafed0  adrp	x11, #0xfffffff007849000
0xfffffff009eff884: 6b892291  add	x11, x11, #0x8a2
0xfffffff009eff888: eb7303a9  stp	x11, x28, [sp, #0x30]
0xfffffff009eff88c: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009eff890: f90f00f9  str	x25, [sp, #0x18]
0xfffffff009eff894: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009eff898: 68cafed0  adrp	x8, #0xfffffff00784d000
0xfffffff009eff89c: 08911e91  add	x8, x8, #0x7a4
0xfffffff009eff8a0: 69428a52  mov	w9, #0x5213
0xfffffff009eff8a4: 60cafed0  adrp	x0, #0xfffffff00784d000
0xfffffff009eff8a8: 00ec1e91  add	x0, x0, #0x7bb
0xfffffff009eff8ac: e82700a9  stp	x8, x9, [sp]
0xfffffff009eff8b0: 0500fe97  bl	#0xfffffff009e7f8c4
0xfffffff009eff8b4: 36008052  mov	w22, #1
0xfffffff009eff8b8: 1f000014  b	#0xfffffff009eff934
0xfffffff009eff8bc: fc0300aa  mov	x28, x0
0xfffffff009eff8c0: 36008052  mov	w22, #1
0xfffffff009eff8c4: 28008052  mov	w8, #1
0xfffffff009eff8c8: e8f300b9  str	w8, [sp, #0xf0]
0xfffffff009eff8cc: f85f40f9  ldr	x24, [sp, #0xb8]
0xfffffff009eff8d0: 19000014  b	#0xfffffff009eff934
0xfffffff009eff8d4: a84e40f9  ldr	x8, [x21, #0x98]
0xfffffff009eff8d8: 080156b2  orr	x8, x8, #0x40000000000
0xfffffff009eff8dc: a84e00f9  str	x8, [x21, #0x98]
0xfffffff009eff8e0: 0d000014  b	#0xfffffff009eff914
0xfffffff009eff8e4: 4acafef0  adrp	x10, #0xfffffff00784a000
0xfffffff009eff8e8: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009eff8ec: ea0303a9  stp	x10, x0, [sp, #0x30]
0xfffffff009eff8f0: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009eff8f4: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff009eff8f8: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009eff8fc: e8768a52  mov	w8, #0x53b7
0xfffffff009eff900: 60cafed0  adrp	x0, #0xfffffff00784d000
0xfffffff009eff904: 00c03991  add	x0, x0, #0xe70
0xfffffff009eff908: f32300a9  stp	x19, x8, [sp]
0xfffffff009eff90c: 90ffff17  b	#0xfffffff009eff74c
0xfffffff009eff910: f85f40f9  ldr	x24, [sp, #0xb8]
0xfffffff009eff914: 1c008052  mov	w28, #0
0xfffffff009eff918: a0877bad  ldp	q0, q1, [x29, #-0x90]
0xfffffff009eff91c: 000700ad  stp	q0, q1, [x24]
0xfffffff009eff920: a003d93c  ldur	q0, [x29, #-0x70]
0xfffffff009eff924: 000b803d  str	q0, [x24, #0x20]
0xfffffff009eff928: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009eff92c: 081b00f9  str	x8, [x24, #0x30]
0xfffffff009eff930: 36008052  mov	w22, #1
0xfffffff009eff934: b38356f8  ldur	x19, [x29, #-0x98]
0xfffffff009eff938: 730500b4  cbz	x19, #0xfffffff009eff9e4
0xfffffff009eff93c: e00313aa  mov	x0, x19
0xfffffff009eff940: e10315aa  mov	x1, x21
0xfffffff009eff944: a3d6ff97  bl	#0xfffffff009ef53d0
0xfffffff009eff948: a86e4239  ldrb	w8, [x21, #0x9b]
0xfffffff009eff94c: c8000037  tbnz	w8, #0, #0xfffffff009eff964
0xfffffff009eff950: a30f40f9  ldr	x3, [x29, #0x18]
0xfffffff009eff954: e00314aa  mov	x0, x20
0xfffffff009eff958: 21008052  mov	w1, #1
0xfffffff009eff95c: e20315aa  mov	x2, x21
0xfffffff009eff960: 33aeff97  bl	#0xfffffff009eeb22c
0xfffffff009eff964: a8924279  ldrh	w8, [x21, #0x148]
0xfffffff009eff968: 680200b4  cbz	x8, #0xfffffff009eff9b4
0xfffffff009eff96c: 09008052  mov	w9, #0
0xfffffff009eff970: aaaa40f9  ldr	x10, [x21, #0x150]
0xfffffff009eff974: 4a090091  add	x10, x10, #2
0xfffffff009eff978: 4be15f38  ldurb	w11, [x10, #-2]
0xfffffff009eff97c: 7f210071  cmp	w11, #8
