; Candidate 4091
; ADRP+ADD at VM 0xfffffff0087919d0 (fileoff 0x178d9d0): page=0x1fe9a0000 add_imm=0xd90

0xfffffff008791950: 370800b4  cbz	x23, #0xfffffff008791a54
0xfffffff008791954: 68030052  eor	w8, w27, #1
0xfffffff008791958: e8070034  cbz	w8, #0xfffffff008791a54
0xfffffff00879195c: e002c03d  ldr	q0, [x23]
0xfffffff008791960: 880f8252  mov	w8, #0x107c
0xfffffff008791964: 806ba83c  str	q0, [x28, x8]
0xfffffff008791968: ec0640b9  ldr	w12, [x23, #4]
0xfffffff00879196c: a80a1d53  ubfiz	w8, w21, #3, #3
0xfffffff008791970: 09858552  mov	w9, #0x2c28
0xfffffff008791974: 8902098b  add	x9, x20, x9
0xfffffff008791978: 0a8d8552  mov	w10, #0x2c68
0xfffffff00879197c: 8a020a8b  add	x10, x20, x10
0xfffffff008791980: 4a0109eb  subs	x10, x10, x9
0xfffffff008791984: 8c030034  cbz	w12, #0xfffffff0087919f4
0xfffffff008791988: 23180054  b.lo	#0xfffffff008791c8c
0xfffffff00879198c: 4bfd60d3  lsr	x11, x10, #0x20
0xfffffff008791990: eb1700b5  cbnz	x11, #0xfffffff008791c8c
0xfffffff008791994: 0b210011  add	w11, w8, #8
0xfffffff008791998: 7f010a6b  cmp	w11, w10
0xfffffff00879199c: c8160054  b.hi	#0xfffffff008791c74
0xfffffff0087919a0: 2b4128ab  adds	x11, x9, w8, uxtw
0xfffffff0087919a4: ee379f1a  cset	w14, hs
0xfffffff0087919a8: cd014093  sbfx	x13, x14, #0, #1
0xfffffff0087919ac: ae010eca  eor	x14, x13, x14
0xfffffff0087919b0: 8e1600b5  cbnz	x14, #0xfffffff008791c80
0xfffffff0087919b4: 6d16f8b7  tbnz	x13, #0x3f, #0xfffffff008791c80
0xfffffff0087919b8: ed0240b9  ldr	w13, [x23]
0xfffffff0087919bc: 0e488852  mov	w14, #0x4240
0xfffffff0087919c0: ee01a072  movk	w14, #0xf, lsl #16
0xfffffff0087919c4: ad7d0e1b  mul	w13, w13, w14
0xfffffff0087919c8: ac09cc1a  udiv	w12, w13, w12
0xfffffff0087919cc: 17000014  b	#0xfffffff008791a28
0xfffffff0087919d0: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087919d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087919d8: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087919dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087919e0: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff0087919e4: 630c1591  add	x3, x3, #0x543
0xfffffff0087919e8: 02008052  mov	w2, #0
0xfffffff0087919ec: d185ee97  bl	#0xfffffff008333130
0xfffffff0087919f0: 93000014  b	#0xfffffff008791c3c
0xfffffff0087919f4: c3140054  b.lo	#0xfffffff008791c8c
0xfffffff0087919f8: 4bfd60d3  lsr	x11, x10, #0x20
0xfffffff0087919fc: 8b1400b5  cbnz	x11, #0xfffffff008791c8c
0xfffffff008791a00: 0b210011  add	w11, w8, #8
0xfffffff008791a04: 7f010a6b  cmp	w11, w10
0xfffffff008791a08: 68130054  b.hi	#0xfffffff008791c74
0xfffffff008791a0c: 2b4128ab  adds	x11, x9, w8, uxtw
0xfffffff008791a10: ed379f1a  cset	w13, hs
0xfffffff008791a14: ac014093  sbfx	x12, x13, #0, #1
0xfffffff008791a18: 8d010dca  eor	x13, x12, x13
0xfffffff008791a1c: 2d1300b5  cbnz	x13, #0xfffffff008791c80
0xfffffff008791a20: 0c13f8b7  tbnz	x12, #0x3f, #0xfffffff008791c80
0xfffffff008791a24: 2c008052  mov	w12, #1
0xfffffff008791a28: 6c0100b9  str	w12, [x11]
0xfffffff008791a2c: 0b210011  add	w11, w8, #8
0xfffffff008791a30: 7f010a6b  cmp	w11, w10
0xfffffff008791a34: 08120054  b.hi	#0xfffffff008791c74
0xfffffff008791a38: 284128ab  adds	x8, x9, w8, uxtw
0xfffffff008791a3c: ea379f1a  cset	w10, hs
0xfffffff008791a40: 49014093  sbfx	x9, x10, #0, #1
0xfffffff008791a44: 2a010aca  eor	x10, x9, x10
0xfffffff008791a48: ca1100b5  cbnz	x10, #0xfffffff008791c80
0xfffffff008791a4c: a911f8b7  tbnz	x9, #0x3f, #0xfffffff008791c80
