; Candidate 6653
; ADRP+ADD at VM 0xfffffff008838184 (fileoff 0x1834184): page=0x1fe9b1000 add_imm=0xe80

0xfffffff008838104: 00050034  cbz	w0, #0xfffffff0088381a4
0xfffffff008838108: 800a8052  mov	w0, #0x54
0xfffffff00883810c: c30d0194  bl	#0xfffffff00887b818
0xfffffff008838110: f70300aa  mov	x23, x0
0xfffffff008838114: 26f00194  bl	#0xfffffff0088b41ac
0xfffffff008838118: f50300aa  mov	x21, x0
0xfffffff00883811c: a0008052  mov	w0, #5
0xfffffff008838120: cc0d0194  bl	#0xfffffff00887b850
0xfffffff008838124: 97010034  cbz	w23, #0xfffffff008838154
0xfffffff008838128: 885a40b9  ldr	w8, [x20, #0x58]
0xfffffff00883812c: 097341b9  ldr	w9, [x24, #0x170]
0xfffffff008838130: e95b03a9  stp	x9, x22, [sp, #0x30]
0xfffffff008838134: f42302a9  stp	x20, x8, [sp, #0x20]
0xfffffff008838138: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff00883813c: 880a8052  mov	w8, #0x54
0xfffffff008838140: f52300a9  stp	x21, x8, [sp]
0xfffffff008838144: 404ffff0  adrp	x0, #0xfffffff007223000
0xfffffff008838148: 00a01991  add	x0, x0, #0x668
0xfffffff00883814c: c5fcd597  bl	#0xfffffff007db7460
0xfffffff008838150: 15000014  b	#0xfffffff0088381a4
0xfffffff008838154: 16f00194  bl	#0xfffffff0088b41ac
0xfffffff008838158: f50300aa  mov	x21, x0
0xfffffff00883815c: a0008052  mov	w0, #5
0xfffffff008838160: bc0d0194  bl	#0xfffffff00887b850
0xfffffff008838164: e80316aa  mov	x8, x22
0xfffffff008838168: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff00883816c: 0a7341b9  ldr	w10, [x24, #0x170]
0xfffffff008838170: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff008838174: f42702a9  stp	x20, x9, [sp, #0x20]
0xfffffff008838178: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff00883817c: 880a8052  mov	w8, #0x54
0xfffffff008838180: f52300a9  stp	x21, x8, [sp]
0xfffffff008838184: 804dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008838188: 00003a91  add	x0, x0, #0xe80
0xfffffff00883818c: 818eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008838190: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008838194: 02008052  mov	w2, #0
0xfffffff008838198: a350ffd0  adrp	x3, #0xfffffff00724e000
0xfffffff00883819c: 63a81b91  add	x3, x3, #0x6ea
0xfffffff0088381a0: e4ebeb97  bl	#0xfffffff008333130
0xfffffff0088381a4: 7b070091  add	x27, x27, #1
0xfffffff0088381a8: 885281b9  ldrsw	x8, [x20, #0x150]
0xfffffff0088381ac: 5a03198b  add	x26, x26, x25
0xfffffff0088381b0: 7f0308eb  cmp	x27, x8
0xfffffff0088381b4: 4bf3ff54  b.lt	#0xfffffff00883801c
0xfffffff0088381b8: f96347a9  ldp	x25, x24, [sp, #0x70]
0xfffffff0088381bc: 9a158052  mov	w26, #0xac
0xfffffff0088381c0: da74a572  movk	w26, #0x2ba6, lsl #16
0xfffffff0088381c4: f3030291  add	x19, sp, #0x80
0xfffffff0088381c8: e0030291  add	x0, sp, #0x80
0xfffffff0088381cc: 01008052  mov	w1, #0
0xfffffff0088381d0: 02048052  mov	w2, #0x20
0xfffffff0088381d4: 7b52d497  bl	#0xfffffff007d4cbc0
0xfffffff0088381d8: 885241b9  ldr	w8, [x20, #0x150]
0xfffffff0088381dc: 1f050071  cmp	w8, #1
0xfffffff0088381e0: 6b020054  b.lt	#0xfffffff00883822c
0xfffffff0088381e4: 090080d2  mov	x9, #0
0xfffffff0088381e8: 0a008052  mov	w10, #0
0xfffffff0088381ec: 8bc20591  add	x11, x20, #0x170
0xfffffff0088381f0: 0c499752  mov	w12, #0xba48
0xfffffff0088381f4: 6c00a072  movk	w12, #3, lsl #16
0xfffffff0088381f8: 6d0140b9  ldr	w13, [x11]
0xfffffff0088381fc: 2e090012  and	w14, w9, #7
0xfffffff008838200: cf711d53  lsl	w15, w14, #3
