; Candidate 12604
; ADRP+ADD at VM 0xfffffff0090c39b0 (fileoff 0x20bf9b0): page=0x1fe396000 add_imm=0xe24

0xfffffff0090c3930: 191dff90  adrp	x25, #0xfffffff007463000
0xfffffff0090c3934: 39d32991  add	x25, x25, #0xa74
0xfffffff0090c3938: 1f290071  cmp	w8, #0xa
0xfffffff0090c393c: a8000054  b.hi	#0xfffffff0090c3950
0xfffffff0090c3940: f96300a9  stp	x25, x24, [sp]
0xfffffff0090c3944: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3948: 00583191  add	x0, x0, #0xc56
0xfffffff0090c394c: b54dca97  bl	#0xfffffff008357020
0xfffffff0090c3950: 81920090  adrp	x1, #0xfffffff00a313000
0xfffffff0090c3954: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c3958: b0fffff0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c395c: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c3960: 519081d2  mov	x17, #0xc82
0xfffffff0090c3964: 3002c1da  pacia	x16, x17
0xfffffff0090c3968: e00310aa  mov	x0, x16
0xfffffff0090c396c: e20317aa  mov	x2, x23
0xfffffff0090c3970: e30316aa  mov	x3, x22
0xfffffff0090c3974: e40315aa  mov	x4, x21
0xfffffff0090c3978: e50314aa  mov	x5, x20
0xfffffff0090c397c: e60313aa  mov	x6, x19
0xfffffff0090c3980: e2e9ff97  bl	#0xfffffff0090be108
0xfffffff0090c3984: f30300aa  mov	x19, x0
0xfffffff0090c3988: 1f000071  cmp	w0, #0
0xfffffff0090c398c: c8088052  mov	w8, #0x46
0xfffffff0090c3990: 49018052  mov	w9, #0xa
0xfffffff0090c3994: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c3998: 49c34339  ldrb	w9, [x26, #0xf0]
0xfffffff0090c399c: 1f01096b  cmp	w8, w9
0xfffffff0090c39a0: e3000054  b.lo	#0xfffffff0090c39bc
0xfffffff0090c39a4: 687e4093  sxtw	x8, w19
0xfffffff0090c39a8: f96300a9  stp	x25, x24, [sp]
0xfffffff0090c39ac: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c39b0: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c39b4: 00903891  add	x0, x0, #0xe24
0xfffffff0090c39b8: 9a4dca97  bl	#0xfffffff008357020
0xfffffff0090c39bc: e00313aa  mov	x0, x19
0xfffffff0090c39c0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090c39c4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090c39c8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090c39cc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090c39d0: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0090c39d4: ffc30191  add	sp, sp, #0x70
0xfffffff0090c39d8: ff0f5fd6  retab	
0xfffffff0090c39dc: 7f2303d5  pacibsp	
0xfffffff0090c39e0: ffc301d1  sub	sp, sp, #0x70
0xfffffff0090c39e4: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0090c39e8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0090c39ec: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0090c39f0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0090c39f4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0090c39f8: fd830191  add	x29, sp, #0x60
0xfffffff0090c39fc: f30303aa  mov	x19, x3
0xfffffff0090c3a00: f40302aa  mov	x20, x2
0xfffffff0090c3a04: f50301aa  mov	x21, x1
0xfffffff0090c3a08: f60300aa  mov	x22, x0
0xfffffff0090c3a0c: 799200d0  adrp	x25, #0xfffffff00a311000
0xfffffff0090c3a10: 28c34339  ldrb	w8, [x25, #0xf0]
0xfffffff0090c3a14: 371dffd0  adrp	x23, #0xfffffff007469000
0xfffffff0090c3a18: f7262491  add	x23, x23, #0x909
0xfffffff0090c3a1c: 181dff90  adrp	x24, #0xfffffff007463000
0xfffffff0090c3a20: 18d32991  add	x24, x24, #0xa74
0xfffffff0090c3a24: 1f290071  cmp	w8, #0xa
0xfffffff0090c3a28: a8000054  b.hi	#0xfffffff0090c3a3c
0xfffffff0090c3a2c: f85f00a9  stp	x24, x23, [sp]
