; Candidate 11401
; ADRP+ADD at VM 0xfffffff008f25f44 (fileoff 0x1f21f44): page=0x13e6000 add_imm=0xcf0

0xfffffff008f25ec4: 080240f9  ldr	x8, [x16]
0xfffffff008f25ec8: e90310aa  mov	x9, x16
0xfffffff008f25ecc: 01008052  mov	w1, #0
0xfffffff008f25ed0: f10309aa  mov	x17, x9
0xfffffff008f25ed4: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff008f25ed8: 11093fd7  blraa	x8, x17
0xfffffff008f25edc: 609240f9  ldr	x0, [x19, #0x120]
0xfffffff008f25ee0: 100040f9  ldr	x16, [x0]
0xfffffff008f25ee4: f10300aa  mov	x17, x0
0xfffffff008f25ee8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f25eec: 301ac1da  autda	x16, x17
0xfffffff008f25ef0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008f25ef4: e90310aa  mov	x9, x16
0xfffffff008f25ef8: f10309aa  mov	x17, x9
0xfffffff008f25efc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008f25f00: 11093fd7  blraa	x8, x17
0xfffffff008f25f04: 7f9200f9  str	xzr, [x19, #0x120]
0xfffffff008f25f08: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008f25f0c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008f25f10: ff030191  add	sp, sp, #0x40
0xfffffff008f25f14: ff0f5fd6  retab	
0xfffffff008f25f18: 5f2403d5  bti	c
0xfffffff008f25f1c: 00008052  mov	w0, #0
0xfffffff008f25f20: c0035fd6  ret	
0xfffffff008f25f24: 5f2403d5  bti	c
0xfffffff008f25f28: 00008052  mov	w0, #0
0xfffffff008f25f2c: c0035fd6  ret	
0xfffffff008f25f30: 5f2403d5  bti	c
0xfffffff008f25f34: f0f9ce17  b	#0xfffffff0082e46f4
0xfffffff008f25f38: 7f2303d5  pacibsp	
0xfffffff008f25f3c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f25f40: fd030091  mov	x29, sp
0xfffffff008f25f44: 209f00d0  adrp	x0, #0xfffffff00a30b000
0xfffffff008f25f48: 00c03391  add	x0, x0, #0xcf0
0xfffffff008f25f4c: 6127ffb0  adrp	x1, #0xfffffff007412000
0xfffffff008f25f50: 21bc2191  add	x1, x1, #0x86f
0xfffffff008f25f54: 825ffff0  adrp	x2, #0xfffffff007b18000
0xfffffff008f25f58: 425444f9  ldr	x2, [x2, #0x8a8]
0xfffffff008f25f5c: 032a8052  mov	w3, #0x150
0xfffffff008f25f60: f6f6ce97  bl	#0xfffffff0082e3b38
0xfffffff008f25f64: b05ffff0  adrp	x16, #0xfffffff007b1c000
0xfffffff008f25f68: 10c22b91  add	x16, x16, #0xaf0
0xfffffff008f25f6c: 10420091  add	x16, x16, #0x10
0xfffffff008f25f70: f10300aa  mov	x17, x0
0xfffffff008f25f74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f25f78: 300ac1da  pacda	x16, x17
0xfffffff008f25f7c: 100000f9  str	x16, [x0]
0xfffffff008f25f80: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f25f84: ff0f5fd6  retab	
0xfffffff008f25f88: 5f2403d5  bti	c
0xfffffff008f25f8c: 209f00d0  adrp	x0, #0xfffffff00a30b000
0xfffffff008f25f90: 00c03391  add	x0, x0, #0xcf0
0xfffffff008f25f94: d8f9ce17  b	#0xfffffff0082e46f4
0xfffffff008f25f98: 7f2303d5  pacibsp	
0xfffffff008f25f9c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f25fa0: fd030091  mov	x29, sp
0xfffffff008f25fa4: 6127ffb0  adrp	x1, #0xfffffff007412000
0xfffffff008f25fa8: 21c83191  add	x1, x1, #0xc72
0xfffffff008f25fac: 825ffff0  adrp	x2, #0xfffffff007b18000
0xfffffff008f25fb0: 425c44f9  ldr	x2, [x2, #0x8b8]
0xfffffff008f25fb4: 03068052  mov	w3, #0x30
0xfffffff008f25fb8: e0f6ce97  bl	#0xfffffff0082e3b38
0xfffffff008f25fbc: b05ffff0  adrp	x16, #0xfffffff007b1c000
0xfffffff008f25fc0: 10023291  add	x16, x16, #0xc80
