; Candidate 9120
; ADRP+ADD at VM 0xfffffff0089f968c (fileoff 0x19f568c): page=0x1fe89b000 add_imm=0xdf4

0xfffffff0089f960c: 688241b9  ldr	w8, [x19, #0x180]
0xfffffff0089f9610: 0800088b  add	x8, x0, x8
0xfffffff0089f9614: 090100eb  subs	x9, x8, x0
0xfffffff0089f9618: 63040054  b.lo	#0xfffffff0089f96a4
0xfffffff0089f961c: 28fd60d3  lsr	x8, x9, #0x20
0xfffffff0089f9620: 280400b5  cbnz	x8, #0xfffffff0089f96a4
0xfffffff0089f9624: 60a618a9  stp	x0, x9, [x19, #0x188]
0xfffffff0089f9628: 696a40f9  ldr	x9, [x19, #0xd0]
0xfffffff0089f962c: 6aba40b9  ldr	w10, [x19, #0xb8]
0xfffffff0089f9630: 6b5a40f9  ldr	x11, [x19, #0xb0]
0xfffffff0089f9634: 6cba40f9  ldr	x12, [x19, #0x170]
0xfffffff0089f9638: 6a310a9b  madd	x10, x11, x10, x12
0xfffffff0089f963c: 4a0500d1  sub	x10, x10, #1
0xfffffff0089f9640: 4a09cc9a  udiv	x10, x10, x12
0xfffffff0089f9644: 3f010aeb  cmp	x9, x10
0xfffffff0089f9648: 29818a9a  csel	x9, x9, x10, hi
0xfffffff0089f964c: 69ce00f9  str	x9, [x19, #0x198]
0xfffffff0089f9650: e00308aa  mov	x0, x8
0xfffffff0089f9654: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0089f9658: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0089f965c: ff430191  add	sp, sp, #0x50
0xfffffff0089f9660: ff0f5fd6  retab	
0xfffffff0089f9664: e844ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f9668: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f966c: a9e38052  mov	w9, #0x71d
0xfffffff0089f9670: ca44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f9674: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f9678: eb44ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f967c: 6bf12f91  add	x11, x11, #0xbfc
0xfffffff0089f9680: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f9684: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f9688: eb0300f9  str	x11, [sp]
0xfffffff0089f968c: c044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089f9690: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f9694: 73f7ce97  bl	#0xfffffff007db7460
0xfffffff0089f9698: c8578052  mov	w8, #0x2be
0xfffffff0089f969c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0089f96a0: ecffff17  b	#0xfffffff0089f9650
0xfffffff0089f96a4: e044ffb0  adrp	x0, #0xfffffff007296000
0xfffffff0089f96a8: 00f40591  add	x0, x0, #0x17d
0xfffffff0089f96ac: 1e060094  bl	#0xfffffff0089faf24
0xfffffff0089f96b0: 7f2303d5  pacibsp	
0xfffffff0089f96b4: ff0302d1  sub	sp, sp, #0x80
0xfffffff0089f96b8: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0089f96bc: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0089f96c0: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0089f96c4: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0089f96c8: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0089f96cc: fdc30191  add	x29, sp, #0x70
0xfffffff0089f96d0: f70303aa  mov	x23, x3
0xfffffff0089f96d4: f50302aa  mov	x21, x2
0xfffffff0089f96d8: f30300aa  mov	x19, x0
0xfffffff0089f96dc: d4578052  mov	w20, #0x2be
0xfffffff0089f96e0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0089f96e4: f7010094  bl	#0xfffffff0089f9ec0
0xfffffff0089f96e8: 80240036  tbz	w0, #0, #0xfffffff0089f9b78
0xfffffff0089f96ec: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff0089f96f0: ce140094  bl	#0xfffffff0089fea28
0xfffffff0089f96f4: 604a00f9  str	x0, [x19, #0x90]
0xfffffff0089f96f8: a93240b9  ldr	w9, [x21, #0x30]
0xfffffff0089f96fc: 69be00b9  str	w9, [x19, #0xbc]
0xfffffff0089f9700: aa3640b9  ldr	w10, [x21, #0x34]
0xfffffff0089f9704: 6ac600b9  str	w10, [x19, #0xc4]
0xfffffff0089f9708: ab724079  ldrh	w11, [x21, #0x38]
