; Candidate 8901
; ADRP+ADD at VM 0xfffffff0088eb8e8 (fileoff 0x18e78e8): page=0x1fe983000 add_imm=0xd14

0xfffffff0088eb868: 1706f8b7  tbnz	x23, #0x3f, #0xfffffff0088eb928
0xfffffff0088eb86c: fbfe60d3  lsr	x27, x23, #0x20
0xfffffff0088eb870: 69230011  add	w9, w27, #8
0xfffffff0088eb874: 3f01176b  cmp	w9, w23
0xfffffff0088eb878: 88050054  b.hi	#0xfffffff0088eb928
0xfffffff0088eb87c: 000140f9  ldr	x0, [x8]
0xfffffff0088eb880: 100040f9  ldr	x16, [x0]
0xfffffff0088eb884: f10300aa  mov	x17, x0
0xfffffff0088eb888: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088eb88c: 301ac1da  autda	x16, x17
0xfffffff0088eb890: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0088eb894: e90310aa  mov	x9, x16
0xfffffff0088eb898: 010080d2  mov	x1, #0
0xfffffff0088eb89c: 020080d2  mov	x2, #0
0xfffffff0088eb8a0: 030080d2  mov	x3, #0
0xfffffff0088eb8a4: f10309aa  mov	x17, x9
0xfffffff0088eb8a8: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff0088eb8ac: 11093fd7  blraa	x8, x17
0xfffffff0088eb8b0: e0000034  cbz	w0, #0xfffffff0088eb8cc
0xfffffff0088eb8b4: f50300aa  mov	x21, x0
0xfffffff0088eb8b8: f80300f9  str	x24, [sp]
0xfffffff0088eb8bc: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb8c0: 009c2d91  add	x0, x0, #0xb67
0xfffffff0088eb8c4: d7ade997  bl	#0xfffffff008357020
0xfffffff0088eb8c8: f30315aa  mov	x19, x21
0xfffffff0088eb8cc: 18070011  add	w24, w24, #1
0xfffffff0088eb8d0: e8fe9f92  mov	x8, #-0xfff8
0xfffffff0088eb8d4: 0800b0f2  movk	x8, #0x8000, lsl #16
0xfffffff0088eb8d8: 6803088b  add	x8, x27, x8
0xfffffff0088eb8dc: f7021c8b  add	x23, x23, x28
0xfffffff0088eb8e0: 1f0114eb  cmp	x8, x20
0xfffffff0088eb8e4: e8faff54  b.hi	#0xfffffff0088eb840
0xfffffff0088eb8e8: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb8ec: 00503491  add	x0, x0, #0xd14
0xfffffff0088eb8f0: 16000094  bl	#0xfffffff0088eb948
0xfffffff0088eb8f4: 13008052  mov	w19, #0
0xfffffff0088eb8f8: e00313aa  mov	x0, x19
0xfffffff0088eb8fc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088eb900: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088eb904: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088eb908: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088eb90c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0088eb910: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0088eb914: ff030291  add	sp, sp, #0x80
0xfffffff0088eb918: ff0f5fd6  retab	
0xfffffff0088eb91c: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb920: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088eb924: 09000094  bl	#0xfffffff0088eb948
0xfffffff0088eb928: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb92c: 00603691  add	x0, x0, #0xd98
0xfffffff0088eb930: 06000094  bl	#0xfffffff0088eb948
0xfffffff0088eb934: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb938: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088eb93c: 03000094  bl	#0xfffffff0088eb948
0xfffffff0088eb940: 5f2403d5  bti	c
0xfffffff0088eb944: 6ce3e717  b	#0xfffffff0082e46f4
0xfffffff0088eb948: 7f2303d5  pacibsp	
0xfffffff0088eb94c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0088eb950: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0088eb954: fd830091  add	x29, sp, #0x20
0xfffffff0088eb958: a8068052  mov	w8, #0x35
0xfffffff0088eb95c: 094cfff0  adrp	x9, #0xfffffff00726e000
0xfffffff0088eb960: 29652f91  add	x9, x9, #0xbd9
0xfffffff0088eb964: e9a300a9  stp	x9, x8, [sp, #8]
