; Candidate 7147
; ADRP+ADD at VM 0xfffffff00885aeb8 (fileoff 0x1856eb8): page=0x1fe98f000 add_imm=0xe80

0xfffffff00885ae38: e0008052  mov	w0, #7
0xfffffff00885ae3c: 85820094  bl	#0xfffffff00887b850
0xfffffff00885ae40: a8a641a9  ldp	x8, x9, [x21, #0x18]
0xfffffff00885ae44: aa4280b9  ldrsw	x10, [x21, #0x40]
0xfffffff00885ae48: 0b0b0a8b  add	x11, x24, x10, lsl #2
0xfffffff00885ae4c: 6b1540b9  ldr	w11, [x11, #0x14]
0xfffffff00885ae50: ec0316aa  mov	x12, x22
0xfffffff00885ae54: 6d4240b9  ldr	w13, [x19, #0x40]
0xfffffff00885ae58: 8e1a40b9  ldr	w14, [x20, #0x18]
0xfffffff00885ae5c: 2f5b40b9  ldr	w15, [x25, #0x58]
0xfffffff00885ae60: b01240b9  ldr	w16, [x21, #0x10]
0xfffffff00885ae64: b12a40b9  ldr	w17, [x21, #0x28]
0xfffffff00885ae68: 01c740b9  ldr	w1, [x24, #0xc4]
0xfffffff00885ae6c: eb330aa9  stp	x11, x12, [sp, #0xa0]
0xfffffff00885ae70: e12b09a9  stp	x1, x10, [sp, #0x90]
0xfffffff00885ae74: e96308a9  stp	x9, x24, [sp, #0x80]
0xfffffff00885ae78: e84707a9  stp	x8, x17, [sp, #0x70]
0xfffffff00885ae7c: f54306a9  stp	x21, x16, [sp, #0x60]
0xfffffff00885ae80: f93f05a9  stp	x25, x15, [sp, #0x50]
0xfffffff00885ae84: f43b04a9  stp	x20, x14, [sp, #0x40]
0xfffffff00885ae88: f33703a9  stp	x19, x13, [sp, #0x30]
0xfffffff00885ae8c: c8748152  mov	w8, #0xba6
0xfffffff00885ae90: 494effb0  adrp	x9, #0xfffffff007223000
0xfffffff00885ae94: 29552691  add	x9, x9, #0x995
0xfffffff00885ae98: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885ae9c: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885aea0: 08811191  add	x8, x8, #0x460
0xfffffff00885aea4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885aea8: 880c8052  mov	w8, #0x64
0xfffffff00885aeac: c34fffd0  adrp	x3, #0xfffffff007254000
0xfffffff00885aeb0: 63103091  add	x3, x3, #0xc04
0xfffffff00885aeb4: f72300a9  stp	x23, x8, [sp]
0xfffffff00885aeb8: 604cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885aebc: 00003a91  add	x0, x0, #0xe80
0xfffffff00885aec0: 618dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885aec4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885aec8: 02008052  mov	w2, #0
0xfffffff00885aecc: 9960eb97  bl	#0xfffffff008333130
0xfffffff00885aed0: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff00885aed4: 1f210071  cmp	w8, #8
0xfffffff00885aed8: c1170054  b.ne	#0xfffffff00885b1d0
0xfffffff00885aedc: 28cf4491  add	x8, x25, #0x133, lsl #12
0xfffffff00885aee0: 08411891  add	x8, x8, #0x610
0xfffffff00885aee4: 000140f9  ldr	x0, [x8]
0xfffffff00885aee8: 401700b4  cbz	x0, #0xfffffff00885b1d0
0xfffffff00885aeec: 080540f9  ldr	x8, [x8, #8]
0xfffffff00885aef0: 081700b4  cbz	x8, #0xfffffff00885b1d0
0xfffffff00885aef4: 01c740b9  ldr	w1, [x24, #0xc4]
0xfffffff00885aef8: 62008052  mov	w2, #3
0xfffffff00885aefc: 001a0194  bl	#0xfffffff0088a16fc
0xfffffff00885af00: 00040034  cbz	w0, #0xfffffff00885af80
0xfffffff00885af04: f70300aa  mov	x23, x0
0xfffffff00885af08: 800c8052  mov	w0, #0x64
0xfffffff00885af0c: 81008052  mov	w1, #4
0xfffffff00885af10: 30820094  bl	#0xfffffff00887b7d0
0xfffffff00885af14: 801a0034  cbz	w0, #0xfffffff00885b264
0xfffffff00885af18: 800c8052  mov	w0, #0x64
0xfffffff00885af1c: 3f820094  bl	#0xfffffff00887b818
0xfffffff00885af20: fa0300aa  mov	x26, x0
0xfffffff00885af24: a2640194  bl	#0xfffffff0088b41ac
0xfffffff00885af28: f90300aa  mov	x25, x0
0xfffffff00885af2c: 80008052  mov	w0, #4
0xfffffff00885af30: 48820094  bl	#0xfffffff00887b850
0xfffffff00885af34: fa070034  cbz	w26, #0xfffffff00885b030
