; Candidate 8233
; ADRP+ADD at VM 0xfffffff00889e0b4 (fileoff 0x189a0b4): page=0x1fe94b000 add_imm=0xe80

0xfffffff00889e034: 8a000034  cbz	w10, #0xfffffff00889e044
0xfffffff00889e038: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff00889e03c: 3f010aeb  cmp	x9, x10
0xfffffff00889e040: 4d000054  b.le	#0xfffffff00889e048
0xfffffff00889e044: 690a00f9  str	x9, [x19, #0x10]
0xfffffff00889e048: 09a941b9  ldr	w9, [x8, #0x1a8]
0xfffffff00889e04c: 290c0034  cbz	w9, #0xfffffff00889e1d0
0xfffffff00889e050: 1c008052  mov	w28, #0
0xfffffff00889e054: 680e00f9  str	x8, [x19, #0x18]
0xfffffff00889e058: 7e000014  b	#0xfffffff00889e250
0xfffffff00889e05c: 54580094  bl	#0xfffffff0088b41ac
0xfffffff00889e060: fc0300aa  mov	x28, x0
0xfffffff00889e064: 80008052  mov	w0, #4
0xfffffff00889e068: fa75ff97  bl	#0xfffffff00887b850
0xfffffff00889e06c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889e070: 690240b9  ldr	w9, [x19]
0xfffffff00889e074: e8ef04a9  stp	x8, x27, [sp, #0x48]
0xfffffff00889e078: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff00889e07c: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e080: 0a4d3191  add	x10, x8, #0xc53
0xfffffff00889e084: 684a8052  mov	w8, #0x253
0xfffffff00889e088: a94bff90  adrp	x9, #0xfffffff007212000
0xfffffff00889e08c: 29a92f91  add	x9, x9, #0xbea
0xfffffff00889e090: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889e094: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e098: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e09c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889e0a0: a80f8052  mov	w8, #0x7d
0xfffffff00889e0a4: 034effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889e0a8: 63142d91  add	x3, x3, #0xb45
0xfffffff00889e0ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889e0b0: fc0300f9  str	x28, [sp]
0xfffffff00889e0b4: 404afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889e0b8: 00003a91  add	x0, x0, #0xe80
0xfffffff00889e0bc: 418bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889e0c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889e0c4: 02008052  mov	w2, #0
0xfffffff00889e0c8: 1a54ea97  bl	#0xfffffff008333130
0xfffffff00889e0cc: 5d000014  b	#0xfffffff00889e240
0xfffffff00889e0d0: 37580094  bl	#0xfffffff0088b41ac
0xfffffff00889e0d4: fc0300aa  mov	x28, x0
0xfffffff00889e0d8: 80008052  mov	w0, #4
0xfffffff00889e0dc: dd75ff97  bl	#0xfffffff00887b850
0xfffffff00889e0e0: eb031baa  mov	x11, x27
0xfffffff00889e0e4: e8030baa  mov	x8, x11
0xfffffff00889e0e8: 690240b9  ldr	w9, [x19]
0xfffffff00889e0ec: ea0314aa  mov	x10, x20
0xfffffff00889e0f0: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff00889e0f4: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff00889e0f8: 884bffd0  adrp	x8, #0xfffffff007210000
0xfffffff00889e0fc: 08b92791  add	x8, x8, #0x9ee
0xfffffff00889e100: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889e104: c8488052  mov	w8, #0x246
0xfffffff00889e108: a94bff90  adrp	x9, #0xfffffff007212000
0xfffffff00889e10c: 29a92f91  add	x9, x9, #0xbea
0xfffffff00889e110: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889e114: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e118: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e11c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889e120: a80f8052  mov	w8, #0x7d
0xfffffff00889e124: 034effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889e128: 63f82a91  add	x3, x3, #0xabe
0xfffffff00889e12c: fc2300a9  stp	x28, x8, [sp]
0xfffffff00889e130: fc031baa  mov	x28, x27
