; Candidate 7183
; ADRP+ADD at VM 0xfffffff00885dc88 (fileoff 0x1859c88): page=0x1fe98c000 add_imm=0xe80

0xfffffff00885dc08: f72300a9  stp	x23, x8, [sp]
0xfffffff00885dc0c: 1566d597  bl	#0xfffffff007db7460
0xfffffff00885dc10: 6a000014  b	#0xfffffff00885ddb8
0xfffffff00885dc14: e13f40f9  ldr	x1, [sp, #0x78]
0xfffffff00885dc18: 282840b9  ldr	w8, [x1, #0x28]
0xfffffff00885dc1c: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff00885dc20: 282800b9  str	w8, [x1, #0x28]
0xfffffff00885dc24: 3f3000f9  str	xzr, [x1, #0x60]
0xfffffff00885dc28: e00314aa  mov	x0, x20
0xfffffff00885dc2c: 02008052  mov	w2, #0
0xfffffff00885dc30: 236dfe97  bl	#0xfffffff0087f90bc
0xfffffff00885dc34: f50300aa  mov	x21, x0
0xfffffff00885dc38: 40e0ff35  cbnz	w0, #0xfffffff00885d840
0xfffffff00885dc3c: 05ffff17  b	#0xfffffff00885d850
0xfffffff00885dc40: 5b590194  bl	#0xfffffff0088b41ac
0xfffffff00885dc44: f50300aa  mov	x21, x0
0xfffffff00885dc48: 80008052  mov	w0, #4
0xfffffff00885dc4c: 01770094  bl	#0xfffffff00887b850
0xfffffff00885dc50: c8c640b9  ldr	w8, [x22, #0xc4]
0xfffffff00885dc54: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff00885dc58: 894dfff0  adrp	x9, #0xfffffff007210000
0xfffffff00885dc5c: 2ab92791  add	x10, x9, #0x9ee
0xfffffff00885dc60: c8328052  mov	w8, #0x196
0xfffffff00885dc64: 494effd0  adrp	x9, #0xfffffff007227000
0xfffffff00885dc68: 29c11f91  add	x9, x9, #0x7f0
0xfffffff00885dc6c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885dc70: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885dc74: 08811191  add	x8, x8, #0x460
0xfffffff00885dc78: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885dc7c: 880c8052  mov	w8, #0x64
0xfffffff00885dc80: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885dc84: f50300f9  str	x21, [sp]
0xfffffff00885dc88: 604cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00885dc8c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885dc90: 418dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885dc94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885dc98: c34fff90  adrp	x3, #0xfffffff007255000
0xfffffff00885dc9c: 63041591  add	x3, x3, #0x541
0xfffffff00885dca0: 02008052  mov	w2, #0
0xfffffff00885dca4: 2355eb97  bl	#0xfffffff008333130
0xfffffff00885dca8: 44000014  b	#0xfffffff00885ddb8
0xfffffff00885dcac: 400340f9  ldr	x0, [x26]
0xfffffff00885dcb0: 400000b4  cbz	x0, #0xfffffff00885dcb8
0xfffffff00885dcb4: 12b70094  bl	#0xfffffff00888b8fc
0xfffffff00885dcb8: 3d590194  bl	#0xfffffff0088b41ac
0xfffffff00885dcbc: f50300aa  mov	x21, x0
0xfffffff00885dcc0: 80008052  mov	w0, #4
0xfffffff00885dcc4: e3760094  bl	#0xfffffff00887b850
0xfffffff00885dcc8: f60300aa  mov	x22, x0
0xfffffff00885dccc: f88340b9  ldr	w24, [sp, #0x80]
0xfffffff00885dcd0: 400340f9  ldr	x0, [x26]
0xfffffff00885dcd4: 400000b4  cbz	x0, #0xfffffff00885dcdc
0xfffffff00885dcd8: 09b70094  bl	#0xfffffff00888b8fc
0xfffffff00885dcdc: f80304a9  stp	x24, x0, [sp, #0x40]
0xfffffff00885dce0: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885dce4: 08152191  add	x8, x8, #0x845
0xfffffff00885dce8: e85f03a9  stp	x8, x23, [sp, #0x30]
0xfffffff00885dcec: a82d8052  mov	w8, #0x16d
0xfffffff00885dcf0: 494effd0  adrp	x9, #0xfffffff007227000
0xfffffff00885dcf4: 29c11f91  add	x9, x9, #0x7f0
0xfffffff00885dcf8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885dcfc: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885dd00: 08811191  add	x8, x8, #0x460
0xfffffff00885dd04: f62301a9  stp	x22, x8, [sp, #0x10]
