; Candidate 1055
; ADRP+ADD at VM 0xfffffff0081d4a84 (fileoff 0x11d0a84): page=0x1feeb0000 add_imm=0xe0a

0xfffffff0081d4a04: 00010034  cbz	w0, #0xfffffff0081d4a24
0xfffffff0081d4a08: 16000014  b	#0xfffffff0081d4a60
0xfffffff0081d4a0c: 010080d2  mov	x1, #0
0xfffffff0081d4a10: e00315aa  mov	x0, x21
0xfffffff0081d4a14: e20316aa  mov	x2, x22
0xfffffff0081d4a18: 430c8052  mov	w3, #0x62
0xfffffff0081d4a1c: c9d1f397  bl	#0xfffffff007ec9140
0xfffffff0081d4a20: 00020035  cbnz	w0, #0xfffffff0081d4a60
0xfffffff0081d4a24: e00313aa  mov	x0, x19
0xfffffff0081d4a28: e10316aa  mov	x1, x22
0xfffffff0081d4a2c: 25000094  bl	#0xfffffff0081d4ac0
0xfffffff0081d4a30: 00008052  mov	w0, #0
0xfffffff0081d4a34: d502158b  add	x21, x22, x21
0xfffffff0081d4a38: 9402164b  sub	w20, w20, w22
0xfffffff0081d4a3c: 9f020071  cmp	w20, #0
0xfffffff0081d4a40: ece8ff54  b.gt	#0xfffffff0081d475c
0xfffffff0081d4a44: 02000014  b	#0xfffffff0081d4a4c
0xfffffff0081d4a48: 00008052  mov	w0, #0
0xfffffff0081d4a4c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0081d4a50: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0081d4a54: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0081d4a58: ff430191  add	sp, sp, #0x50
0xfffffff0081d4a5c: ff0f5fd6  retab	
0xfffffff0081d4a60: c0018052  mov	w0, #0xe
0xfffffff0081d4a64: faffff17  b	#0xfffffff0081d4a4c
0xfffffff0081d4a68: c8148052  mov	w8, #0xa6
0xfffffff0081d4a6c: 8975ff90  adrp	x9, #0xfffffff007084000
0xfffffff0081d4a70: 29653491  add	x9, x9, #0xd19
0xfffffff0081d4a74: 8a75ff90  adrp	x10, #0xfffffff007084000
0xfffffff0081d4a78: 4aa93891  add	x10, x10, #0xe2a
0xfffffff0081d4a7c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081d4a80: ea0300f9  str	x10, [sp]
0xfffffff0081d4a84: 8075ff90  adrp	x0, #0xfffffff007084000
0xfffffff0081d4a88: 00283891  add	x0, x0, #0xe0a
0xfffffff0081d4a8c: a0fe0a94  bl	#0xfffffff00849450c
0xfffffff0081d4a90: 0c000000  udf	#0xc
0xfffffff0081d4a94: 0c000000  udf	#0xc
0xfffffff0081d4a98: ac000000  udf	#0xac
0xfffffff0081d4a9c: 58000000  udf	#0x58
0xfffffff0081d4aa0: 24010000  udf	#0x124
0xfffffff0081d4aa4: 0c000000  udf	#0xc
0xfffffff0081d4aa8: 0c000000  udf	#0xc
0xfffffff0081d4aac: 58000000  udf	#0x58
0xfffffff0081d4ab0: 0c000000  udf	#0xc
0xfffffff0081d4ab4: 0c000000  udf	#0xc
0xfffffff0081d4ab8: 58000000  udf	#0x58
0xfffffff0081d4abc: ac000000  udf	#0xac
0xfffffff0081d4ac0: 7f2303d5  pacibsp	
0xfffffff0081d4ac4: ffc300d1  sub	sp, sp, #0x30
0xfffffff0081d4ac8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0081d4acc: fd830091  add	x29, sp, #0x20
0xfffffff0081d4ad0: 601800b4  cbz	x0, #0xfffffff0081d4ddc
0xfffffff0081d4ad4: 091440b9  ldr	w9, [x0, #0x14]
0xfffffff0081d4ad8: 3f050071  cmp	w9, #1
0xfffffff0081d4adc: 0b180054  b.lt	#0xfffffff0081d4ddc
0xfffffff0081d4ae0: 082040b9  ldr	w8, [x0, #0x20]
0xfffffff0081d4ae4: 1f2d0071  cmp	w8, #0xb
0xfffffff0081d4ae8: 08180054  b.hi	#0xfffffff0081d4de8
0xfffffff0081d4aec: 2a008052  mov	w10, #1
0xfffffff0081d4af0: 4821c81a  lsl	w8, w10, w8
0xfffffff0081d4af4: 6afd8052  mov	w10, #0x7eb
0xfffffff0081d4af8: 1f010a6a  tst	w8, w10
0xfffffff0081d4afc: 40020054  b.eq	#0xfffffff0081d4b44
0xfffffff0081d4b00: 100040f9  ldr	x16, [x0]
