; Candidate 3481
; ADRP+ADD at VM 0xfffffff00874170c (fileoff 0x173d70c): page=0x1fe9f0000 add_imm=0xd90

0xfffffff00874168c: 089802b9  str	w8, [x0, #0x298]
0xfffffff008741690: 1f050071  cmp	w8, #1
0xfffffff008741694: 69000054  b.ls	#0xfffffff0087416a0
0xfffffff008741698: 14008052  mov	w20, #0
0xfffffff00874169c: 27000014  b	#0xfffffff008741738
0xfffffff0087416a0: f30300aa  mov	x19, x0
0xfffffff0087416a4: 14d471b9  ldr	w20, [x0, #0x31d4]
0xfffffff0087416a8: 08a841b9  ldr	w8, [x0, #0x1a8]
0xfffffff0087416ac: 1f050071  cmp	w8, #1
0xfffffff0087416b0: 840a407a  ccmp	w20, #0, #4, eq
0xfffffff0087416b4: 20010054  b.eq	#0xfffffff0087416d8
0xfffffff0087416b8: 35008052  mov	w21, #1
0xfffffff0087416bc: 20008052  mov	w0, #1
0xfffffff0087416c0: 4a56f097  bl	#0xfffffff008356fe8
0xfffffff0087416c4: 68aa41b9  ldr	w8, [x19, #0x1a8]
0xfffffff0087416c8: 1f050071  cmp	w8, #1
0xfffffff0087416cc: a202547a  ccmp	w21, w20, #2, eq
0xfffffff0087416d0: b5060011  add	w21, w21, #1
0xfffffff0087416d4: 43ffff54  b.lo	#0xfffffff0087416bc
0xfffffff0087416d8: 60ca40f9  ldr	x0, [x19, #0x190]
0xfffffff0087416dc: fca8d997  bl	#0xfffffff007dabacc
0xfffffff0087416e0: 28008052  mov	w8, #1
0xfffffff0087416e4: 68920739  strb	w8, [x19, #0x1e4]
0xfffffff0087416e8: e00313aa  mov	x0, x19
0xfffffff0087416ec: 99050094  bl	#0xfffffff008742d50
0xfffffff0087416f0: 14008052  mov	w20, #0
0xfffffff0087416f4: 7f920739  strb	wzr, [x19, #0x1e4]
0xfffffff0087416f8: 1f380371  cmp	w0, #0xce
0xfffffff0087416fc: a1010054  b.ne	#0xfffffff008741730
0xfffffff008741700: a850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008741704: 08212e91  add	x8, x8, #0xb88
0xfffffff008741708: e80300f9  str	x8, [sp]
0xfffffff00874170c: 804fff90  adrp	x0, #0xfffffff007131000
0xfffffff008741710: 00403691  add	x0, x0, #0xd90
0xfffffff008741714: e195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008741718: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874171c: e34fff90  adrp	x3, #0xfffffff00713d000
0xfffffff008741720: 637c1191  add	x3, x3, #0x45f
0xfffffff008741724: 02008052  mov	w2, #0
0xfffffff008741728: 82c6ef97  bl	#0xfffffff008333130
0xfffffff00874172c: d4198052  mov	w20, #0xce
0xfffffff008741730: 60ca40f9  ldr	x0, [x19, #0x190]
0xfffffff008741734: 02acd997  bl	#0xfffffff007dac73c
0xfffffff008741738: e00314aa  mov	x0, x20
0xfffffff00874173c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008741740: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008741744: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008741748: ff030191  add	sp, sp, #0x40
0xfffffff00874174c: ff0f5fd6  retab	
0xfffffff008741750: 7f2303d5  pacibsp	
0xfffffff008741754: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008741758: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00874175c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008741760: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008741764: fdc30091  add	x29, sp, #0x30
0xfffffff008741768: f30300aa  mov	x19, x0
0xfffffff00874176c: d5dc00b0  adrp	x21, #0xfffffff00a2da000
0xfffffff008741770: a8da49b9  ldr	w8, [x21, #0x9d8]
0xfffffff008741774: e8010034  cbz	w8, #0xfffffff0087417b0
0xfffffff008741778: 160080d2  mov	x22, #0
0xfffffff00874177c: 770e168b  add	x23, x19, x22, lsl #3
0xfffffff008741780: e05e40f9  ldr	x0, [x23, #0xb8]
0xfffffff008741784: 41340094  bl	#0xfffffff00874e888
0xfffffff008741788: f40300aa  mov	x20, x0
