; Candidate 8262
; ADRP+ADD at VM 0xfffffff00889f780 (fileoff 0x189b780): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889f700: f82301a9  stp	x24, x8, [sp, #0x10]
0xfffffff00889f704: a80f8052  mov	w8, #0x7d
0xfffffff00889f708: f72300a9  stp	x23, x8, [sp]
0xfffffff00889f70c: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f710: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f714: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f718: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f71c: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f720: 63483491  add	x3, x3, #0xd12
0xfffffff00889f724: 02008052  mov	w2, #0
0xfffffff00889f728: 824eea97  bl	#0xfffffff008333130
0xfffffff00889f72c: 16008052  mov	w22, #0
0xfffffff00889f730: 950200f9  str	x21, [x20]
0xfffffff00889f734: 36000014  b	#0xfffffff00889f80c
0xfffffff00889f738: 9d520094  bl	#0xfffffff0088b41ac
0xfffffff00889f73c: f50300aa  mov	x21, x0
0xfffffff00889f740: 80008052  mov	w0, #4
0xfffffff00889f744: 4370ff97  bl	#0xfffffff00887b850
0xfffffff00889f748: 680240b9  ldr	w8, [x19]
0xfffffff00889f74c: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889f750: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f754: 082d3591  add	x8, x8, #0xd4b
0xfffffff00889f758: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889f75c: 08568052  mov	w8, #0x2b0
0xfffffff00889f760: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f764: 29f53491  add	x9, x9, #0xd3d
0xfffffff00889f768: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f76c: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f770: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f774: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889f778: a80f8052  mov	w8, #0x7d
0xfffffff00889f77c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f780: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f784: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f788: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f78c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f790: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f794: 63e03191  add	x3, x3, #0xc78
0xfffffff00889f798: 02008052  mov	w2, #0
0xfffffff00889f79c: 654eea97  bl	#0xfffffff008333130
0xfffffff00889f7a0: 167d8012  mov	w22, #-0x3e9
0xfffffff00889f7a4: 1a000014  b	#0xfffffff00889f80c
0xfffffff00889f7a8: 81520094  bl	#0xfffffff0088b41ac
0xfffffff00889f7ac: f50300aa  mov	x21, x0
0xfffffff00889f7b0: a0008052  mov	w0, #5
0xfffffff00889f7b4: 2770ff97  bl	#0xfffffff00887b850
0xfffffff00889f7b8: 680240b9  ldr	w8, [x19]
0xfffffff00889f7bc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00889f7c0: 68578052  mov	w8, #0x2bb
0xfffffff00889f7c4: 894cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889f7c8: 29f53491  add	x9, x9, #0xd3d
0xfffffff00889f7cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889f7d0: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f7d4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f7d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889f7dc: a80f8052  mov	w8, #0x7d
0xfffffff00889f7e0: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f7e4: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f7e8: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f7ec: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f7f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f7f4: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f7f8: 637c3391  add	x3, x3, #0xcdf
0xfffffff00889f7fc: 02008052  mov	w2, #0
