; Candidate 5063
; ADRP+ADD at VM 0xfffffff0087d5a44 (fileoff 0x17d1a44): page=0x1fea14000 add_imm=0xe80

0xfffffff0087d59c4: e00314aa  mov	x0, x20
0xfffffff0087d59c8: cdd70294  bl	#0xfffffff00888b8fc
0xfffffff0087d59cc: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d59d0: 08a52d91  add	x8, x8, #0xb69
0xfffffff0087d59d4: 69038052  mov	w9, #0x1b
0xfffffff0087d59d8: e88302a9  stp	x8, x0, [sp, #0x28]
0xfffffff0087d59dc: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d59e0: 08892c91  add	x8, x8, #0xb22
0xfffffff0087d59e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d59e8: 68008052  mov	w8, #3
0xfffffff0087d59ec: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff0087d59f0: f30300f9  str	x19, [sp]
0xfffffff0087d59f4: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d59f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d59fc: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5a00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5a04: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d5a08: 63281a91  add	x3, x3, #0x68a
0xfffffff0087d5a0c: 02008052  mov	w2, #0
0xfffffff0087d5a10: c875ed97  bl	#0xfffffff008333130
0xfffffff0087d5a14: 407d8012  mov	w0, #-0x3eb
0xfffffff0087d5a18: 2b000014  b	#0xfffffff0087d5ac4
0xfffffff0087d5a1c: e4790394  bl	#0xfffffff0088b41ac
0xfffffff0087d5a20: f40300aa  mov	x20, x0
0xfffffff0087d5a24: e0008052  mov	w0, #7
0xfffffff0087d5a28: 8a970294  bl	#0xfffffff00887b850
0xfffffff0087d5a2c: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087d5a30: 690240b9  ldr	w9, [x19]
0xfffffff0087d5a34: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d5a38: 68088052  mov	w8, #0x43
0xfffffff0087d5a3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d5a40: f40300f9  str	x20, [sp]
0xfffffff0087d5a44: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d5a48: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d5a4c: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5a50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5a54: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d5a58: 639c1b91  add	x3, x3, #0x6e7
0xfffffff0087d5a5c: 02008052  mov	w2, #0
0xfffffff0087d5a60: b475ed97  bl	#0xfffffff008333130
0xfffffff0087d5a64: 00008052  mov	w0, #0
0xfffffff0087d5a68: 17000014  b	#0xfffffff0087d5ac4
0xfffffff0087d5a6c: d0790394  bl	#0xfffffff0088b41ac
0xfffffff0087d5a70: f30300aa  mov	x19, x0
0xfffffff0087d5a74: 80008052  mov	w0, #4
0xfffffff0087d5a78: 76970294  bl	#0xfffffff00887b850
0xfffffff0087d5a7c: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5a80: 08e92f91  add	x8, x8, #0xbfa
0xfffffff0087d5a84: c9038052  mov	w9, #0x1e
0xfffffff0087d5a88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d5a8c: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5a90: 08892c91  add	x8, x8, #0xb22
0xfffffff0087d5a94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d5a98: 68008052  mov	w8, #3
0xfffffff0087d5a9c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d5aa0: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d5aa4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d5aa8: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5aac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5ab0: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d5ab4: 63dc1a91  add	x3, x3, #0x6b7
0xfffffff0087d5ab8: 02008052  mov	w2, #0
0xfffffff0087d5abc: 9d75ed97  bl	#0xfffffff008333130
0xfffffff0087d5ac0: e07c8012  mov	w0, #-0x3e8
