; Candidate 1003
; ADRP+ADD at VM 0xfffffff0081642d4 (fileoff 0x11602d4): page=0x1fef1b000 add_imm=0xdea

0xfffffff008164254: e1020054  b.ne	#0xfffffff0081642b0
0xfffffff008164258: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00816425c: 090301f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff008164260: 29010091  add	x9, x9, #0
0xfffffff008164264: 290140f9  ldr	x9, [x9]
0xfffffff008164268: 3f0108eb  cmp	x9, x8
0xfffffff00816426c: a1030054  b.ne	#0xfffffff0081642e0
0xfffffff008164270: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008164274: 00010012  and	w0, w8, #1
0xfffffff008164278: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff00816427c: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff008164280: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff008164284: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff008164288: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff00816428c: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff008164290: ff430491  add	sp, sp, #0x110
0xfffffff008164294: ff0f5fd6  retab	
0xfffffff008164298: 60050190  adrp	x0, #0xfffffff00a210000
0xfffffff00816429c: 00202791  add	x0, x0, #0x9c8
0xfffffff0081642a0: e10313aa  mov	x1, x19
0xfffffff0081642a4: 02008052  mov	w2, #0
0xfffffff0081642a8: 141ef197  bl	#0xfffffff007dabaf8
0xfffffff0081642ac: f0feff17  b	#0xfffffff008163e6c
0xfffffff0081642b0: 60050190  adrp	x0, #0xfffffff00a210000
0xfffffff0081642b4: 00202791  add	x0, x0, #0x9c8
0xfffffff0081642b8: e10313aa  mov	x1, x19
0xfffffff0081642bc: 2a21f197  bl	#0xfffffff007dac764
0xfffffff0081642c0: e6ffff17  b	#0xfffffff008164258
0xfffffff0081642c4: c878fff0  adrp	x8, #0xfffffff00707f000
0xfffffff0081642c8: 08153591  add	x8, x8, #0xd45
0xfffffff0081642cc: 29b98052  mov	w9, #0x5c9
0xfffffff0081642d0: e82700a9  stp	x8, x9, [sp]
0xfffffff0081642d4: c078fff0  adrp	x0, #0xfffffff00707f000
0xfffffff0081642d8: 00a83791  add	x0, x0, #0xdea
0xfffffff0081642dc: 8cc00c94  bl	#0xfffffff00849450c
0xfffffff0081642e0: dbe6ef97  bl	#0xfffffff007d5de4c
0xfffffff0081642e4: 7f2303d5  pacibsp	
0xfffffff0081642e8: ff8306d1  sub	sp, sp, #0x1a0
0xfffffff0081642ec: fc6f14a9  stp	x28, x27, [sp, #0x140]
0xfffffff0081642f0: fa6715a9  stp	x26, x25, [sp, #0x150]
0xfffffff0081642f4: f85f16a9  stp	x24, x23, [sp, #0x160]
0xfffffff0081642f8: f65717a9  stp	x22, x21, [sp, #0x170]
0xfffffff0081642fc: f44f18a9  stp	x20, x19, [sp, #0x180]
0xfffffff008164300: fd7b19a9  stp	x29, x30, [sp, #0x190]
0xfffffff008164304: fd430691  add	x29, sp, #0x190
0xfffffff008164308: f30300aa  mov	x19, x0
0xfffffff00816430c: 080080d2  mov	x8, #0
0xfffffff008164310: 090301f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff008164314: 29010091  add	x9, x9, #0
0xfffffff008164318: 290140f9  ldr	x9, [x9]
0xfffffff00816431c: a9031af8  stur	x9, [x29, #-0x60]
0xfffffff008164320: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008164324: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff008164328: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff00816432c: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff008164330: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff008164334: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff008164338: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00816433c: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008164340: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008164344: 095c40f9  ldr	x9, [x0, #0xb8]
0xfffffff008164348: 2a494439  ldrb	w10, [x9, #0x112]
0xfffffff00816434c: ea8b0439  strb	w10, [sp, #0x122]
0xfffffff008164350: 2a214279  ldrh	w10, [x9, #0x110]
