; Candidate 2624
; ADRP+ADD at VM 0xfffffff0086d5a4c (fileoff 0x16d1a4c): page=0x1fea5c000 add_imm=0xd90

0xfffffff0086d59cc: 284d00f9  str	x8, [x9, #0x98]
0xfffffff0086d59d0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086d59d4: 5a5bdb97  bl	#0xfffffff007dac73c
0xfffffff0086d59d8: ff5700f9  str	xzr, [sp, #0xa8]
0xfffffff0086d59dc: ff1b00b9  str	wzr, [sp, #0x18]
0xfffffff0086d59e0: 8002c03d  ldr	q0, [x20]
0xfffffff0086d59e4: e00b803d  str	q0, [sp, #0x20]
0xfffffff0086d59e8: 808640ad  ldp	q0, q1, [x20, #0x10]
0xfffffff0086d59ec: 828e41ad  ldp	q2, q3, [x20, #0x30]
0xfffffff0086d59f0: e28f02ad  stp	q2, q3, [sp, #0x50]
0xfffffff0086d59f4: e08701ad  stp	q0, q1, [sp, #0x30]
0xfffffff0086d59f8: 808642ad  ldp	q0, q1, [x20, #0x50]
0xfffffff0086d59fc: 821ec03d  ldr	q2, [x20, #0x70]
0xfffffff0086d5a00: 884240f9  ldr	x8, [x20, #0x80]
0xfffffff0086d5a04: e85300f9  str	x8, [sp, #0xa0]
0xfffffff0086d5a08: e10b04ad  stp	q1, q2, [sp, #0x80]
0xfffffff0086d5a0c: e01f803d  str	q0, [sp, #0x70]
0xfffffff0086d5a10: 88f64139  ldrb	w8, [x20, #0x7d]
0xfffffff0086d5a14: e8a30239  strb	w8, [sp, #0xa8]
0xfffffff0086d5a18: 600240f9  ldr	x0, [x19]
0xfffffff0086d5a1c: e1830091  add	x1, sp, #0x20
0xfffffff0086d5a20: e2630091  add	x2, sp, #0x18
0xfffffff0086d5a24: 0d030394  bl	#0xfffffff008796658
0xfffffff0086d5a28: f30300aa  mov	x19, x0
0xfffffff0086d5a2c: 6099ffb0  adrp	x0, #0xfffffff007a02000
0xfffffff0086d5a30: 00a02b91  add	x0, x0, #0xae8
0xfffffff0086d5a34: e10314aa  mov	x1, x20
0xfffffff0086d5a38: 3503f297  bl	#0xfffffff00835670c
0xfffffff0086d5a3c: 93010034  cbz	w19, #0xfffffff0086d5a6c
0xfffffff0086d5a40: c853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d5a44: 08e90091  add	x8, x8, #0x3a
0xfffffff0086d5a48: e84f00a9  stp	x8, x19, [sp]
0xfffffff0086d5a4c: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5a50: 00403691  add	x0, x0, #0xd90
0xfffffff0086d5a54: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d5a58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d5a5c: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5a60: 63501c91  add	x3, x3, #0x714
0xfffffff0086d5a64: 02008052  mov	w2, #0
0xfffffff0086d5a68: b275f197  bl	#0xfffffff008333130
0xfffffff0086d5a6c: e00313aa  mov	x0, x19
0xfffffff0086d5a70: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0086d5a74: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0086d5a78: ff430391  add	sp, sp, #0xd0
0xfffffff0086d5a7c: ff0f5fd6  retab	
0xfffffff0086d5a80: 7f2303d5  pacibsp	
0xfffffff0086d5a84: ff0302d1  sub	sp, sp, #0x80
0xfffffff0086d5a88: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0086d5a8c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0086d5a90: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0086d5a94: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0086d5a98: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0086d5a9c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0086d5aa0: fdc30191  add	x29, sp, #0x70
0xfffffff0086d5aa4: f50307aa  mov	x21, x7
0xfffffff0086d5aa8: f70306aa  mov	x23, x6
0xfffffff0086d5aac: f80305aa  mov	x24, x5
0xfffffff0086d5ab0: f90304aa  mov	x25, x4
0xfffffff0086d5ab4: f60303aa  mov	x22, x3
0xfffffff0086d5ab8: f40302aa  mov	x20, x2
0xfffffff0086d5abc: fb0301aa  mov	x27, x1
0xfffffff0086d5ac0: f30300aa  mov	x19, x0
0xfffffff0086d5ac4: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff0086d5ac8: 1c5e8052  mov	w28, #0x2f0
