; Candidate 13091
; ADRP+ADD at VM 0xfffffff0091e5bc4 (fileoff 0x21e1bc4): page=0x1fe2bb000 add_imm=0xe5f

0xfffffff0091e5b44: 11aa80d2  mov	x17, #0x550
0xfffffff0091e5b48: 1002118b  add	x16, x16, x17
0xfffffff0091e5b4c: 080240f9  ldr	x8, [x16]
0xfffffff0091e5b50: e30310aa  mov	x3, x16
0xfffffff0091e5b54: f00308aa  mov	x16, x8
0xfffffff0091e5b58: 020080d2  mov	x2, #0
0xfffffff0091e5b5c: f10303aa  mov	x17, x3
0xfffffff0091e5b60: 71c5f7f2  movk	x17, #0xbe2b, lsl #48
0xfffffff0091e5b64: 110a1fd7  braa	x16, x17
0xfffffff0091e5b68: 7f2303d5  pacibsp	
0xfffffff0091e5b6c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091e5b70: fd030091  mov	x29, sp
0xfffffff0091e5b74: 808900f0  adrp	x0, #0xfffffff00a318000
0xfffffff0091e5b78: 00a00691  add	x0, x0, #0x1a8
0xfffffff0091e5b7c: c115fff0  adrp	x1, #0xfffffff0074a0000
0xfffffff0091e5b80: 215c3891  add	x1, x1, #0xe17
0xfffffff0091e5b84: 024dff90  adrp	x2, #0xfffffff007b85000
0xfffffff0091e5b88: 42d444f9  ldr	x2, [x2, #0x9a8]
0xfffffff0091e5b8c: 03208052  mov	w3, #0x100
0xfffffff0091e5b90: eaf7c397  bl	#0xfffffff0082e3b38
0xfffffff0091e5b94: 104dffb0  adrp	x16, #0xfffffff007b86000
0xfffffff0091e5b98: 10a23a91  add	x16, x16, #0xea8
0xfffffff0091e5b9c: 10420091  add	x16, x16, #0x10
0xfffffff0091e5ba0: f10300aa  mov	x17, x0
0xfffffff0091e5ba4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e5ba8: 300ac1da  pacda	x16, x17
0xfffffff0091e5bac: 100000f9  str	x16, [x0]
0xfffffff0091e5bb0: c015ffd0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e5bb4: 001c3291  add	x0, x0, #0xc87
0xfffffff0091e5bb8: f60dc597  bl	#0xfffffff008329390
0xfffffff0091e5bbc: 888900f0  adrp	x8, #0xfffffff00a318000
0xfffffff0091e5bc0: 004501f9  str	x0, [x8, #0x288]
0xfffffff0091e5bc4: c015fff0  adrp	x0, #0xfffffff0074a0000
0xfffffff0091e5bc8: 007c3991  add	x0, x0, #0xe5f
0xfffffff0091e5bcc: f10dc597  bl	#0xfffffff008329390
0xfffffff0091e5bd0: 888900f0  adrp	x8, #0xfffffff00a318000
0xfffffff0091e5bd4: 004901f9  str	x0, [x8, #0x290]
0xfffffff0091e5bd8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091e5bdc: ff0f5fd6  retab	
0xfffffff0091e5be0: 5f2403d5  bti	c
0xfffffff0091e5be4: 808900f0  adrp	x0, #0xfffffff00a318000
0xfffffff0091e5be8: 00a00691  add	x0, x0, #0x1a8
0xfffffff0091e5bec: c2fac317  b	#0xfffffff0082e46f4
0xfffffff0091e5bf0: 7f2303d5  pacibsp	
0xfffffff0091e5bf4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091e5bf8: fd030091  mov	x29, sp
0xfffffff0091e5bfc: e115ffd0  adrp	x1, #0xfffffff0074a3000
0xfffffff0091e5c00: 21f40191  add	x1, x1, #0x7d
0xfffffff0091e5c04: 024dff90  adrp	x2, #0xfffffff007b85000
0xfffffff0091e5c08: 42cc44f9  ldr	x2, [x2, #0x998]
0xfffffff0091e5c0c: 034a8052  mov	w3, #0x250
0xfffffff0091e5c10: caf7c397  bl	#0xfffffff0082e3b38
0xfffffff0091e5c14: 104dffd0  adrp	x16, #0xfffffff007b87000
0xfffffff0091e5c18: 10821291  add	x16, x16, #0x4a0
0xfffffff0091e5c1c: 10420091  add	x16, x16, #0x10
0xfffffff0091e5c20: f10300aa  mov	x17, x0
0xfffffff0091e5c24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e5c28: 300ac1da  pacda	x16, x17
0xfffffff0091e5c2c: 100000f9  str	x16, [x0]
0xfffffff0091e5c30: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091e5c34: ff0f5fd6  retab	
0xfffffff0091e5c38: 5f2403d5  bti	c
0xfffffff0091e5c3c: aefac317  b	#0xfffffff0082e46f4
0xfffffff0091e5c40: 7f2303d5  pacibsp	
