; Candidate 11086
; ADRP+ADD at VM 0xfffffff008e5130c (fileoff 0x1e4d30c): page=0x1fecba000 add_imm=0xdc0

0xfffffff008e5128c: e50313aa  mov	x5, x19
0xfffffff008e51290: e60317aa  mov	x6, x23
0xfffffff008e51294: e70318aa  mov	x7, x24
0xfffffff008e51298: a5370094  bl	#0xfffffff008e5f12c
0xfffffff008e5129c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008e512a0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008e512a4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008e512a8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008e512ac: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008e512b0: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008e512b4: ff030291  add	sp, sp, #0x80
0xfffffff008e512b8: ff0f5fd6  retab	
0xfffffff008e512bc: 7f2303d5  pacibsp	
0xfffffff008e512c0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e512c4: fd030091  mov	x29, sp
0xfffffff008e512c8: 24008052  mov	w4, #1
0xfffffff008e512cc: 0c0c0194  bl	#0xfffffff008e942fc
0xfffffff008e512d0: 1f000071  cmp	w0, #0
0xfffffff008e512d4: e0179f1a  cset	w0, eq
0xfffffff008e512d8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e512dc: ff0f5fd6  retab	
0xfffffff008e512e0: 5f2403d5  bti	c
0xfffffff008e512e4: 24008052  mov	w4, #1
0xfffffff008e512e8: 450c0114  b	#0xfffffff008e943fc
0xfffffff008e512ec: 5f2403d5  bti	c
0xfffffff008e512f0: 293a0114  b	#0xfffffff008e9fb94
0xfffffff008e512f4: 7f2303d5  pacibsp	
0xfffffff008e512f8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e512fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e51300: fd430091  add	x29, sp, #0x10
0xfffffff008e51304: f30300aa  mov	x19, x0
0xfffffff008e51308: 233a0194  bl	#0xfffffff008e9fb94
0xfffffff008e5130c: c065ffd0  adrp	x0, #0xfffffff007b0b000
0xfffffff008e51310: 00003791  add	x0, x0, #0xdc0
0xfffffff008e51314: e10313aa  mov	x1, x19
0xfffffff008e51318: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e5131c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e51320: ff2303d5  autibsp	
0xfffffff008e51324: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e51328: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e51330
0xfffffff008e5132c: 208e38d4  brk	#0xc471
0xfffffff008e51330: f714d417  b	#0xfffffff00835670c
0xfffffff008e51334: 5f2403d5  bti	c
0xfffffff008e51338: 20008052  mov	w0, #1
0xfffffff008e5133c: c0035fd6  ret	
0xfffffff008e51340: 5f2403d5  bti	c
0xfffffff008e51344: e30301aa  mov	x3, x1
0xfffffff008e51348: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff008e5134c: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008e51350: 01604039  ldrb	w1, [x0, #0x18]
0xfffffff008e51354: 024040b9  ldr	w2, [x0, #0x40]
0xfffffff008e51358: 100140f9  ldr	x16, [x8]
0xfffffff008e5135c: f10308aa  mov	x17, x8
0xfffffff008e51360: 5115e6f2  movk	x17, #0x30aa, lsl #48
0xfffffff008e51364: 301ac1da  autda	x16, x17
0xfffffff008e51368: 098e41f8  ldr	x9, [x16, #0x18]!
0xfffffff008e5136c: e40310aa  mov	x4, x16
0xfffffff008e51370: f00309aa  mov	x16, x9
0xfffffff008e51374: e00308aa  mov	x0, x8
0xfffffff008e51378: f10304aa  mov	x17, x4
0xfffffff008e5137c: 1193eaf2  movk	x17, #0x5498, lsl #48
0xfffffff008e51380: 110a1fd7  braa	x16, x17
0xfffffff008e51384: 7f2303d5  pacibsp	
0xfffffff008e51388: ff8300d1  sub	sp, sp, #0x20
