; Candidate 6571
; ADRP+ADD at VM 0xfffffff008833860 (fileoff 0x182f860): page=0x1fe9b6000 add_imm=0xe80

0xfffffff0088337e0: c1008052  mov	w1, #6
0xfffffff0088337e4: fb1f0194  bl	#0xfffffff00887b7d0
0xfffffff0088337e8: c0040034  cbz	w0, #0xfffffff008833880
0xfffffff0088337ec: 200f8052  mov	w0, #0x79
0xfffffff0088337f0: 0a200194  bl	#0xfffffff00887b818
0xfffffff0088337f4: f60300aa  mov	x22, x0
0xfffffff0088337f8: 6d020294  bl	#0xfffffff0088b41ac
0xfffffff0088337fc: f50300aa  mov	x21, x0
0xfffffff008833800: c0008052  mov	w0, #6
0xfffffff008833804: 13200194  bl	#0xfffffff00887b850
0xfffffff008833808: 76010034  cbz	w22, #0xfffffff008833834
0xfffffff00883380c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008833810: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833814: 08293e91  add	x8, x8, #0xf8a
0xfffffff008833818: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883381c: 280f8052  mov	w8, #0x79
0xfffffff008833820: f52300a9  stp	x21, x8, [sp]
0xfffffff008833824: 004fffd0  adrp	x0, #0xfffffff007215000
0xfffffff008833828: 00a81591  add	x0, x0, #0x56a
0xfffffff00883382c: 0d0fd697  bl	#0xfffffff007db7460
0xfffffff008833830: 14000014  b	#0xfffffff008833880
0xfffffff008833834: 5e020294  bl	#0xfffffff0088b41ac
0xfffffff008833838: f50300aa  mov	x21, x0
0xfffffff00883383c: c0008052  mov	w0, #6
0xfffffff008833840: 04200194  bl	#0xfffffff00887b850
0xfffffff008833844: e80314aa  mov	x8, x20
0xfffffff008833848: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff00883384c: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833850: 08293e91  add	x8, x8, #0xf8a
0xfffffff008833854: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008833858: 280f8052  mov	w8, #0x79
0xfffffff00883385c: f52300a9  stp	x21, x8, [sp]
0xfffffff008833860: a04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008833864: 00003a91  add	x0, x0, #0xe80
0xfffffff008833868: a18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883386c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008833870: c350ffd0  adrp	x3, #0xfffffff00724d000
0xfffffff008833874: 630c2a91  add	x3, x3, #0xa83
0xfffffff008833878: 02008052  mov	w2, #0
0xfffffff00883387c: 2dfeeb97  bl	#0xfffffff008333130
0xfffffff008833880: e00314aa  mov	x0, x20
0xfffffff008833884: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008833888: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00883388c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008833890: ffc30191  add	sp, sp, #0x70
0xfffffff008833894: ff0f5fd6  retab	
0xfffffff008833898: 7f2303d5  pacibsp	
0xfffffff00883389c: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088338a0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088338a4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088338a8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088338ac: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088338b0: fdc30191  add	x29, sp, #0x70
0xfffffff0088338b4: f40301aa  mov	x20, x1
0xfffffff0088338b8: f30300aa  mov	x19, x0
0xfffffff0088338bc: 200f8052  mov	w0, #0x79
0xfffffff0088338c0: 01018052  mov	w1, #8
0xfffffff0088338c4: c31f0194  bl	#0xfffffff00887b7d0
0xfffffff0088338c8: 40020034  cbz	w0, #0xfffffff008833910
0xfffffff0088338cc: 200f8052  mov	w0, #0x79
0xfffffff0088338d0: d21f0194  bl	#0xfffffff00887b818
0xfffffff0088338d4: f60300aa  mov	x22, x0
0xfffffff0088338d8: 35020294  bl	#0xfffffff0088b41ac
0xfffffff0088338dc: f50300aa  mov	x21, x0
