; Candidate 14410
; ADRP+ADD at VM 0xfffffff009773294 (fileoff 0x276f294): page=0x1fde27000 add_imm=0xd67

0xfffffff009773214: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff009773218: 11093fd7  blraa	x8, x17
0xfffffff00977321c: 100040f9  ldr	x16, [x0]
0xfffffff009773220: f10300aa  mov	x17, x0
0xfffffff009773224: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009773228: 301ac1da  autda	x16, x17
0xfffffff00977322c: 113d80d2  mov	x17, #0x1e8
0xfffffff009773230: 1002118b  add	x16, x16, x17
0xfffffff009773234: 080240f9  ldr	x8, [x16]
0xfffffff009773238: e90310aa  mov	x9, x16
0xfffffff00977323c: 010080d2  mov	x1, #0
0xfffffff009773240: f10309aa  mov	x17, x9
0xfffffff009773244: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009773248: 11093fd7  blraa	x8, x17
0xfffffff00977324c: 03000014  b	#0xfffffff009773258
0xfffffff009773250: c0f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009773254: 007c1f91  add	x0, x0, #0x7df
0xfffffff009773258: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff00977325c: 699b86d2  mov	x9, #0x34db
0xfffffff009773260: c9f6baf2  movk	x9, #0xd7b6, lsl #16
0xfffffff009773264: 49d0dbf2  movk	x9, #0xde82, lsl #32
0xfffffff009773268: 6963e8f2  movk	x9, #0x431b, lsl #48
0xfffffff00977326c: 087dc99b  umulh	x8, x8, x9
0xfffffff009773270: 08fd52d3  lsr	x8, x8, #0x12
0xfffffff009773274: 890648f9  ldr	x9, [x20, #0x1008]
0xfffffff009773278: 8a0a48f9  ldr	x10, [x20, #0x1010]
0xfffffff00977327c: 8bf64fb9  ldr	w11, [x20, #0xff4]
0xfffffff009773280: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff009773284: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff009773288: 29f1fef0  adrp	x9, #0xfffffff00759a000
0xfffffff00977328c: 29f13691  add	x9, x9, #0xdbc
0xfffffff009773290: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009773294: 20f1fef0  adrp	x0, #0xfffffff00759a000
0xfffffff009773298: 009c3591  add	x0, x0, #0xd67
0xfffffff00977329c: f50300f9  str	x21, [sp]
0xfffffff0097732a0: 608faf97  bl	#0xfffffff008357020
0xfffffff0097732a4: 880648f9  ldr	x8, [x20, #0x1008]
0xfffffff0097732a8: 680600b4  cbz	x8, #0xfffffff009773374
0xfffffff0097732ac: 880a48f9  ldr	x8, [x20, #0x1010]
0xfffffff0097732b0: 280600b5  cbnz	x8, #0xfffffff009773374
0xfffffff0097732b4: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff0097732b8: 699b86d2  mov	x9, #0x34db
0xfffffff0097732bc: c9f6baf2  movk	x9, #0xd7b6, lsl #16
0xfffffff0097732c0: 49d0dbf2  movk	x9, #0xde82, lsl #32
0xfffffff0097732c4: 6963e8f2  movk	x9, #0x431b, lsl #48
0xfffffff0097732c8: 087dc99b  umulh	x8, x8, x9
0xfffffff0097732cc: 890250b9  ldr	w9, [x20, #0x1000]
0xfffffff0097732d0: 3f4948eb  cmp	x9, x8, lsr #18
0xfffffff0097732d4: e2000054  b.hs	#0xfffffff0097732f0
0xfffffff0097732d8: c86000b0  adrp	x8, #0xfffffff00a38c000
0xfffffff0097732dc: 02c541f9  ldr	x2, [x8, #0x388]
0xfffffff0097732e0: e00313aa  mov	x0, x19
0xfffffff0097732e4: e10314aa  mov	x1, x20
0xfffffff0097732e8: 4f470094  bl	#0xfffffff009785024
0xfffffff0097732ec: 22000014  b	#0xfffffff009773374
0xfffffff0097732f0: 81f64fb9  ldr	w1, [x20, #0xff4]
0xfffffff0097732f4: 82fe4fb9  ldr	w2, [x20, #0xffc]
0xfffffff0097732f8: 00008092  mov	x0, #-1
0xfffffff0097732fc: 67bafc97  bl	#0xfffffff0096a1c98
0xfffffff009773300: a00300b4  cbz	x0, #0xfffffff009773374
0xfffffff009773304: f50300aa  mov	x21, x0
0xfffffff009773308: c86000b0  adrp	x8, #0xfffffff00a38c000
0xfffffff00977330c: 02c541f9  ldr	x2, [x8, #0x388]
0xfffffff009773310: e00313aa  mov	x0, x19
