; Candidate 16014
; ADRP+ADD at VM 0xfffffff009dfd470 (fileoff 0x2df9470): page=0x1fd8a1000 add_imm=0xea5

0xfffffff009dfd3f0: 00cc3c91  add	x0, x0, #0xf33
0xfffffff009dfd3f4: 465c9a97  bl	#0xfffffff00849450c
0xfffffff009dfd3f8: 7f2303d5  pacibsp	
0xfffffff009dfd3fc: ff4301d1  sub	sp, sp, #0x50
0xfffffff009dfd400: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009dfd404: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009dfd408: fd030191  add	x29, sp, #0x40
0xfffffff009dfd40c: f40300aa  mov	x20, x0
0xfffffff009dfd410: 005c40f9  ldr	x0, [x0, #0xb8]
0xfffffff009dfd414: 800000b5  cbnz	x0, #0xfffffff009dfd424
0xfffffff009dfd418: f3c4feb0  adrp	x19, #0xfffffff00769a000
0xfffffff009dfd41c: 73c22d91  add	x19, x19, #0xb70
0xfffffff009dfd420: 0b000014  b	#0xfffffff009dfd44c
0xfffffff009dfd424: 100040f9  ldr	x16, [x0]
0xfffffff009dfd428: f10300aa  mov	x17, x0
0xfffffff009dfd42c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dfd430: 301ac1da  autda	x16, x17
0xfffffff009dfd434: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009dfd438: e90310aa  mov	x9, x16
0xfffffff009dfd43c: f10309aa  mov	x17, x9
0xfffffff009dfd440: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dfd444: 11093fd7  blraa	x8, x17
0xfffffff009dfd448: f30300aa  mov	x19, x0
0xfffffff009dfd44c: b08eff97  bl	#0xfffffff009de0f0c
0xfffffff009dfd450: 2a0d8152  mov	w10, #0x869
0xfffffff009dfd454: 08c5fe90  adrp	x8, #0xfffffff00769d000
0xfffffff009dfd458: 089d3b91  add	x8, x8, #0xee7
0xfffffff009dfd45c: 09c5feb0  adrp	x9, #0xfffffff00769e000
0xfffffff009dfd460: 29593c91  add	x9, x9, #0xf16
0xfffffff009dfd464: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009dfd468: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009dfd46c: f30300f9  str	x19, [sp]
0xfffffff009dfd470: 00c5feb0  adrp	x0, #0xfffffff00769e000
0xfffffff009dfd474: 00943a91  add	x0, x0, #0xea5
0xfffffff009dfd478: 255c9a97  bl	#0xfffffff00849450c
0xfffffff009dfd47c: 7f2303d5  pacibsp	
0xfffffff009dfd480: ff4301d1  sub	sp, sp, #0x50
0xfffffff009dfd484: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009dfd488: fd030191  add	x29, sp, #0x40
0xfffffff009dfd48c: 005c40f9  ldr	x0, [x0, #0xb8]
0xfffffff009dfd490: 800000b5  cbnz	x0, #0xfffffff009dfd4a0
0xfffffff009dfd494: e0c4feb0  adrp	x0, #0xfffffff00769a000
0xfffffff009dfd498: 00c02d91  add	x0, x0, #0xb70
0xfffffff009dfd49c: 0a000014  b	#0xfffffff009dfd4c4
0xfffffff009dfd4a0: 100040f9  ldr	x16, [x0]
0xfffffff009dfd4a4: f10300aa  mov	x17, x0
0xfffffff009dfd4a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dfd4ac: 301ac1da  autda	x16, x17
0xfffffff009dfd4b0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009dfd4b4: e90310aa  mov	x9, x16
0xfffffff009dfd4b8: f10309aa  mov	x17, x9
0xfffffff009dfd4bc: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dfd4c0: 11093fd7  blraa	x8, x17
0xfffffff009dfd4c4: 082e00b0  adrp	x8, #0xfffffff00a3be000
0xfffffff009dfd4c8: 00cd02f9  str	x0, [x8, #0x598]
0xfffffff009dfd4cc: a82f8152  mov	w8, #0x97d
0xfffffff009dfd4d0: 09c5fe90  adrp	x9, #0xfffffff00769d000
0xfffffff009dfd4d4: 299d3b91  add	x9, x9, #0xee7
0xfffffff009dfd4d8: 0ac5fed0  adrp	x10, #0xfffffff00769f000
0xfffffff009dfd4dc: 4a9d0a91  add	x10, x10, #0x2a7
0xfffffff009dfd4e0: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff009dfd4e4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009dfd4e8: 09c5fed0  adrp	x9, #0xfffffff00769f000
0xfffffff009dfd4ec: 29bd0991  add	x9, x9, #0x26f
