; Candidate 422
; ADRP+ADD at VM 0xfffffff007f06f0c (fileoff 0xf02f0c): page=0x2336000 add_imm=0xdc8

0xfffffff007f06e8c: e10315aa  mov	x1, x21
0xfffffff007f06e90: 02008052  mov	w2, #0
0xfffffff007f06e94: 1993fa97  bl	#0xfffffff007dabaf8
0xfffffff007f06e98: e9ffff17  b	#0xfffffff007f06e3c
0xfffffff007f06e9c: 74420091  add	x20, x19, #0x10
0xfffffff007f06ea0: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007f06ea4: 284841b9  ldr	w8, [x1, #0x148]
0xfffffff007f06ea8: 08050011  add	w8, w8, #1
0xfffffff007f06eac: 284801b9  str	w8, [x1, #0x148]
0xfffffff007f06eb0: a81901d0  adrp	x8, #0xfffffff00a23c000
0xfffffff007f06eb4: 08213791  add	x8, x8, #0xdc8
0xfffffff007f06eb8: 097d5fc8  ldxr	x9, [x8]
0xfffffff007f06ebc: 691300b5  cbnz	x9, #0xfffffff007f07128
0xfffffff007f06ec0: 017de9c8  casa	x9, x1, [x8]
0xfffffff007f06ec4: 3f0100f1  cmp	x9, #0
0xfffffff007f06ec8: 21130054  b.ne	#0xfffffff007f0712c
0xfffffff007f06ecc: 68b24079  ldrh	w8, [x19, #0x58]
0xfffffff007f06ed0: c8132037  tbnz	w8, #4, #0xfffffff007f07148
0xfffffff007f06ed4: 685240b9  ldr	w8, [x19, #0x50]
0xfffffff007f06ed8: 48011837  tbnz	w8, #3, #0xfffffff007f06f00
0xfffffff007f06edc: 685640b9  ldr	w8, [x19, #0x54]
0xfffffff007f06ee0: e8022037  tbnz	w8, #4, #0xfffffff007f06f3c
0xfffffff007f06ee4: a8036037  tbnz	w8, #0xc, #0xfffffff007f06f58
0xfffffff007f06ee8: a81701f0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f06eec: 09c941f9  ldr	x9, [x8, #0x390]
0xfffffff007f06ef0: 7f2601a9  stp	xzr, x9, [x19, #0x10]
0xfffffff007f06ef4: 330100f9  str	x19, [x9]
0xfffffff007f06ef8: 14c901f9  str	x20, [x8, #0x390]
0xfffffff007f06efc: 65000014  b	#0xfffffff007f07090
0xfffffff007f06f00: 68001037  tbnz	w8, #2, #0xfffffff007f06f0c
0xfffffff007f06f04: e00313aa  mov	x0, x19
0xfffffff007f06f08: 88fdff97  bl	#0xfffffff007f06528
0xfffffff007f06f0c: a01901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f06f10: 00203791  add	x0, x0, #0xdc8
0xfffffff007f06f14: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007f06f18: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007f06f1c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007f06f20: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007f06f24: ff830191  add	sp, sp, #0x60
0xfffffff007f06f28: ff2303d5  autibsp	
0xfffffff007f06f2c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f06f30: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f06f38
0xfffffff007f06f34: 208e38d4  brk	#0xc471
0xfffffff007f06f38: 13a3fa17  b	#0xfffffff007dafb84
0xfffffff007f06f3c: 68026037  tbnz	w8, #0xc, #0xfffffff007f06f88
0xfffffff007f06f40: a81701f0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f06f44: 09d141f9  ldr	x9, [x8, #0x3a0]
0xfffffff007f06f48: 7f2601a9  stp	xzr, x9, [x19, #0x10]
0xfffffff007f06f4c: 330100f9  str	x19, [x9]
0xfffffff007f06f50: 14d101f9  str	x20, [x8, #0x3a0]
0xfffffff007f06f54: 1a000014  b	#0xfffffff007f06fbc
0xfffffff007f06f58: a91701f0  adrp	x9, #0xfffffff00a1fd000
0xfffffff007f06f5c: 29c541f9  ldr	x9, [x9, #0x388]
0xfffffff007f06f60: 690800b4  cbz	x9, #0xfffffff007f0706c
0xfffffff007f06f64: 2a0d40f9  ldr	x10, [x9, #0x18]
0xfffffff007f06f68: a81701f0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f06f6c: 08210e91  add	x8, x8, #0x388
0xfffffff007f06f70: 5f0108eb  cmp	x10, x8
0xfffffff007f06f74: e1180054  b.ne	#0xfffffff007f07290
0xfffffff007f06f78: 690a00f9  str	x9, [x19, #0x10]
0xfffffff007f06f7c: 340d00f9  str	x20, [x9, #0x18]
0xfffffff007f06f80: 685640b9  ldr	w8, [x19, #0x54]
0xfffffff007f06f84: 3d000014  b	#0xfffffff007f07078
0xfffffff007f06f88: a81701f0  adrp	x8, #0xfffffff00a1fd000
