; Candidate 8384
; ADRP+ADD at VM 0xfffffff0088a7f9c (fileoff 0x18a3f9c): page=0x1fe98b000 add_imm=0xd31

0xfffffff0088a7f1c: 852cea97  bl	#0xfffffff008333130
0xfffffff0088a7f20: 14f9ffb5  cbnz	x20, #0xfffffff0088a7e40
0xfffffff0088a7f24: 600f8052  mov	w0, #0x7b
0xfffffff0088a7f28: 81008052  mov	w1, #4
0xfffffff0088a7f2c: 294eff97  bl	#0xfffffff00887b7d0
0xfffffff0088a7f30: e00a0034  cbz	w0, #0xfffffff0088a808c
0xfffffff0088a7f34: 600f8052  mov	w0, #0x7b
0xfffffff0088a7f38: 384eff97  bl	#0xfffffff00887b818
0xfffffff0088a7f3c: fa0300aa  mov	x26, x0
0xfffffff0088a7f40: 9b300094  bl	#0xfffffff0088b41ac
0xfffffff0088a7f44: f90300aa  mov	x25, x0
0xfffffff0088a7f48: 80008052  mov	w0, #4
0xfffffff0088a7f4c: 414eff97  bl	#0xfffffff00887b850
0xfffffff0088a7f50: 1a060034  cbz	w26, #0xfffffff0088a8010
0xfffffff0088a7f54: 680240b9  ldr	w8, [x19]
0xfffffff0088a7f58: e90318aa  mov	x9, x24
0xfffffff0088a7f5c: e95f06a9  stp	x9, x23, [sp, #0x60]
0xfffffff0088a7f60: e90316aa  mov	x9, x22
0xfffffff0088a7f64: ea0315aa  mov	x10, x21
0xfffffff0088a7f68: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a7f6c: 494cfff0  adrp	x9, #0xfffffff007232000
0xfffffff0088a7f70: 29e53591  add	x9, x9, #0xd79
0xfffffff0088a7f74: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a7f78: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088a7f7c: e8ae8052  mov	w8, #0x577
0xfffffff0088a7f80: 494cfff0  adrp	x9, #0xfffffff007232000
0xfffffff0088a7f84: 297d3491  add	x9, x9, #0xd1f
0xfffffff0088a7f88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a7f8c: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7f90: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a7f94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a7f98: 680f8052  mov	w8, #0x7b
0xfffffff0088a7f9c: 404cfff0  adrp	x0, #0xfffffff007232000
0xfffffff0088a7fa0: 00c43491  add	x0, x0, #0xd31
0xfffffff0088a7fa4: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a7fa8: 2e3dd497  bl	#0xfffffff007db7460
0xfffffff0088a7fac: 38000014  b	#0xfffffff0088a808c
0xfffffff0088a7fb0: cb020054  b.lt	#0xfffffff0088a8008
0xfffffff0088a7fb4: 08050011  add	w8, w8, #1
0xfffffff0088a7fb8: 294bffb0  adrp	x9, #0xfffffff00720c000
0xfffffff0088a7fbc: 29e13691  add	x9, x9, #0xdb8
0xfffffff0088a7fc0: ea0317aa  mov	x10, x23
0xfffffff0088a7fc4: 8b4640b8  ldr	w11, [x20], #4
0xfffffff0088a7fc8: 6c1d4092  and	x12, x11, #0xff
0xfffffff0088a7fcc: 2c796c78  ldrh	w12, [x9, x12, lsl #1]
0xfffffff0088a7fd0: 6d3d48d3  ubfx	x13, x11, #8, #8
0xfffffff0088a7fd4: 2d796d78  ldrh	w13, [x9, x13, lsl #1]
0xfffffff0088a7fd8: ac3d70b3  bfi	x12, x13, #0x10, #0x10
0xfffffff0088a7fdc: 6d5d50d3  ubfx	x13, x11, #0x10, #8
0xfffffff0088a7fe0: 2d796d78  ldrh	w13, [x9, x13, lsl #1]
0xfffffff0088a7fe4: 6bfd57d3  lsr	x11, x11, #0x17
0xfffffff0088a7fe8: 6b1d7f92  and	x11, x11, #0x1fe
0xfffffff0088a7fec: 2b696b78  ldrh	w11, [x9, x11]
0xfffffff0088a7ff0: ac3d60b3  bfi	x12, x13, #0x20, #0x10
0xfffffff0088a7ff4: 6c3d50b3  bfi	x12, x11, #0x30, #0x10
0xfffffff0088a7ff8: 4c8500f8  str	x12, [x10], #8
0xfffffff0088a7ffc: 08050051  sub	w8, w8, #1
0xfffffff0088a8000: 1f050071  cmp	w8, #1
0xfffffff0088a8004: 08feff54  b.hi	#0xfffffff0088a7fc4
0xfffffff0088a8008: 19008052  mov	w25, #0
0xfffffff0088a800c: 21000014  b	#0xfffffff0088a8090
0xfffffff0088a8010: 67300094  bl	#0xfffffff0088b41ac
0xfffffff0088a8014: f90300aa  mov	x25, x0
0xfffffff0088a8018: 80008052  mov	w0, #4
