; Candidate 2153
; ADRP+ADD at VM 0xfffffff008592ca4 (fileoff 0x158eca4): page=0x1ff417000 add_imm=0xd60

0xfffffff008592c24: 1002118b  add	x16, x16, x17
0xfffffff008592c28: 080240f9  ldr	x8, [x16]
0xfffffff008592c2c: e10310aa  mov	x1, x16
0xfffffff008592c30: f00308aa  mov	x16, x8
0xfffffff008592c34: f10301aa  mov	x17, x1
0xfffffff008592c38: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff008592c3c: 110a1fd7  braa	x16, x17
0xfffffff008592c40: 5f2403d5  bti	c
0xfffffff008592c44: 000440f9  ldr	x0, [x0, #8]
0xfffffff008592c48: 100040f9  ldr	x16, [x0]
0xfffffff008592c4c: f10300aa  mov	x17, x0
0xfffffff008592c50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008592c54: 301ac1da  autda	x16, x17
0xfffffff008592c58: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008592c5c: e20310aa  mov	x2, x16
0xfffffff008592c60: f00308aa  mov	x16, x8
0xfffffff008592c64: f10302aa  mov	x17, x2
0xfffffff008592c68: d18de4f2  movk	x17, #0x246e, lsl #48
0xfffffff008592c6c: 110a1fd7  braa	x16, x17
0xfffffff008592c70: 5f2403d5  bti	c
0xfffffff008592c74: 000440f9  ldr	x0, [x0, #8]
0xfffffff008592c78: 100040f9  ldr	x16, [x0]
0xfffffff008592c7c: f10300aa  mov	x17, x0
0xfffffff008592c80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008592c84: 301ac1da  autda	x16, x17
0xfffffff008592c88: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008592c8c: e10310aa  mov	x1, x16
0xfffffff008592c90: f00308aa  mov	x16, x8
0xfffffff008592c94: f10301aa  mov	x17, x1
0xfffffff008592c98: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff008592c9c: 110a1fd7  braa	x16, x17
0xfffffff008592ca0: 5f2403d5  bti	c
0xfffffff008592ca4: a0a0fff0  adrp	x0, #0xfffffff0079a9000
0xfffffff008592ca8: 00803591  add	x0, x0, #0xd60
0xfffffff008592cac: 120ef717  b	#0xfffffff0083564f4
0xfffffff008592cb0: 7f2303d5  pacibsp	
0xfffffff008592cb4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008592cb8: fd030091  mov	x29, sp
0xfffffff008592cbc: c15affb0  adrp	x1, #0xfffffff0070eb000
0xfffffff008592cc0: 21d42e91  add	x1, x1, #0xbb5
0xfffffff008592cc4: a2a0ffd0  adrp	x2, #0xfffffff0079a8000
0xfffffff008592cc8: 42d445f9  ldr	x2, [x2, #0xba8]
0xfffffff008592ccc: 038a8552  mov	w3, #0x2c50
0xfffffff008592cd0: 9a43f597  bl	#0xfffffff0082e3b38
0xfffffff008592cd4: b0a0fff0  adrp	x16, #0xfffffff0079a9000
0xfffffff008592cd8: 10c22891  add	x16, x16, #0xa30
0xfffffff008592cdc: 10420091  add	x16, x16, #0x10
0xfffffff008592ce0: f10300aa  mov	x17, x0
0xfffffff008592ce4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008592ce8: 300ac1da  pacda	x16, x17
0xfffffff008592cec: 100000f9  str	x16, [x0]
0xfffffff008592cf0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008592cf4: ff0f5fd6  retab	
0xfffffff008592cf8: 5f2403d5  bti	c
0xfffffff008592cfc: 7e46f517  b	#0xfffffff0082e46f4
0xfffffff008592d00: 7f2303d5  pacibsp	
0xfffffff008592d04: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008592d08: fd030091  mov	x29, sp
0xfffffff008592d0c: 9852f597  bl	#0xfffffff0082e776c
0xfffffff008592d10: b0a0fff0  adrp	x16, #0xfffffff0079a9000
0xfffffff008592d14: 10822691  add	x16, x16, #0x9a0
0xfffffff008592d18: 10420091  add	x16, x16, #0x10
0xfffffff008592d1c: f10300aa  mov	x17, x0
0xfffffff008592d20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
