; Candidate 16528
; ADRP+ADD at VM 0xfffffff009ed5444 (fileoff 0x2ed1444): page=0x1fd960000 add_imm=0xd3f

0xfffffff009ed53c4: e93e0054  b.ls	#0xfffffff009ed5ba0
0xfffffff009ed53c8: e00314aa  mov	x0, x20
0xfffffff009ed53cc: 7d56ff97  bl	#0xfffffff009eaadc0
0xfffffff009ed53d0: e00313aa  mov	x0, x19
0xfffffff009ed53d4: e10314aa  mov	x1, x20
0xfffffff009ed53d8: e2031aaa  mov	x2, x26
0xfffffff009ed53dc: a956ff97  bl	#0xfffffff009eaae80
0xfffffff009ed53e0: 20110034  cbz	w0, #0xfffffff009ed5604
0xfffffff009ed53e4: fb0300aa  mov	x27, x0
0xfffffff009ed53e8: a1c301d1  sub	x1, x29, #0x70
0xfffffff009ed53ec: e00313aa  mov	x0, x19
0xfffffff009ed53f0: e2031aaa  mov	x2, x26
0xfffffff009ed53f4: e256ff97  bl	#0xfffffff009eaaf7c
0xfffffff009ed53f8: e05b40f9  ldr	x0, [sp, #0xb0]
0xfffffff009ed53fc: e1bb40b9  ldr	w1, [sp, #0xb8]
0xfffffff009ed5400: e20f4ca9  ldp	x2, x3, [sp, #0xc0]
0xfffffff009ed5404: e4031aaa  mov	x4, x26
0xfffffff009ed5408: 05008052  mov	w5, #0
0xfffffff009ed540c: fa740094  bl	#0xfffffff009ef27f4
0xfffffff009ed5410: 00f3feb0  adrp	x0, #0xfffffff007d36000
0xfffffff009ed5414: 00603b91  add	x0, x0, #0xed8
0xfffffff009ed5418: e10314aa  mov	x1, x20
0xfffffff009ed541c: bc049297  bl	#0xfffffff00835670c
0xfffffff009ed5420: e82700f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ed5424: 08212a91  add	x8, x8, #0xa88
0xfffffff009ed5428: e92d8092  mov	x9, #-0x170
0xfffffff009ed542c: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009ed5430: 08cbfe90  adrp	x8, #0xfffffff007835000
0xfffffff009ed5434: 08d53491  add	x8, x8, #0xd35
0xfffffff009ed5438: c9338d52  mov	w9, #0x699e
0xfffffff009ed543c: e9ef00a9  stp	x9, x27, [sp, #8]
0xfffffff009ed5440: e80300f9  str	x8, [sp]
0xfffffff009ed5444: 00cbfe90  adrp	x0, #0xfffffff007835000
0xfffffff009ed5448: 00fc3491  add	x0, x0, #0xd3f
0xfffffff009ed544c: 05887b97  bl	#0xfffffff007db7460
0xfffffff009ed5450: f4031baa  mov	x20, x27
0xfffffff009ed5454: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009ed5458: 1f0118eb  cmp	x8, x24
0xfffffff009ed545c: 60000054  b.eq	#0xfffffff009ed5468
0xfffffff009ed5460: e00317aa  mov	x0, x23
0xfffffff009ed5464: d1647b97  bl	#0xfffffff007dae7a8
0xfffffff009ed5468: e00316aa  mov	x0, x22
0xfffffff009ed546c: e4647b97  bl	#0xfffffff007dae7fc
0xfffffff009ed5470: 9f3a0171  cmp	w20, #0x4e
0xfffffff009ed5474: 41020054  b.ne	#0xfffffff009ed54bc
0xfffffff009ed5478: 083e8452  mov	w8, #0x21f0
0xfffffff009ed547c: 6802088b  add	x8, x19, x8
0xfffffff009ed5480: 89cbfeb0  adrp	x9, #0xfffffff007846000
0xfffffff009ed5484: 29753191  add	x9, x9, #0xc5d
0xfffffff009ed5488: 8acbfeb0  adrp	x10, #0xfffffff007846000
0xfffffff009ed548c: 4a613191  add	x10, x10, #0xc58
0xfffffff009ed5490: bf060071  cmp	w21, #1
0xfffffff009ed5494: 4901899a  csel	x9, x10, x9, eq
0xfffffff009ed5498: ead78552  mov	w10, #0x2ebf
0xfffffff009ed549c: 8bcbfeb0  adrp	x11, #0xfffffff007846000
0xfffffff009ed54a0: 6b193191  add	x11, x11, #0xc46
0xfffffff009ed54a4: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009ed54a8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ed54ac: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed54b0: 00203091  add	x0, x0, #0xc08
0xfffffff009ed54b4: 04a9fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed54b8: d4098052  mov	w20, #0x4e
0xfffffff009ed54bc: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009ed54c0: c9f2feb0  adrp	x9, #0xfffffff007d2e000
