; Candidate 13841
; ADRP+ADD at VM 0xfffffff0095ae8a0 (fileoff 0x25aa8a0): page=0x1fe63f000 add_imm=0xd28

0xfffffff0095ae820: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff0095ae824: 5f0116eb  cmp	x10, x22
0xfffffff0095ae828: 61ffff54  b.ne	#0xfffffff0095ae814
0xfffffff0095ae82c: 680240f9  ldr	x8, [x19]
0xfffffff0095ae830: c80400b4  cbz	x8, #0xfffffff0095ae8c8
0xfffffff0095ae834: 090540f9  ldr	x9, [x8, #8]
0xfffffff0095ae838: 3f0113eb  cmp	x9, x19
0xfffffff0095ae83c: 010a0054  b.ne	#0xfffffff0095ae97c
0xfffffff0095ae840: 690640f9  ldr	x9, [x19, #8]
0xfffffff0095ae844: 2a0140f9  ldr	x10, [x9]
0xfffffff0095ae848: 5f0113eb  cmp	x10, x19
0xfffffff0095ae84c: 41090054  b.ne	#0xfffffff0095ae974
0xfffffff0095ae850: 090500f9  str	x9, [x8, #8]
0xfffffff0095ae854: 690640f9  ldr	x9, [x19, #8]
0xfffffff0095ae858: 21000014  b	#0xfffffff0095ae8dc
0xfffffff0095ae85c: 1f01096b  cmp	w8, w9
0xfffffff0095ae860: 0d020054  b.le	#0xfffffff0095ae8a0
0xfffffff0095ae864: 888640f9  ldr	x8, [x20, #0x108]
0xfffffff0095ae868: 080540f9  ldr	x8, [x8, #8]
0xfffffff0095ae86c: 130140f9  ldr	x19, [x8]
0xfffffff0095ae870: 680240f9  ldr	x8, [x19]
0xfffffff0095ae874: 880300b4  cbz	x8, #0xfffffff0095ae8e4
0xfffffff0095ae878: 090540f9  ldr	x9, [x8, #8]
0xfffffff0095ae87c: 3f0113eb  cmp	x9, x19
0xfffffff0095ae880: 21090054  b.ne	#0xfffffff0095ae9a4
0xfffffff0095ae884: 690640f9  ldr	x9, [x19, #8]
0xfffffff0095ae888: 2a0140f9  ldr	x10, [x9]
0xfffffff0095ae88c: 5f0113eb  cmp	x10, x19
0xfffffff0095ae890: a1070054  b.ne	#0xfffffff0095ae984
0xfffffff0095ae894: 090500f9  str	x9, [x8, #8]
0xfffffff0095ae898: 690640f9  ldr	x9, [x19, #8]
0xfffffff0095ae89c: 17000014  b	#0xfffffff0095ae8f8
0xfffffff0095ae8a0: e031fff0  adrp	x0, #0xfffffff007bed000
0xfffffff0095ae8a4: 00a03491  add	x0, x0, #0xd28
0xfffffff0095ae8a8: 139fb697  bl	#0xfffffff0083564f4
0xfffffff0095ae8ac: f30300aa  mov	x19, x0
0xfffffff0095ae8b0: 600200b4  cbz	x0, #0xfffffff0095ae8fc
0xfffffff0095ae8b4: c16e00f0  adrp	x1, #0xfffffff00a389000
0xfffffff0095ae8b8: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ae8bc: 00048052  mov	w0, #0x20
0xfffffff0095ae8c0: 84d2b497  bl	#0xfffffff0082e32d0
0xfffffff0095ae8c4: 0e000014  b	#0xfffffff0095ae8fc
0xfffffff0095ae8c8: 690640f9  ldr	x9, [x19, #8]
0xfffffff0095ae8cc: 2a0140f9  ldr	x10, [x9]
0xfffffff0095ae8d0: 5f0113eb  cmp	x10, x19
0xfffffff0095ae8d4: 01050054  b.ne	#0xfffffff0095ae974
0xfffffff0095ae8d8: 898600f9  str	x9, [x20, #0x108]
0xfffffff0095ae8dc: 280100f9  str	x8, [x9]
0xfffffff0095ae8e0: 08000014  b	#0xfffffff0095ae900
0xfffffff0095ae8e4: 690640f9  ldr	x9, [x19, #8]
0xfffffff0095ae8e8: 2a0140f9  ldr	x10, [x9]
0xfffffff0095ae8ec: 5f0113eb  cmp	x10, x19
0xfffffff0095ae8f0: a1040054  b.ne	#0xfffffff0095ae984
0xfffffff0095ae8f4: 898600f9  str	x9, [x20, #0x108]
0xfffffff0095ae8f8: 280100f9  str	x8, [x9]
0xfffffff0095ae8fc: 760a00f9  str	x22, [x19, #0x10]
0xfffffff0095ae900: 887e40b9  ldr	w8, [x20, #0x7c]
0xfffffff0095ae904: 68560329  stp	w8, w21, [x19, #0x18]
0xfffffff0095ae908: 898240f9  ldr	x9, [x20, #0x100]
0xfffffff0095ae90c: e90000b4  cbz	x9, #0xfffffff0095ae928
0xfffffff0095ae910: e80309aa  mov	x8, x9
0xfffffff0095ae914: 0a8d40f8  ldr	x10, [x8, #8]!
0xfffffff0095ae918: 5f0117eb  cmp	x10, x23
0xfffffff0095ae91c: c1010054  b.ne	#0xfffffff0095ae954
