; Candidate 12935
; ADRP+ADD at VM 0xfffffff00918d058 (fileoff 0x2189058): page=0x1fe308000 add_imm=0xd41

0xfffffff00918cfd8: e90310aa  mov	x9, x16
0xfffffff00918cfdc: e0031baa  mov	x0, x27
0xfffffff00918cfe0: f10309aa  mov	x17, x9
0xfffffff00918cfe4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00918cfe8: 11093fd7  blraa	x8, x17
0xfffffff00918cfec: a8b241b9  ldr	w8, [x21, #0x1b0]
0xfffffff00918cff0: 09038052  mov	w9, #0x18
0xfffffff00918cff4: 0955099b  madd	x9, x8, x9, x21
0xfffffff00918cff8: 397d00f9  str	x25, [x9, #0xf8]
0xfffffff00918cffc: 34f100b9  str	w20, [x9, #0xf0]
0xfffffff00918d000: 330501b9  str	w19, [x9, #0x104]
0xfffffff00918d004: 360101b9  str	w22, [x9, #0x100]
0xfffffff00918d008: 08050011  add	w8, w8, #1
0xfffffff00918d00c: a8b201b9  str	w8, [x21, #0x1b0]
0xfffffff00918d010: b00240f9  ldr	x16, [x21]
0xfffffff00918d014: f10315aa  mov	x17, x21
0xfffffff00918d018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00918d01c: 301ac1da  autda	x16, x17
0xfffffff00918d020: f10310aa  mov	x17, x16
0xfffffff00918d024: f147c1da  xpacd	x17
0xfffffff00918d028: 1f0211eb  cmp	x16, x17
0xfffffff00918d02c: 40000054  b.eq	#0xfffffff00918d034
0xfffffff00918d030: 408e38d4  brk	#0xc472
0xfffffff00918d034: 08a20791  add	x8, x16, #0x1e8
0xfffffff00918d038: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff00918d03c: e00315aa  mov	x0, x21
0xfffffff00918d040: 010080d2  mov	x1, #0
0xfffffff00918d044: f10308aa  mov	x17, x8
0xfffffff00918d048: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00918d04c: 31093fd7  blraa	x9, x17
0xfffffff00918d050: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff00918d054: e00300f9  str	x0, [sp]
0xfffffff00918d058: 4018ff90  adrp	x0, #0xfffffff007495000
0xfffffff00918d05c: 00043591  add	x0, x0, #0xd41
0xfffffff00918d060: f027c797  bl	#0xfffffff008357020
0xfffffff00918d064: 17008052  mov	w23, #0
0xfffffff00918d068: e00317aa  mov	x0, x23
0xfffffff00918d06c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00918d070: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00918d074: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00918d078: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00918d07c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00918d080: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00918d084: ff030291  add	sp, sp, #0x80
0xfffffff00918d088: ff0f5fd6  retab	
0xfffffff00918d08c: f7060011  add	w23, w23, #1
0xfffffff00918d090: f6ffff17  b	#0xfffffff00918d068
0xfffffff00918d094: 7f2303d5  pacibsp	
0xfffffff00918d098: ff8301d1  sub	sp, sp, #0x60
0xfffffff00918d09c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00918d0a0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00918d0a4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00918d0a8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00918d0ac: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00918d0b0: fd430191  add	x29, sp, #0x50
0xfffffff00918d0b4: 08b041b9  ldr	w8, [x0, #0x1b0]
0xfffffff00918d0b8: 08050034  cbz	w8, #0xfffffff00918d158
0xfffffff00918d0bc: f30301aa  mov	x19, x1
0xfffffff00918d0c0: f40300aa  mov	x20, x0
0xfffffff00918d0c4: 190080d2  mov	x25, #0
0xfffffff00918d0c8: 15100491  add	x21, x0, #0x104
0xfffffff00918d0cc: a8c25eb8  ldur	w8, [x21, #-0x14]
0xfffffff00918d0d0: 160e8052  mov	w22, #0x70
0xfffffff00918d0d4: 165d1833  bfi	w22, w8, #8, #0x18
