; Candidate 16812
; ADRP+ADD at VM 0xfffffff009f6fe70 (fileoff 0x2f6be70): page=0x1fddd4000 add_imm=0xd18

0xfffffff009f6fdf0: 51a0eff2  movk	x17, #0x7d02, lsl #48
0xfffffff009f6fdf4: 11093fd7  blraa	x8, x17
0xfffffff009f6fdf8: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009f6fdfc: 600100b4  cbz	x0, #0xfffffff009f6fe28
0xfffffff009f6fe00: 01638052  mov	w1, #0x318
0xfffffff009f6fe04: 02008052  mov	w2, #0
0xfffffff009f6fe08: 03638052  mov	w3, #0x318
0xfffffff009f6fe0c: 7d707797  bl	#0xfffffff007d4c000
0xfffffff009f6fe10: 617240f9  ldr	x1, [x19, #0xe0]
0xfffffff009f6fe14: 7f7200f9  str	xzr, [x19, #0xe0]
0xfffffff009f6fe18: a0eefe90  adrp	x0, #0xfffffff007d43000
0xfffffff009f6fe1c: 00603691  add	x0, x0, #0xd98
0xfffffff009f6fe20: 3b9a8f97  bl	#0xfffffff00835670c
0xfffffff009f6fe24: 7f7200f9  str	xzr, [x19, #0xe0]
0xfffffff009f6fe28: e00313aa  mov	x0, x19
0xfffffff009f6fe2c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f6fe30: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f6fe34: ff2303d5  autibsp	
0xfffffff009f6fe38: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009f6fe3c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009f6fe44
0xfffffff009f6fe40: 208e38d4  brk	#0xc471
0xfffffff009f6fe44: 54dcff17  b	#0xfffffff009f66f94
0xfffffff009f6fe48: 5f2403d5  bti	c
0xfffffff009f6fe4c: 202300b0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f6fe50: 00003a91  add	x0, x0, #0xe80
0xfffffff009f6fe54: c0035fd6  ret	
0xfffffff009f6fe58: 7f2303d5  pacibsp	
0xfffffff009f6fe5c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f6fe60: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f6fe64: fd430091  add	x29, sp, #0x10
0xfffffff009f6fe68: f30300aa  mov	x19, x0
0xfffffff009f6fe6c: 44419297  bl	#0xfffffff00840037c
0xfffffff009f6fe70: a0eefe90  adrp	x0, #0xfffffff007d43000
0xfffffff009f6fe74: 00603491  add	x0, x0, #0xd18
0xfffffff009f6fe78: e10313aa  mov	x1, x19
0xfffffff009f6fe7c: 021d8052  mov	w2, #0xe8
0xfffffff009f6fe80: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f6fe84: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f6fe88: ff2303d5  autibsp	
0xfffffff009f6fe8c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009f6fe90: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009f6fe98
0xfffffff009f6fe94: 208e38d4  brk	#0xc471
0xfffffff009f6fe98: 01de8d17  b	#0xfffffff0082e769c
0xfffffff009f6fe9c: 5f2403d5  bti	c
0xfffffff009f6fea0: 37419217  b	#0xfffffff00840037c
0xfffffff009f6fea4: 7f2303d5  pacibsp	
0xfffffff009f6fea8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f6feac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f6feb0: fd430091  add	x29, sp, #0x10
0xfffffff009f6feb4: a0eefe90  adrp	x0, #0xfffffff007d43000
0xfffffff009f6feb8: 00603491  add	x0, x0, #0xd18
0xfffffff009f6febc: 011d8052  mov	w1, #0xe8
0xfffffff009f6fec0: dedd8d97  bl	#0xfffffff0082e7638
0xfffffff009f6fec4: f30300aa  mov	x19, x0
0xfffffff009f6fec8: 342300b0  adrp	x20, #0xfffffff00a3d4000
0xfffffff009f6fecc: 94023a91  add	x20, x20, #0xe80
0xfffffff009f6fed0: e10314aa  mov	x1, x20
0xfffffff009f6fed4: 14419297  bl	#0xfffffff008400324
0xfffffff009f6fed8: 70eefef0  adrp	x16, #0xfffffff007d3e000
0xfffffff009f6fedc: 10e22f91  add	x16, x16, #0xbf8
0xfffffff009f6fee0: 10420091  add	x16, x16, #0x10
0xfffffff009f6fee4: f10300aa  mov	x17, x0
0xfffffff009f6fee8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f6feec: 300ac1da  pacda	x16, x17
