; Candidate 3315
; ADRP+ADD at VM 0xfffffff00872cee0 (fileoff 0x1728ee0): page=0x1fea05000 add_imm=0xd90

0xfffffff00872ce60: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00872ce64: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00872ce68: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00872ce6c: ff830191  add	sp, sp, #0x60
0xfffffff00872ce70: ff0f5fd6  retab	
0xfffffff00872ce74: 800240f9  ldr	x0, [x20]
0xfffffff00872ce78: 800400b4  cbz	x0, #0xfffffff00872cf08
0xfffffff00872ce7c: 28008052  mov	w8, #1
0xfffffff00872ce80: 68320139  strb	w8, [x19, #0x4c]
0xfffffff00872ce84: e026fe97  bl	#0xfffffff0086b6a04
0xfffffff00872ce88: f50300aa  mov	x21, x0
0xfffffff00872ce8c: 1f040071  cmp	w0, #1
0xfffffff00872ce90: 80010054  b.eq	#0xfffffff00872cec0
0xfffffff00872ce94: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872ce98: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872ce9c: e85700a9  stp	x8, x21, [sp]
0xfffffff00872cea0: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872cea4: 00403691  add	x0, x0, #0xd90
0xfffffff00872cea8: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872ceac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872ceb0: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872ceb4: 63003191  add	x3, x3, #0xc40
0xfffffff00872ceb8: 02008052  mov	w2, #0
0xfffffff00872cebc: 9d18f097  bl	#0xfffffff008333130
0xfffffff00872cec0: 800240f9  ldr	x0, [x20]
0xfffffff00872cec4: e1730091  add	x1, sp, #0x1c
0xfffffff00872cec8: e20315aa  mov	x2, x21
0xfffffff00872cecc: d326fe97  bl	#0xfffffff0086b6a18
0xfffffff00872ced0: 80030034  cbz	w0, #0xfffffff00872cf40
0xfffffff00872ced4: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872ced8: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872cedc: e80300f9  str	x8, [sp]
0xfffffff00872cee0: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872cee4: 00403691  add	x0, x0, #0xd90
0xfffffff00872cee8: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872ceec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872cef0: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872cef4: 63183291  add	x3, x3, #0xc86
0xfffffff00872cef8: 02008052  mov	w2, #0
0xfffffff00872cefc: 8d18f097  bl	#0xfffffff008333130
0xfffffff00872cf00: 14008052  mov	w20, #0
0xfffffff00872cf04: 87ffff17  b	#0xfffffff00872cd20
0xfffffff00872cf08: 94578052  mov	w20, #0x2bc
0xfffffff00872cf0c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00872cf10: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872cf14: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872cf18: e80300f9  str	x8, [sp]
0xfffffff00872cf1c: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872cf20: 00403691  add	x0, x0, #0xd90
0xfffffff00872cf24: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872cf28: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872cf2c: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872cf30: 63543091  add	x3, x3, #0xc15
0xfffffff00872cf34: 02008052  mov	w2, #0
0xfffffff00872cf38: 7e18f097  bl	#0xfffffff008333130
0xfffffff00872cf3c: c7ffff17  b	#0xfffffff00872ce58
0xfffffff00872cf40: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff00872cf44: 684a00b9  str	w8, [x19, #0x48]
0xfffffff00872cf48: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00872cf4c: 4e26fe97  bl	#0xfffffff0086b6884
0xfffffff00872cf50: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00872cf54: 8726fe97  bl	#0xfffffff0086b6970
0xfffffff00872cf58: f40300aa  mov	x20, x0
0xfffffff00872cf5c: bfffff17  b	#0xfffffff00872ce58
