; Candidate 8227
; ADRP+ADD at VM 0xfffffff00889d934 (fileoff 0x1899934): page=0x1fe94c000 add_imm=0xe80

0xfffffff00889d8b4: 88468052  mov	w8, #0x234
0xfffffff00889d8b8: a94bffb0  adrp	x9, #0xfffffff007212000
0xfffffff00889d8bc: 29a92f91  add	x9, x9, #0xbea
0xfffffff00889d8c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889d8c4: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889d8c8: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889d8cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889d8d0: a80f8052  mov	w8, #0x7d
0xfffffff00889d8d4: 804cfff0  adrp	x0, #0xfffffff007230000
0xfffffff00889d8d8: 00402991  add	x0, x0, #0xa50
0xfffffff00889d8dc: 91000014  b	#0xfffffff00889db20
0xfffffff00889d8e0: 335a0094  bl	#0xfffffff0088b41ac
0xfffffff00889d8e4: fb0300aa  mov	x27, x0
0xfffffff00889d8e8: 80008052  mov	w0, #4
0xfffffff00889d8ec: d977ff97  bl	#0xfffffff00887b850
0xfffffff00889d8f0: 680240b9  ldr	w8, [x19]
0xfffffff00889d8f4: f7e304a9  stp	x23, x24, [sp, #0x48]
0xfffffff00889d8f8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889d8fc: 884cfff0  adrp	x8, #0xfffffff007230000
0xfffffff00889d900: 0a952291  add	x10, x8, #0x8a5
0xfffffff00889d904: 88438052  mov	w8, #0x21c
0xfffffff00889d908: a94bffb0  adrp	x9, #0xfffffff007212000
0xfffffff00889d90c: 29a92f91  add	x9, x9, #0xbea
0xfffffff00889d910: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889d914: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889d918: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889d91c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889d920: a80f8052  mov	w8, #0x7d
0xfffffff00889d924: 034efff0  adrp	x3, #0xfffffff007260000
0xfffffff00889d928: 63b82591  add	x3, x3, #0x96e
0xfffffff00889d92c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889d930: fb0300f9  str	x27, [sp]
0xfffffff00889d934: 604aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00889d938: 00003a91  add	x0, x0, #0xe80
0xfffffff00889d93c: 418bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00889d940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889d944: 02008052  mov	w2, #0
0xfffffff00889d948: fa55ea97  bl	#0xfffffff008333130
0xfffffff00889d94c: 1c7d8012  mov	w28, #-0x3e9
0xfffffff00889d950: 40020014  b	#0xfffffff00889e250
0xfffffff00889d954: 9f1e0071  cmp	w20, #7
0xfffffff00889d958: 60000054  b.eq	#0xfffffff00889d964
0xfffffff00889d95c: 9f0a0071  cmp	w20, #2
0xfffffff00889d960: 210a0054  b.ne	#0xfffffff00889daa4
0xfffffff00889d964: e80240b9  ldr	w8, [x23]
0xfffffff00889d968: 1f050071  cmp	w8, #1
0xfffffff00889d96c: cb090054  b.lt	#0xfffffff00889daa4
0xfffffff00889d970: e88a40b9  ldr	w8, [x23, #0x88]
0xfffffff00889d974: 1f010071  cmp	w8, #0
0xfffffff00889d978: 6d090054  b.le	#0xfffffff00889daa4
0xfffffff00889d97c: 99150034  cbz	w25, #0xfffffff00889dc2c
0xfffffff00889d980: a18301d1  sub	x1, x29, #0x60
0xfffffff00889d984: e00313aa  mov	x0, x19
0xfffffff00889d988: 88faff97  bl	#0xfffffff00889c3a8
0xfffffff00889d98c: fb0300aa  mov	x27, x0
0xfffffff00889d990: a0190035  cbnz	w0, #0xfffffff00889dcc4
0xfffffff00889d994: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889d998: 681900b4  cbz	x8, #0xfffffff00889dcc4
0xfffffff00889d99c: 1f4102b9  str	wzr, [x8, #0x240]
0xfffffff00889d9a0: 151100f9  str	x21, [x8, #0x20]
0xfffffff00889d9a4: 161900b9  str	w22, [x8, #0x18]
0xfffffff00889d9a8: 19690529  stp	w25, w26, [x8, #0x28]
0xfffffff00889d9ac: 090340b9  ldr	w9, [x24]
0xfffffff00889d9b0: 29011032  orr	w9, w9, #0x10000
