; Candidate 4520
; ADRP+ADD at VM 0xfffffff0087b8ff8 (fileoff 0x17b4ff8): page=0x1fe979000 add_imm=0xd90

0xfffffff0087b8f78: 60010054  b.eq	#0xfffffff0087b8fa4
0xfffffff0087b8f7c: 2a0d0a8b  add	x10, x9, x10, lsl #3
0xfffffff0087b8f80: 4a9d43f9  ldr	x10, [x10, #0x738]
0xfffffff0087b8f84: 2a0100b4  cbz	x10, #0xfffffff0087b8fa8
0xfffffff0087b8f88: 4b0540b9  ldr	w11, [x10, #4]
0xfffffff0087b8f8c: 2c3d40f9  ldr	x12, [x9, #0x78]
0xfffffff0087b8f90: 8c09088b  add	x12, x12, x8, lsl #2
0xfffffff0087b8f94: 8b0900b9  str	w11, [x12, #8]
0xfffffff0087b8f98: 4b2540b9  ldr	w11, [x10, #0x24]
0xfffffff0087b8f9c: 8b2900b9  str	w11, [x12, #0x28]
0xfffffff0087b8fa0: 02000014  b	#0xfffffff0087b8fa8
0xfffffff0087b8fa4: 0a0080d2  mov	x10, #0
0xfffffff0087b8fa8: 293d40f9  ldr	x9, [x9, #0x78]
0xfffffff0087b8fac: 290d088b  add	x9, x9, x8, lsl #3
0xfffffff0087b8fb0: 2a2500f9  str	x10, [x9, #0x48]
0xfffffff0087b8fb4: 08050091  add	x8, x8, #1
0xfffffff0087b8fb8: 1f1d00f1  cmp	x8, #7
0xfffffff0087b8fbc: 61fdff54  b.ne	#0xfffffff0087b8f68
0xfffffff0087b8fc0: c0035fd6  ret	
0xfffffff0087b8fc4: 7f2303d5  pacibsp	
0xfffffff0087b8fc8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087b8fcc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087b8fd0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087b8fd4: fd830091  add	x29, sp, #0x20
0xfffffff0087b8fd8: 083040f9  ldr	x8, [x0, #0x60]
0xfffffff0087b8fdc: 090140b9  ldr	w9, [x8]
0xfffffff0087b8fe0: e9010035  cbnz	w9, #0xfffffff0087b901c
0xfffffff0087b8fe4: f30300aa  mov	x19, x0
0xfffffff0087b8fe8: c8b88052  mov	w8, #0x5c6
0xfffffff0087b8fec: 294dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b8ff0: 29052491  add	x9, x9, #0x901
0xfffffff0087b8ff4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b8ff8: c04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b8ffc: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9000: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9004: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9008: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b900c: 63a82a91  add	x3, x3, #0xaaa
0xfffffff0087b9010: 02008052  mov	w2, #0
0xfffffff0087b9014: 47e8ed97  bl	#0xfffffff008333130
0xfffffff0087b9018: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b901c: 090080d2  mov	x9, #0
0xfffffff0087b9020: 1f4500b9  str	wzr, [x8, #0x44]
0xfffffff0087b9024: ea1f8052  mov	w10, #0xff
0xfffffff0087b9028: 0a6900b9  str	w10, [x8, #0x68]
0xfffffff0087b902c: 0a711a91  add	x10, x8, #0x69c
0xfffffff0087b9030: 0b008012  mov	w11, #-1
0xfffffff0087b9034: 4b6929b8  str	w11, [x10, x9]
0xfffffff0087b9038: 29110091  add	x9, x9, #4
0xfffffff0087b903c: 3f7100f1  cmp	x9, #0x1c
0xfffffff0087b9040: a1ffff54  b.ne	#0xfffffff0087b9034
0xfffffff0087b9044: 090080d2  mov	x9, #0
0xfffffff0087b9048: 0a215a39  ldrb	w10, [x8, #0x688]
0xfffffff0087b904c: 0a090a8b  add	x10, x8, x10, lsl #2
0xfffffff0087b9050: 4a0540b9  ldr	w10, [x10, #4]
0xfffffff0087b9054: 0aad00b9  str	w10, [x8, #0xac]
0xfffffff0087b9058: 2a008052  mov	w10, #1
0xfffffff0087b905c: 3f717df2  tst	x9, #0xfffffff8
0xfffffff0087b9060: a1000054  b.ne	#0xfffffff0087b9074
0xfffffff0087b9064: 0bad40b9  ldr	w11, [x8, #0xac]
0xfffffff0087b9068: 0c09098b  add	x12, x8, x9, lsl #2
0xfffffff0087b906c: 8b0500b9  str	w11, [x12, #4]
0xfffffff0087b9070: 8a2500b9  str	w10, [x12, #0x24]
0xfffffff0087b9074: 29050091  add	x9, x9, #1
