; Candidate 13640
; ADRP+ADD at VM 0xfffffff0093b35ec (fileoff 0x23af5ec): page=0x1fe152000 add_imm=0xe81

0xfffffff0093b356c: 810affd0  adrp	x1, #0xfffffff007505000
0xfffffff0093b3570: 21bc3991  add	x1, x1, #0xe6f
0xfffffff0093b3574: f10309aa  mov	x17, x9
0xfffffff0093b3578: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0093b357c: 11093fd7  blraa	x8, x17
0xfffffff0093b3580: c840ff90  adrp	x8, #0xfffffff007bcb000
0xfffffff0093b3584: 08e943f9  ldr	x8, [x8, #0x7d0]
0xfffffff0093b3588: 010140f9  ldr	x1, [x8]
0xfffffff0093b358c: dac1bc97  bl	#0xfffffff0082e3cf4
0xfffffff0093b3590: a00300b4  cbz	x0, #0xfffffff0093b3604
0xfffffff0093b3594: f30300aa  mov	x19, x0
0xfffffff0093b3598: 100040f9  ldr	x16, [x0]
0xfffffff0093b359c: f10300aa  mov	x17, x0
0xfffffff0093b35a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b35a4: 301ac1da  autda	x16, x17
0xfffffff0093b35a8: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0093b35ac: e90310aa  mov	x9, x16
0xfffffff0093b35b0: f10309aa  mov	x17, x9
0xfffffff0093b35b4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0093b35b8: 11093fd7  blraa	x8, x17
0xfffffff0093b35bc: f40300aa  mov	x20, x0
0xfffffff0093b35c0: 700240f9  ldr	x16, [x19]
0xfffffff0093b35c4: f10313aa  mov	x17, x19
0xfffffff0093b35c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b35cc: 301ac1da  autda	x16, x17
0xfffffff0093b35d0: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff0093b35d4: e90310aa  mov	x9, x16
0xfffffff0093b35d8: e00313aa  mov	x0, x19
0xfffffff0093b35dc: f10309aa  mov	x17, x9
0xfffffff0093b35e0: f1d8f5f2  movk	x17, #0xaec7, lsl #48
0xfffffff0093b35e4: 11093fd7  blraa	x8, x17
0xfffffff0093b35e8: e203002a  mov	w2, w0
0xfffffff0093b35ec: 800affd0  adrp	x0, #0xfffffff007505000
0xfffffff0093b35f0: 00043a91  add	x0, x0, #0xe81
0xfffffff0093b35f4: e10314aa  mov	x1, x20
0xfffffff0093b35f8: 26a8a697  bl	#0xfffffff007d5d690
0xfffffff0093b35fc: 1f000071  cmp	w0, #0
0xfffffff0093b3600: e0179f1a  cset	w0, eq
0xfffffff0093b3604: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0093b3608: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0093b360c: ff0f5fd6  retab	
0xfffffff0093b3610: 7f2303d5  pacibsp	
0xfffffff0093b3614: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0093b3618: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0093b361c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0093b3620: fd830091  add	x29, sp, #0x20
0xfffffff0093b3624: f30301aa  mov	x19, x1
0xfffffff0093b3628: c0038052  mov	w0, #0x1e
0xfffffff0093b362c: af8dbe97  bl	#0xfffffff008356ce8
0xfffffff0093b3630: f40300aa  mov	x20, x0
0xfffffff0093b3634: 35008052  mov	w21, #1
0xfffffff0093b3638: e00313aa  mov	x0, x19
0xfffffff0093b363c: 21008052  mov	w1, #1
0xfffffff0093b3640: 22008052  mov	w2, #1
0xfffffff0093b3644: 03008052  mov	w3, #0
0xfffffff0093b3648: d4891d94  bl	#0xfffffff009b15d98
0xfffffff0093b364c: 28818452  mov	w8, #0x2409
0xfffffff0093b3650: 88020079  strh	w8, [x20]
0xfffffff0093b3654: 950a0039  strb	w21, [x20, #2]
0xfffffff0093b3658: 082080d2  mov	x8, #0x100
0xfffffff0093b365c: c803a0f2  movk	x8, #0x1e, lsl #16
0xfffffff0093b3660: 2820c0f2  movk	x8, #0x101, lsl #32
0xfffffff0093b3664: 8881e4f2  movk	x8, #0x240c, lsl #48
0xfffffff0093b3668: 883200f8  stur	x8, [x20, #3]
