; Candidate 2765
; ADRP+ADD at VM 0xfffffff0086e73bc (fileoff 0x16e33bc): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e733c: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e7340: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7344: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7348: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e734c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7350: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7354: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7358: 02008052  mov	w2, #0
0xfffffff0086e735c: 752ff197  bl	#0xfffffff008333130
0xfffffff0086e7360: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e7364: 080240b9  ldr	w8, [x16]
0xfffffff0086e7368: 05000014  b	#0xfffffff0086e737c
0xfffffff0086e736c: 15008052  mov	w21, #0
0xfffffff0086e7370: 13028052  mov	w19, #0x10
0xfffffff0086e7374: e8030aaa  mov	x8, x10
0xfffffff0086e7378: f40309aa  mov	x20, x9
0xfffffff0086e737c: e903134b  neg	w9, w19
0xfffffff0086e7380: 8926c91a  lsr	w9, w20, w9
0xfffffff0086e7384: 3501152a  orr	w21, w9, w21
0xfffffff0086e7388: 8922d31a  lsl	w9, w20, w19
0xfffffff0086e738c: 290200b9  str	w9, [x17]
0xfffffff0086e7390: 0801134b  sub	w8, w8, w19
0xfffffff0086e7394: 080200b9  str	w8, [x16]
0xfffffff0086e7398: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e739c: 290140b9  ldr	w9, [x9]
0xfffffff0086e73a0: 3f011a6a  tst	w9, w26
0xfffffff0086e73a4: c0010054  b.eq	#0xfffffff0086e73dc
0xfffffff0086e73a8: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e73ac: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e73b0: 08fd0a91  add	x8, x8, #0x2bf
0xfffffff0086e73b4: 09028052  mov	w9, #0x10
0xfffffff0086e73b8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e73bc: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e73c0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e73c4: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e73c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e73cc: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e73d0: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e73d4: 02008052  mov	w2, #0
0xfffffff0086e73d8: 562ff197  bl	#0xfffffff008333130
0xfffffff0086e73dc: 080340f9  ldr	x8, [x24]
0xfffffff0086e73e0: 15050079  strh	w21, [x8, #2]
0xfffffff0086e73e4: bf3e0072  tst	w21, #0xffff
0xfffffff0086e73e8: c0010054  b.eq	#0xfffffff0086e7420
0xfffffff0086e73ec: 090080d2  mov	x9, #0
0xfffffff0086e73f0: 0a114039  ldrb	w10, [x8, #4]
0xfffffff0086e73f4: aa000036  tbz	w10, #0, #0xfffffff0086e7408
0xfffffff0086e73f8: 0b01098b  add	x11, x8, x9
0xfffffff0086e73fc: 0cb54929  ldp	w12, w13, [x8, #0x4c]
0xfffffff0086e7400: 6c6d00b9  str	w12, [x11, #0x6c]
0xfffffff0086e7404: 6d8d00b9  str	w13, [x11, #0x8c]
0xfffffff0086e7408: 00008052  mov	w0, #0
0xfffffff0086e740c: 4a7d0153  lsr	w10, w10, #1
0xfffffff0086e7410: 29110091  add	x9, x9, #4
0xfffffff0086e7414: 3f8100f1  cmp	x9, #0x20
0xfffffff0086e7418: e1feff54  b.ne	#0xfffffff0086e73f4
0xfffffff0086e741c: 33f5ff17  b	#0xfffffff0086e48e8
0xfffffff0086e7420: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0086e7424: 08094039  ldrb	w8, [x8, #2]
0xfffffff0086e7428: e8a50636  tbz	w8, #0, #0xfffffff0086e48e4
0xfffffff0086e742c: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e7430: 08f90591  add	x8, x8, #0x17e
0xfffffff0086e7434: e80300f9  str	x8, [sp]
0xfffffff0086e7438: 4052ffd0  adrp	x0, #0xfffffff007131000
