; Candidate 5543
; ADRP+ADD at VM 0xfffffff0087f7638 (fileoff 0x17f3638): page=0x1fe9f2000 add_imm=0xe80

0xfffffff0087f75b8: 63ec0a91  add	x3, x3, #0x2bb
0xfffffff0087f75bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f75c0: f40300f9  str	x20, [sp]
0xfffffff0087f75c4: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f75c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f75cc: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f75d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f75d4: 02008052  mov	w2, #0
0xfffffff0087f75d8: d6eeec97  bl	#0xfffffff008333130
0xfffffff0087f75dc: 3ef8ff17  b	#0xfffffff0087f56d4
0xfffffff0087f75e0: f3f20294  bl	#0xfffffff0088b41ac
0xfffffff0087f75e4: f40300aa  mov	x20, x0
0xfffffff0087f75e8: 80008052  mov	w0, #4
0xfffffff0087f75ec: 99100294  bl	#0xfffffff00887b850
0xfffffff0087f75f0: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f75f4: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f75f8: f76b06a9  stp	x23, x26, [sp, #0x60]
0xfffffff0087f75fc: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f7600: ff2305a9  stp	xzr, x8, [sp, #0x50]
0xfffffff0087f7604: f82b04a9  stp	x24, x10, [sp, #0x40]
0xfffffff0087f7608: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087f760c: c850ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087f7610: 089d2c91  add	x8, x8, #0xb27
0xfffffff0087f7614: 89928052  mov	w9, #0x494
0xfffffff0087f7618: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f761c: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7620: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7624: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f7628: e80e8052  mov	w8, #0x77
0xfffffff0087f762c: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f7630: 63dc0591  add	x3, x3, #0x177
0xfffffff0087f7634: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f7638: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f763c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f7640: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f7644: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f7648: 02008052  mov	w2, #0
0xfffffff0087f764c: b9eeec97  bl	#0xfffffff008333130
0xfffffff0087f7650: 21f8ff17  b	#0xfffffff0087f56d4
0xfffffff0087f7654: d6f20294  bl	#0xfffffff0088b41ac
0xfffffff0087f7658: f40300aa  mov	x20, x0
0xfffffff0087f765c: 80008052  mov	w0, #4
0xfffffff0087f7660: 7c100294  bl	#0xfffffff00887b850
0xfffffff0087f7664: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f7668: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f766c: f76b06a9  stp	x23, x26, [sp, #0x60]
0xfffffff0087f7670: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f7674: f62305a9  stp	x22, x8, [sp, #0x50]
0xfffffff0087f7678: f82b04a9  stp	x24, x10, [sp, #0x40]
0xfffffff0087f767c: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087f7680: e850fff0  adrp	x8, #0xfffffff007216000
0xfffffff0087f7684: 08052391  add	x8, x8, #0x8c1
0xfffffff0087f7688: 49938052  mov	w9, #0x49a
0xfffffff0087f768c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f7690: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7694: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7698: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f769c: e80e8052  mov	w8, #0x77
0xfffffff0087f76a0: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f76a4: 63100791  add	x3, x3, #0x1c4
0xfffffff0087f76a8: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f76ac: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f76b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f76b4: 8190ffb0  adrp	x1, #0xfffffff007a08000
