; Candidate 7170
; ADRP+ADD at VM 0xfffffff00885cda4 (fileoff 0x1858da4): page=0x1fe98d000 add_imm=0xe80

0xfffffff00885cd24: a81f8052  mov	w8, #0xfd
0xfffffff00885cd28: 494efff0  adrp	x9, #0xfffffff007227000
0xfffffff00885cd2c: 29651891  add	x9, x9, #0x619
0xfffffff00885cd30: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885cd34: 484efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885cd38: 08811191  add	x8, x8, #0x460
0xfffffff00885cd3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885cd40: 880c8052  mov	w8, #0x64
0xfffffff00885cd44: 404efff0  adrp	x0, #0xfffffff007227000
0xfffffff00885cd48: 00081e91  add	x0, x0, #0x782
0xfffffff00885cd4c: 6f000014  b	#0xfffffff00885cf08
0xfffffff00885cd50: 175d0194  bl	#0xfffffff0088b41ac
0xfffffff00885cd54: f60300aa  mov	x22, x0
0xfffffff00885cd58: 80008052  mov	w0, #4
0xfffffff00885cd5c: bd7a0094  bl	#0xfffffff00887b850
0xfffffff00885cd60: a84240b9  ldr	w8, [x21, #0x40]
0xfffffff00885cd64: f4cf04a9  stp	x20, x19, [sp, #0x48]
0xfffffff00885cd68: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff00885cd6c: 484eff90  adrp	x8, #0xfffffff007224000
0xfffffff00885cd70: 0a691491  add	x10, x8, #0x51a
0xfffffff00885cd74: 08168052  mov	w8, #0xb0
0xfffffff00885cd78: 494efff0  adrp	x9, #0xfffffff007227000
0xfffffff00885cd7c: 29651891  add	x9, x9, #0x619
0xfffffff00885cd80: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885cd84: 484efff0  adrp	x8, #0xfffffff007227000
0xfffffff00885cd88: 08811191  add	x8, x8, #0x460
0xfffffff00885cd8c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885cd90: 880c8052  mov	w8, #0x64
0xfffffff00885cd94: c34fffb0  adrp	x3, #0xfffffff007255000
0xfffffff00885cd98: 63480791  add	x3, x3, #0x1d2
0xfffffff00885cd9c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885cda0: f60300f9  str	x22, [sp]
0xfffffff00885cda4: 604cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885cda8: 00003a91  add	x0, x0, #0xe80
0xfffffff00885cdac: 618dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00885cdb0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885cdb4: 02008052  mov	w2, #0
0xfffffff00885cdb8: de58eb97  bl	#0xfffffff008333130
0xfffffff00885cdbc: 157d8012  mov	w21, #-0x3e9
0xfffffff00885cdc0: e00314aa  mov	x0, x20
0xfffffff00885cdc4: e10313aa  mov	x1, x19
0xfffffff00885cdc8: 02008012  mov	w2, #-1
0xfffffff00885cdcc: bc70fe97  bl	#0xfffffff0087f90bc
0xfffffff00885cdd0: e00315aa  mov	x0, x21
0xfffffff00885cdd4: ff430991  add	sp, sp, #0x250
0xfffffff00885cdd8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00885cddc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00885cde0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00885cde4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00885cde8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00885cdec: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff00885cdf0: ff0f5fd6  retab	
0xfffffff00885cdf4: 800c8052  mov	w0, #0x64
0xfffffff00885cdf8: a1008052  mov	w1, #5
0xfffffff00885cdfc: 757a0094  bl	#0xfffffff00887b7d0
0xfffffff00885ce00: e0dfff34  cbz	w0, #0xfffffff00885c9fc
0xfffffff00885ce04: 800c8052  mov	w0, #0x64
0xfffffff00885ce08: 847a0094  bl	#0xfffffff00887b818
0xfffffff00885ce0c: f80300aa  mov	x24, x0
0xfffffff00885ce10: e75c0194  bl	#0xfffffff0088b41ac
0xfffffff00885ce14: f70300aa  mov	x23, x0
0xfffffff00885ce18: a0008052  mov	w0, #5
0xfffffff00885ce1c: 8d7a0094  bl	#0xfffffff00887b850
0xfffffff00885ce20: 18100034  cbz	w24, #0xfffffff00885d020
