; Candidate 10269
; ADRP+ADD at VM 0xfffffff008ccc44c (fileoff 0x1cc844c): page=0x1fe698000 add_imm=0xd72

0xfffffff008ccc3cc: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff008ccc3d0: c034ff90  adrp	x0, #0xfffffff007364000
0xfffffff008ccc3d4: 003c2e91  add	x0, x0, #0xb8f
0xfffffff008ccc3d8: 026bd997  bl	#0xfffffff008326fe0
0xfffffff008ccc3dc: e01700f9  str	x0, [sp, #0x28]
0xfffffff008ccc3e0: c034ff90  adrp	x0, #0xfffffff007364000
0xfffffff008ccc3e4: 005c2e91  add	x0, x0, #0xb97
0xfffffff008ccc3e8: fe6ad997  bl	#0xfffffff008326fe0
0xfffffff008ccc3ec: e01b00f9  str	x0, [sp, #0x30]
0xfffffff008ccc3f0: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008ccc3f4: e00641f9  ldr	x0, [x23, #0x208]
0xfffffff008ccc3f8: f35e0691  add	x19, x23, #0x197
0xfffffff008ccc3fc: 100040f9  ldr	x16, [x0]
0xfffffff008ccc400: f10300aa  mov	x17, x0
0xfffffff008ccc404: 51fef3f2  movk	x17, #0x9ff2, lsl #48
0xfffffff008ccc408: 301ac1da  autda	x16, x17
0xfffffff008ccc40c: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008ccc410: e90310aa  mov	x9, x16
0xfffffff008ccc414: e10313aa  mov	x1, x19
0xfffffff008ccc418: f10309aa  mov	x17, x9
0xfffffff008ccc41c: d11afcf2  movk	x17, #0xe0d6, lsl #48
0xfffffff008ccc420: 11093fd7  blraa	x8, x17
0xfffffff008ccc424: e8a641b9  ldr	w8, [x23, #0x1a4]
0xfffffff008ccc428: 88010034  cbz	w8, #0xfffffff008ccc458
0xfffffff008ccc42c: c0b000d0  adrp	x0, #0xfffffff00a2e6000
0xfffffff008ccc430: 00e03291  add	x0, x0, #0xcb8
0xfffffff008ccc434: 4961d897  bl	#0xfffffff0082e4958
0xfffffff008ccc438: 68024039  ldrb	w8, [x19]
0xfffffff008ccc43c: c934ff90  adrp	x9, #0xfffffff007364000
0xfffffff008ccc440: 29693691  add	x9, x9, #0xd9a
0xfffffff008ccc444: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008ccc448: e00300f9  str	x0, [sp]
0xfffffff008ccc44c: c034ff90  adrp	x0, #0xfffffff007364000
0xfffffff008ccc450: 00c83591  add	x0, x0, #0xd72
0xfffffff008ccc454: f32ada97  bl	#0xfffffff008357020
0xfffffff008ccc458: e85e4639  ldrb	w8, [x23, #0x197]
0xfffffff008ccc45c: e9564639  ldrb	w9, [x23, #0x195]
0xfffffff008ccc460: 1f01096b  cmp	w8, w9
0xfffffff008ccc464: c21f0054  b.hs	#0xfffffff008ccc85c
0xfffffff008ccc468: f3120391  add	x19, x23, #0xc4
0xfffffff008ccc46c: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff008ccc470: 000540b9  ldr	w0, [x8, #4]
0xfffffff008ccc474: 01048052  mov	w1, #0x20
0xfffffff008ccc478: 9d4bd997  bl	#0xfffffff00831f2ec
0xfffffff008ccc47c: e01f00f9  str	x0, [sp, #0x38]
0xfffffff008ccc480: e85e4639  ldrb	w8, [x23, #0x197]
0xfffffff008ccc484: 08f17dd3  lsl	x8, x8, #3
0xfffffff008ccc488: 606a68b8  ldr	w0, [x19, x8]
0xfffffff008ccc48c: 01048052  mov	w1, #0x20
0xfffffff008ccc490: 974bd997  bl	#0xfffffff00831f2ec
0xfffffff008ccc494: e02300f9  str	x0, [sp, #0x40]
0xfffffff008ccc498: e0e30091  add	x0, sp, #0x38
0xfffffff008ccc49c: e1a30091  add	x1, sp, #0x28
0xfffffff008ccc4a0: 42008052  mov	w2, #2
0xfffffff008ccc4a4: 03008052  mov	w3, #0
0xfffffff008ccc4a8: 8693d897  bl	#0xfffffff0082f12c0
0xfffffff008ccc4ac: f30300aa  mov	x19, x0
0xfffffff008ccc4b0: 686fffd0  adrp	x8, #0xfffffff007aba000
0xfffffff008ccc4b4: 089d40f9  ldr	x8, [x8, #0x138]
0xfffffff008ccc4b8: 010140f9  ldr	x1, [x8]
0xfffffff008ccc4bc: 0e5ed897  bl	#0xfffffff0082e3cf4
0xfffffff008ccc4c0: e20300aa  mov	x2, x0
0xfffffff008ccc4c4: f00240f9  ldr	x16, [x23]
0xfffffff008ccc4c8: f10317aa  mov	x17, x23
