; Candidate 16142
; ADRP+ADD at VM 0xfffffff009e28f80 (fileoff 0x2e24f80): page=0x1fd87b000 add_imm=0xe00

0xfffffff009e28f00: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e28f04: ffc30091  add	sp, sp, #0x30
0xfffffff009e28f08: ff0f5fd6  retab	
0xfffffff009e28f0c: 7f2303d5  pacibsp	
0xfffffff009e28f10: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e28f14: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e28f18: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e28f1c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e28f20: fdc30091  add	x29, sp, #0x30
0xfffffff009e28f24: f40301aa  mov	x20, x1
0xfffffff009e28f28: f50300aa  mov	x21, x0
0xfffffff009e28f2c: a82c00f0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e28f30: 006d43f9  ldr	x0, [x8, #0x6d8]
0xfffffff009e28f34: 936dff97  bl	#0xfffffff009e04580
0xfffffff009e28f38: f30300aa  mov	x19, x0
0xfffffff009e28f3c: 1f080071  cmp	w0, #2
0xfffffff009e28f40: 00030054  b.eq	#0xfffffff009e28fa0
0xfffffff009e28f44: d3010035  cbnz	w19, #0xfffffff009e28f7c
0xfffffff009e28f48: e00315aa  mov	x0, x21
0xfffffff009e28f4c: 3d230094  bl	#0xfffffff009e31c40
0xfffffff009e28f50: 1a000094  bl	#0xfffffff009e28fb8
0xfffffff009e28f54: f40300f9  str	x20, [sp]
0xfffffff009e28f58: c0c3fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e28f5c: 00003891  add	x0, x0, #0xe00
0xfffffff009e28f60: 01f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e28f64: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e28f68: c3cffe90  adrp	x3, #0xfffffff007820000
0xfffffff009e28f6c: 639c3391  add	x3, x3, #0xce7
0xfffffff009e28f70: 22008052  mov	w2, #1
0xfffffff009e28f74: 6f289497  bl	#0xfffffff008333130
0xfffffff009e28f78: 0a000014  b	#0xfffffff009e28fa0
0xfffffff009e28f7c: f40300f9  str	x20, [sp]
0xfffffff009e28f80: c0c3fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e28f84: 00003891  add	x0, x0, #0xe00
0xfffffff009e28f88: 01f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e28f8c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e28f90: c3cffe90  adrp	x3, #0xfffffff007820000
0xfffffff009e28f94: 63143491  add	x3, x3, #0xd05
0xfffffff009e28f98: 02028052  mov	w2, #0x10
0xfffffff009e28f9c: 65289497  bl	#0xfffffff008333130
0xfffffff009e28fa0: e00313aa  mov	x0, x19
0xfffffff009e28fa4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e28fa8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e28fac: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e28fb0: ff030191  add	sp, sp, #0x40
0xfffffff009e28fb4: ff0f5fd6  retab	
0xfffffff009e28fb8: 7f2303d5  pacibsp	
0xfffffff009e28fbc: ff4304d1  sub	sp, sp, #0x110
0xfffffff009e28fc0: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff009e28fc4: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff009e28fc8: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff009e28fcc: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff009e28fd0: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff009e28fd4: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff009e28fd8: fd030491  add	x29, sp, #0x100
0xfffffff009e28fdc: f3630191  add	x19, sp, #0x58
0xfffffff009e28fe0: ffcf05a9  stp	xzr, x19, [sp, #0x58]
0xfffffff009e28fe4: e8c3fe90  adrp	x8, #0xfffffff0076a4000
0xfffffff009e28fe8: 001142fd  ldr	d0, [x8, #0x420]
0xfffffff009e28fec: e03700fd  str	d0, [sp, #0x68]
0xfffffff009e28ff0: 28008052  mov	w8, #1
0xfffffff009e28ff4: e8c30139  strb	w8, [sp, #0x70]
0xfffffff009e28ff8: 00408052  mov	w0, #0x200
0xfffffff009e28ffc: e1050094  bl	#0xfffffff009e2a780
