; Candidate 2126
; ADRP+ADD at VM 0xfffffff00855c67c (fileoff 0x155867c): page=0x1feb85000 add_imm=0xe22

0xfffffff00855c5fc: 10820c91  add	x16, x16, #0x320
0xfffffff00855c600: 10420091  add	x16, x16, #0x10
0xfffffff00855c604: f10300aa  mov	x17, x0
0xfffffff00855c608: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00855c60c: 300ac1da  pacda	x16, x17
0xfffffff00855c610: 100000f9  str	x16, [x0]
0xfffffff00855c614: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00855c618: ff0f5fd6  retab	
0xfffffff00855c61c: 5f2403d5  bti	c
0xfffffff00855c620: c0eb00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855c624: 00202191  add	x0, x0, #0x848
0xfffffff00855c628: 3320f617  b	#0xfffffff0082e46f4
0xfffffff00855c62c: 5f2403d5  bti	c
0xfffffff00855c630: 000080d2  mov	x0, #0
0xfffffff00855c634: c0035fd6  ret	
0xfffffff00855c638: 5f2403d5  bti	c
0xfffffff00855c63c: 2e20f617  b	#0xfffffff0082e46f4
0xfffffff00855c640: 5f2403d5  bti	c
0xfffffff00855c644: 2c20f617  b	#0xfffffff0082e46f4
0xfffffff00855c648: 7f2303d5  pacibsp	
0xfffffff00855c64c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855c650: fd030091  mov	x29, sp
0xfffffff00855c654: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c658: 00603791  add	x0, x0, #0xdd8
0xfffffff00855c65c: f732f797  bl	#0xfffffff008329238
0xfffffff00855c660: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c664: 004d04f9  str	x0, [x8, #0x898]
0xfffffff00855c668: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c66c: 00083891  add	x0, x0, #0xe02
0xfffffff00855c670: f232f797  bl	#0xfffffff008329238
0xfffffff00855c674: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c678: 005104f9  str	x0, [x8, #0x8a0]
0xfffffff00855c67c: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c680: 00883891  add	x0, x0, #0xe22
0xfffffff00855c684: ed32f797  bl	#0xfffffff008329238
0xfffffff00855c688: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c68c: 005504f9  str	x0, [x8, #0x8a8]
0xfffffff00855c690: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c694: 00e43891  add	x0, x0, #0xe39
0xfffffff00855c698: e832f797  bl	#0xfffffff008329238
0xfffffff00855c69c: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c6a0: 005904f9  str	x0, [x8, #0x8b0]
0xfffffff00855c6a4: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c6a8: 004c3991  add	x0, x0, #0xe53
0xfffffff00855c6ac: e332f797  bl	#0xfffffff008329238
0xfffffff00855c6b0: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c6b4: 005d04f9  str	x0, [x8, #0x8b8]
0xfffffff00855c6b8: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c6bc: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00855c6c0: de32f797  bl	#0xfffffff008329238
0xfffffff00855c6c4: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c6c8: 006104f9  str	x0, [x8, #0x8c0]
0xfffffff00855c6cc: c0eb00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855c6d0: 00202391  add	x0, x0, #0x8c8
0xfffffff00855c6d4: 215cffb0  adrp	x1, #0xfffffff0070e1000
0xfffffff00855c6d8: 21f43491  add	x1, x1, #0xd3d
0xfffffff00855c6dc: c2eb00d0  adrp	x2, #0xfffffff00a2d6000
0xfffffff00855c6e0: 42c02391  add	x2, x2, #0x8f0
0xfffffff00855c6e4: 03268052  mov	w3, #0x130
0xfffffff00855c6e8: 141df697  bl	#0xfffffff0082e3b38
0xfffffff00855c6ec: 30a2ff90  adrp	x16, #0xfffffff0079a0000
0xfffffff00855c6f0: 10421391  add	x16, x16, #0x4d0
0xfffffff00855c6f4: 10420091  add	x16, x16, #0x10
0xfffffff00855c6f8: f10300aa  mov	x17, x0
