; Candidate 15912
; ADRP+ADD at VM 0xfffffff009dd6f18 (fileoff 0x2dd2f18): page=0x1fd8c7000 add_imm=0xdd0

0xfffffff009dd6e98: 11093fd7  blraa	x8, x17
0xfffffff009dd6e9c: a8028052  mov	w8, #0x15
0xfffffff009dd6ea0: 29c6fef0  adrp	x9, #0xfffffff00769d000
0xfffffff009dd6ea4: 29fd3691  add	x9, x9, #0xdbf
0xfffffff009dd6ea8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff009dd6eac: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff009dd6eb0: f45700a9  stp	x20, x21, [sp]
0xfffffff009dd6eb4: 20c6fef0  adrp	x0, #0xfffffff00769d000
0xfffffff009dd6eb8: 00a83591  add	x0, x0, #0xd6a
0xfffffff009dd6ebc: 94f59a97  bl	#0xfffffff00849450c
0xfffffff009dd6ec0: 7f2303d5  pacibsp	
0xfffffff009dd6ec4: ffc300d1  sub	sp, sp, #0x30
0xfffffff009dd6ec8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009dd6ecc: fd830091  add	x29, sp, #0x20
0xfffffff009dd6ed0: 0800022a  orr	w8, w0, w2
0xfffffff009dd6ed4: 1f0540f2  tst	x8, #3
0xfffffff009dd6ed8: 61010054  b.ne	#0xfffffff009dd6f04
0xfffffff009dd6edc: 5f1000f1  cmp	x2, #4
0xfffffff009dd6ee0: c3000054  b.lo	#0xfffffff009dd6ef8
0xfffffff009dd6ee4: 284440b8  ldr	w8, [x1], #4
0xfffffff009dd6ee8: 084400b8  str	w8, [x0], #4
0xfffffff009dd6eec: 421000d1  sub	x2, x2, #4
0xfffffff009dd6ef0: 5f0c00f1  cmp	x2, #3
0xfffffff009dd6ef4: 88ffff54  b.hi	#0xfffffff009dd6ee4
0xfffffff009dd6ef8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009dd6efc: ffc30091  add	sp, sp, #0x30
0xfffffff009dd6f00: ff0f5fd6  retab	
0xfffffff009dd6f04: 88048052  mov	w8, #0x24
0xfffffff009dd6f08: 29c6fef0  adrp	x9, #0xfffffff00769d000
0xfffffff009dd6f0c: 29fd3691  add	x9, x9, #0xdbf
0xfffffff009dd6f10: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009dd6f14: e00b00a9  stp	x0, x2, [sp]
0xfffffff009dd6f18: 20c6fef0  adrp	x0, #0xfffffff00769d000
0xfffffff009dd6f1c: 00403791  add	x0, x0, #0xdd0
0xfffffff009dd6f20: 7bf59a97  bl	#0xfffffff00849450c
0xfffffff009dd6f24: 7f2303d5  pacibsp	
0xfffffff009dd6f28: ff0301d1  sub	sp, sp, #0x40
0xfffffff009dd6f2c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009dd6f30: fdc30091  add	x29, sp, #0x30
0xfffffff009dd6f34: 2800022a  orr	w8, w1, w2
0xfffffff009dd6f38: 1f0540f2  tst	x8, #3
0xfffffff009dd6f3c: 61010054  b.ne	#0xfffffff009dd6f68
0xfffffff009dd6f40: 5f1000f1  cmp	x2, #4
0xfffffff009dd6f44: c3000054  b.lo	#0xfffffff009dd6f5c
0xfffffff009dd6f48: 284440b8  ldr	w8, [x1], #4
0xfffffff009dd6f4c: 084400b8  str	w8, [x0], #4
0xfffffff009dd6f50: 421000d1  sub	x2, x2, #4
0xfffffff009dd6f54: 5f0c00f1  cmp	x2, #3
0xfffffff009dd6f58: 88ffff54  b.hi	#0xfffffff009dd6f48
0xfffffff009dd6f5c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009dd6f60: ff030191  add	sp, sp, #0x40
0xfffffff009dd6f64: ff0f5fd6  retab	
0xfffffff009dd6f68: 48078052  mov	w8, #0x3a
0xfffffff009dd6f6c: 29c6fef0  adrp	x9, #0xfffffff00769d000
0xfffffff009dd6f70: 29fd3691  add	x9, x9, #0xdbf
0xfffffff009dd6f74: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009dd6f78: e10b00a9  stp	x1, x2, [sp]
0xfffffff009dd6f7c: 20c6fef0  adrp	x0, #0xfffffff00769d000
0xfffffff009dd6f80: 006c3891  add	x0, x0, #0xe1b
0xfffffff009dd6f84: 62f59a97  bl	#0xfffffff00849450c
0xfffffff009dd6f88: 7f2303d5  pacibsp	
0xfffffff009dd6f8c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dd6f90: fd030091  mov	x29, sp
0xfffffff009dd6f94: 21c6fef0  adrp	x1, #0xfffffff00769d000
