; Candidate 8431
; ADRP+ADD at VM 0xfffffff0088aa478 (fileoff 0x18a6478): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aa3f8: e1008052  mov	w1, #7
0xfffffff0088aa3fc: f544ff97  bl	#0xfffffff00887b7d0
0xfffffff0088aa400: 40020034  cbz	w0, #0xfffffff0088aa448
0xfffffff0088aa404: c00f8052  mov	w0, #0x7e
0xfffffff0088aa408: 0445ff97  bl	#0xfffffff00887b818
0xfffffff0088aa40c: f60300aa  mov	x22, x0
0xfffffff0088aa410: 67270094  bl	#0xfffffff0088b41ac
0xfffffff0088aa414: f50300aa  mov	x21, x0
0xfffffff0088aa418: e0008052  mov	w0, #7
0xfffffff0088aa41c: 0d45ff97  bl	#0xfffffff00887b850
0xfffffff0088aa420: 96010034  cbz	w22, #0xfffffff0088aa450
0xfffffff0088aa424: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088aa428: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa42c: 080d0891  add	x8, x8, #0x203
0xfffffff0088aa430: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa434: c80f8052  mov	w8, #0x7e
0xfffffff0088aa438: f52300a9  stp	x21, x8, [sp]
0xfffffff0088aa43c: 404bffb0  adrp	x0, #0xfffffff007213000
0xfffffff0088aa440: 00b83491  add	x0, x0, #0xd2e
0xfffffff0088aa444: 0734d497  bl	#0xfffffff007db7460
0xfffffff0088aa448: b30200b5  cbnz	x19, #0xfffffff0088aa49c
0xfffffff0088aa44c: 33000014  b	#0xfffffff0088aa518
0xfffffff0088aa450: 57270094  bl	#0xfffffff0088b41ac
0xfffffff0088aa454: f50300aa  mov	x21, x0
0xfffffff0088aa458: e0008052  mov	w0, #7
0xfffffff0088aa45c: fd44ff97  bl	#0xfffffff00887b850
0xfffffff0088aa460: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088aa464: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa468: 080d0891  add	x8, x8, #0x203
0xfffffff0088aa46c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa470: c80f8052  mov	w8, #0x7e
0xfffffff0088aa474: f52300a9  stp	x21, x8, [sp]
0xfffffff0088aa478: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aa47c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aa480: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aa484: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aa488: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aa48c: 63e40c91  add	x3, x3, #0x339
0xfffffff0088aa490: 02008052  mov	w2, #0
0xfffffff0088aa494: 2723ea97  bl	#0xfffffff008333130
0xfffffff0088aa498: 130400b4  cbz	x19, #0xfffffff0088aa518
0xfffffff0088aa49c: f40300b4  cbz	x20, #0xfffffff0088aa518
0xfffffff0088aa4a0: c00f8052  mov	w0, #0x7e
0xfffffff0088aa4a4: 01018052  mov	w1, #8
0xfffffff0088aa4a8: ca44ff97  bl	#0xfffffff00887b7d0
0xfffffff0088aa4ac: e0090034  cbz	w0, #0xfffffff0088aa5e8
0xfffffff0088aa4b0: c00f8052  mov	w0, #0x7e
0xfffffff0088aa4b4: d944ff97  bl	#0xfffffff00887b818
0xfffffff0088aa4b8: f60300aa  mov	x22, x0
0xfffffff0088aa4bc: 3c270094  bl	#0xfffffff0088b41ac
0xfffffff0088aa4c0: f50300aa  mov	x21, x0
0xfffffff0088aa4c4: 00018052  mov	w0, #8
0xfffffff0088aa4c8: e244ff97  bl	#0xfffffff00887b850
0xfffffff0088aa4cc: b6050034  cbz	w22, #0xfffffff0088aa580
0xfffffff0088aa4d0: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff0088aa4d4: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0088aa4d8: 8a2e4229  ldp	w10, w11, [x20, #0x10]
0xfffffff0088aa4dc: 8c2240b9  ldr	w12, [x20, #0x20]
0xfffffff0088aa4e0: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0088aa4e4: e82b04a9  stp	x8, x10, [sp, #0x40]
0xfffffff0088aa4e8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088aa4ec: 88448052  mov	w8, #0x224
0xfffffff0088aa4f0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088aa4f4: 484cffb0  adrp	x8, #0xfffffff007233000
