; Candidate 9397
; ADRP+ADD at VM 0xfffffff008a3b87c (fileoff 0x1a3787c): page=0x1fe85e000 add_imm=0xe40

0xfffffff008a3b7fc: 1301931a  csel	w19, w8, w19, eq
0xfffffff008a3b800: 900240f9  ldr	x16, [x20]
0xfffffff008a3b804: f10314aa  mov	x17, x20
0xfffffff008a3b808: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3b80c: 301ac1da  autda	x16, x17
0xfffffff008a3b810: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3b814: 1002118b  add	x16, x16, x17
0xfffffff008a3b818: 080240f9  ldr	x8, [x16]
0xfffffff008a3b81c: e90310aa  mov	x9, x16
0xfffffff008a3b820: e00314aa  mov	x0, x20
0xfffffff008a3b824: 010080d2  mov	x1, #0
0xfffffff008a3b828: f10309aa  mov	x17, x9
0xfffffff008a3b82c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3b830: 11093fd7  blraa	x8, x17
0xfffffff008a3b834: 900240f9  ldr	x16, [x20]
0xfffffff008a3b838: f10314aa  mov	x17, x20
0xfffffff008a3b83c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3b840: 301ac1da  autda	x16, x17
0xfffffff008a3b844: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3b848: 1002118b  add	x16, x16, x17
0xfffffff008a3b84c: 080240f9  ldr	x8, [x16]
0xfffffff008a3b850: e90310aa  mov	x9, x16
0xfffffff008a3b854: e00314aa  mov	x0, x20
0xfffffff008a3b858: 010080d2  mov	x1, #0
0xfffffff008a3b85c: f10309aa  mov	x17, x9
0xfffffff008a3b860: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3b864: 11093fd7  blraa	x8, x17
0xfffffff008a3b868: e97f4039  ldrb	w9, [sp, #0x1f]
0xfffffff008a3b86c: 0843fff0  adrp	x8, #0xfffffff00729e000
0xfffffff008a3b870: 08950e91  add	x8, x8, #0x3a5
0xfffffff008a3b874: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008a3b878: e00300f9  str	x0, [sp]
0xfffffff008a3b87c: e042ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a3b880: 00003991  add	x0, x0, #0xe40
0xfffffff008a3b884: 8180ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a3b888: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a3b88c: 2343ffd0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a3b890: 63601491  add	x3, x3, #0x518
0xfffffff008a3b894: 02028052  mov	w2, #0x10
0xfffffff008a3b898: 26dee397  bl	#0xfffffff008333130
0xfffffff008a3b89c: 900240f9  ldr	x16, [x20]
0xfffffff008a3b8a0: b01ac1da  autda	x16, x21
0xfffffff008a3b8a4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3b8a8: 1002118b  add	x16, x16, x17
0xfffffff008a3b8ac: 080240f9  ldr	x8, [x16]
0xfffffff008a3b8b0: e90310aa  mov	x9, x16
0xfffffff008a3b8b4: e00314aa  mov	x0, x20
0xfffffff008a3b8b8: 010080d2  mov	x1, #0
0xfffffff008a3b8bc: f10309aa  mov	x17, x9
0xfffffff008a3b8c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3b8c4: 11093fd7  blraa	x8, x17
0xfffffff008a3b8c8: e87f4039  ldrb	w8, [sp, #0x1f]
0xfffffff008a3b8cc: 0943fff0  adrp	x9, #0xfffffff00729e000
0xfffffff008a3b8d0: 29950e91  add	x9, x9, #0x3a5
0xfffffff008a3b8d4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008a3b8d8: e00300f9  str	x0, [sp]
0xfffffff008a3b8dc: 0043fff0  adrp	x0, #0xfffffff00729e000
0xfffffff008a3b8e0: 00480e91  add	x0, x0, #0x392
0xfffffff008a3b8e4: cf6de497  bl	#0xfffffff008357020
0xfffffff008a3b8e8: e00313aa  mov	x0, x19
0xfffffff008a3b8ec: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008a3b8f0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008a3b8f4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008a3b8f8: f85f43a9  ldp	x24, x23, [sp, #0x30]
