; Candidate 2742
; ADRP+ADD at VM 0xfffffff0086e62d0 (fileoff 0x16e22d0): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e6250: e1f6ff54  b.ne	#0xfffffff0086e612c
0xfffffff0086e6254: 0a0240b9  ldr	w10, [x16]
0xfffffff0086e6258: 290240b9  ldr	w9, [x17]
0xfffffff0086e625c: 5f1d0071  cmp	w10, #7
0xfffffff0086e6260: e8040054  b.hi	#0xfffffff0086e62fc
0xfffffff0086e6264: 08008052  mov	w8, #0
0xfffffff0086e6268: 14008052  mov	w20, #0
0xfffffff0086e626c: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e6270: 8b008052  mov	w11, #4
0xfffffff0086e6274: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e6278: 945e1853  lsl	w20, w20, #8
0xfffffff0086e627c: bf010ceb  cmp	x13, x12
0xfffffff0086e6280: 02010054  b.hs	#0xfffffff0086e62a0
0xfffffff0086e6284: 08210011  add	w8, w8, #8
0xfffffff0086e6288: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e628c: ae050091  add	x14, x13, #1
0xfffffff0086e6290: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e6294: ad014039  ldrb	w13, [x13]
0xfffffff0086e6298: 94020d2a  orr	w20, w20, w13
0xfffffff0086e629c: ed030eaa  mov	x13, x14
0xfffffff0086e62a0: 6b050071  subs	w11, w11, #1
0xfffffff0086e62a4: a1feff54  b.ne	#0xfffffff0086e6278
0xfffffff0086e62a8: 0b018052  mov	w11, #8
0xfffffff0086e62ac: 75010a4b  sub	w21, w11, w10
0xfffffff0086e62b0: ea030a4b  neg	w10, w10
0xfffffff0086e62b4: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086e62b8: 3621d51a  lsl	w22, w9, w21
0xfffffff0086e62bc: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e62c0: 290140b9  ldr	w9, [x9]
0xfffffff0086e62c4: 3f011a6a  tst	w9, w26
0xfffffff0086e62c8: 20020054  b.eq	#0xfffffff0086e630c
0xfffffff0086e62cc: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e62d0: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e62d4: 00403691  add	x0, x0, #0xd90
0xfffffff0086e62d8: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e62dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e62e0: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e62e4: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e62e8: 02008052  mov	w2, #0
0xfffffff0086e62ec: 9133f197  bl	#0xfffffff008333130
0xfffffff0086e62f0: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e62f4: 080240b9  ldr	w8, [x16]
0xfffffff0086e62f8: 05000014  b	#0xfffffff0086e630c
0xfffffff0086e62fc: 16008052  mov	w22, #0
0xfffffff0086e6300: 15018052  mov	w21, #8
0xfffffff0086e6304: e8030aaa  mov	x8, x10
0xfffffff0086e6308: f40309aa  mov	x20, x9
0xfffffff0086e630c: e903154b  neg	w9, w21
0xfffffff0086e6310: 8926c91a  lsr	w9, w20, w9
0xfffffff0086e6314: 3601162a  orr	w22, w9, w22
0xfffffff0086e6318: 9422d51a  lsl	w20, w20, w21
0xfffffff0086e631c: 340200b9  str	w20, [x17]
0xfffffff0086e6320: 0801154b  sub	w8, w8, w21
0xfffffff0086e6324: 080200b9  str	w8, [x16]
0xfffffff0086e6328: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e632c: 290140b9  ldr	w9, [x9]
0xfffffff0086e6330: 3f011a6a  tst	w9, w26
0xfffffff0086e6334: 20020054  b.eq	#0xfffffff0086e6378
0xfffffff0086e6338: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e633c: 4853ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086e6340: 08a11391  add	x8, x8, #0x4e8
0xfffffff0086e6344: 09018052  mov	w9, #8
0xfffffff0086e6348: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e634c: 4052fff0  adrp	x0, #0xfffffff007131000
