; Candidate 16146
; ADRP+ADD at VM 0xfffffff009e294f4 (fileoff 0x2e254f4): page=0x1fd87a000 add_imm=0xe00

0xfffffff009e29474: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e29478: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e2947c: ff0f5fd6  retab	
0xfffffff009e29480: 7f2303d5  pacibsp	
0xfffffff009e29484: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e29488: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e2948c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e29490: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e29494: fdc30091  add	x29, sp, #0x30
0xfffffff009e29498: f40301aa  mov	x20, x1
0xfffffff009e2949c: f50300aa  mov	x21, x0
0xfffffff009e294a0: a82c00d0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e294a4: 006d43f9  ldr	x0, [x8, #0x6d8]
0xfffffff009e294a8: 076bff97  bl	#0xfffffff009e040c4
0xfffffff009e294ac: f30300aa  mov	x19, x0
0xfffffff009e294b0: 1f440071  cmp	w0, #0x11
0xfffffff009e294b4: 00030054  b.eq	#0xfffffff009e29514
0xfffffff009e294b8: d3010035  cbnz	w19, #0xfffffff009e294f0
0xfffffff009e294bc: a01240f9  ldr	x0, [x21, #0x20]
0xfffffff009e294c0: e0210094  bl	#0xfffffff009e31c40
0xfffffff009e294c4: bdfeff97  bl	#0xfffffff009e28fb8
0xfffffff009e294c8: f40300f9  str	x20, [sp]
0xfffffff009e294cc: c0c3fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e294d0: 00003891  add	x0, x0, #0xe00
0xfffffff009e294d4: 01f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e294d8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e294dc: a3cffef0  adrp	x3, #0xfffffff007820000
0xfffffff009e294e0: 63c43591  add	x3, x3, #0xd71
0xfffffff009e294e4: 22008052  mov	w2, #1
0xfffffff009e294e8: 12279497  bl	#0xfffffff008333130
0xfffffff009e294ec: 0a000014  b	#0xfffffff009e29514
0xfffffff009e294f0: f40300f9  str	x20, [sp]
0xfffffff009e294f4: c0c3fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e294f8: 00003891  add	x0, x0, #0xe00
0xfffffff009e294fc: 01f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e29500: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e29504: a3cffef0  adrp	x3, #0xfffffff007820000
0xfffffff009e29508: 63343691  add	x3, x3, #0xd8d
0xfffffff009e2950c: 02028052  mov	w2, #0x10
0xfffffff009e29510: 08279497  bl	#0xfffffff008333130
0xfffffff009e29514: e00313aa  mov	x0, x19
0xfffffff009e29518: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e2951c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e29520: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e29524: ff030191  add	sp, sp, #0x40
0xfffffff009e29528: ff0f5fd6  retab	
0xfffffff009e2952c: 7f2303d5  pacibsp	
0xfffffff009e29530: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e29534: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e29538: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e2953c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e29540: fdc30091  add	x29, sp, #0x30
0xfffffff009e29544: f30301aa  mov	x19, x1
0xfffffff009e29548: ff0700f9  str	xzr, [sp, #8]
0xfffffff009e2954c: e5230091  add	x5, sp, #8
0xfffffff009e29550: 010080d2  mov	x1, #0
0xfffffff009e29554: 020080d2  mov	x2, #0
0xfffffff009e29558: 03008052  mov	w3, #0
0xfffffff009e2955c: 040080d2  mov	x4, #0
0xfffffff009e29560: 060080d2  mov	x6, #0
0xfffffff009e29564: 436eff97  bl	#0xfffffff009e04e70
0xfffffff009e29568: f50300aa  mov	x21, x0
0xfffffff009e2956c: f40740f9  ldr	x20, [sp, #8]
0xfffffff009e29570: 40010035  cbnz	w0, #0xfffffff009e29598
