; Candidate 1140
; ADRP+ADD at VM 0xfffffff00822865c (fileoff 0x122465c): page=0x1fee62000 add_imm=0xe5e

0xfffffff0082285dc: 8562f997  bl	#0xfffffff008080ff0
0xfffffff0082285e0: 681e4079  ldrh	w8, [x19, #0xe]
0xfffffff0082285e4: 48030036  tbz	w8, #0, #0xfffffff00822864c
0xfffffff0082285e8: 08391f12  and	w8, w8, #0xfffe
0xfffffff0082285ec: 681e0079  strh	w8, [x19, #0xe]
0xfffffff0082285f0: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0082285f4: 082540f9  ldr	x8, [x8, #0x48]
0xfffffff0082285f8: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0082285fc: e00313aa  mov	x0, x19
0xfffffff008228600: e10315aa  mov	x1, x21
0xfffffff008228604: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008228608: 11093fd7  blraa	x8, x17
0xfffffff00822860c: f50300aa  mov	x21, x0
0xfffffff008228610: 94000034  cbz	w20, #0xfffffff008228620
0xfffffff008228614: e00313aa  mov	x0, x19
0xfffffff008228618: 21008052  mov	w1, #1
0xfffffff00822861c: 60edff97  bl	#0xfffffff008223b9c
0xfffffff008228620: e00315aa  mov	x0, x21
0xfffffff008228624: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008228628: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00822862c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008228630: ff430191  add	sp, sp, #0x50
0xfffffff008228634: ff0f5fd6  retab	
0xfffffff008228638: e20f00f9  str	x2, [sp, #0x18]
0xfffffff00822863c: 02008052  mov	w2, #0
0xfffffff008228640: 2e0dee97  bl	#0xfffffff007dabaf8
0xfffffff008228644: e20f40f9  ldr	x2, [sp, #0x18]
0xfffffff008228648: c6ffff17  b	#0xfffffff008228560
0xfffffff00822864c: 0873ffd0  adrp	x8, #0xfffffff00708a000
0xfffffff008228650: 08dd3491  add	x8, x8, #0xd37
0xfffffff008228654: 89c58052  mov	w9, #0x62c
0xfffffff008228658: e82700a9  stp	x8, x9, [sp]
0xfffffff00822865c: 0073ffd0  adrp	x0, #0xfffffff00708a000
0xfffffff008228660: 00783991  add	x0, x0, #0xe5e
0xfffffff008228664: aaaf0994  bl	#0xfffffff00849450c
0xfffffff008228668: 7f2303d5  pacibsp	
0xfffffff00822866c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008228670: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008228674: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008228678: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00822867c: fdc30091  add	x29, sp, #0x30
0xfffffff008228680: f40301aa  mov	x20, x1
0xfffffff008228684: f30300aa  mov	x19, x0
0xfffffff008228688: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff00822868c: f5031eaa  mov	x21, x30
0xfffffff008228690: f543c1da  xpaci	x21
0xfffffff008228694: 090c40f9  ldr	x9, [x0, #0x18]
0xfffffff008228698: 283540f9  ldr	x8, [x9, #0x68]
0xfffffff00822869c: e80000b4  cbz	x8, #0xfffffff0082286b8
0xfffffff0082286a0: e00313aa  mov	x0, x19
0xfffffff0082286a4: 21008052  mov	w1, #1
0xfffffff0082286a8: e20315aa  mov	x2, x21
0xfffffff0082286ac: d12587d2  mov	x17, #0x392e
0xfffffff0082286b0: 11093fd7  blraa	x8, x17
0xfffffff0082286b4: 13000014  b	#0xfffffff008228700
0xfffffff0082286b8: 290940f9  ldr	x9, [x9, #0x10]
0xfffffff0082286bc: 200940f9  ldr	x0, [x9, #0x10]
0xfffffff0082286c0: 81d038d5  mrs	x1, tpidr_el1
0xfffffff0082286c4: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff0082286c8: 0a200091  add	x10, x0, #8
0xfffffff0082286cc: 497de8c8  casa	x8, x9, [x10]
0xfffffff0082286d0: 1f0100f1  cmp	x8, #0
0xfffffff0082286d4: 410d0054  b.ne	#0xfffffff00822887c
0xfffffff0082286d8: 684e42b9  ldr	w8, [x19, #0x24c]
