; Candidate 15443
; ADRP+ADD at VM 0xfffffff009ba88b0 (fileoff 0x2ba48b0): page=0x1fda8e000 add_imm=0xd17

0xfffffff009ba8830: 81040054  b.ne	#0xfffffff009ba88c0
0xfffffff009ba8834: 700240f9  ldr	x16, [x19]
0xfffffff009ba8838: f10313aa  mov	x17, x19
0xfffffff009ba883c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ba8840: 301ac1da  autda	x16, x17
0xfffffff009ba8844: 113d80d2  mov	x17, #0x1e8
0xfffffff009ba8848: 1002118b  add	x16, x16, x17
0xfffffff009ba884c: 080240f9  ldr	x8, [x16]
0xfffffff009ba8850: e90310aa  mov	x9, x16
0xfffffff009ba8854: e00313aa  mov	x0, x19
0xfffffff009ba8858: 010080d2  mov	x1, #0
0xfffffff009ba885c: f10309aa  mov	x17, x9
0xfffffff009ba8860: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009ba8864: 11093fd7  blraa	x8, x17
0xfffffff009ba8868: f40300aa  mov	x20, x0
0xfffffff009ba886c: 700240f9  ldr	x16, [x19]
0xfffffff009ba8870: f10313aa  mov	x17, x19
0xfffffff009ba8874: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ba8878: 301ac1da  autda	x16, x17
0xfffffff009ba887c: 114380d2  mov	x17, #0x218
0xfffffff009ba8880: 1002118b  add	x16, x16, x17
0xfffffff009ba8884: 080240f9  ldr	x8, [x16]
0xfffffff009ba8888: e90310aa  mov	x9, x16
0xfffffff009ba888c: e00313aa  mov	x0, x19
0xfffffff009ba8890: 010080d2  mov	x1, #0
0xfffffff009ba8894: f10309aa  mov	x17, x9
0xfffffff009ba8898: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009ba889c: 11093fd7  blraa	x8, x17
0xfffffff009ba88a0: 28008052  mov	w8, #1
0xfffffff009ba88a4: f8a301a9  stp	x24, x8, [sp, #0x18]
0xfffffff009ba88a8: e0df00a9  stp	x0, x23, [sp, #8]
0xfffffff009ba88ac: f40300f9  str	x20, [sp]
0xfffffff009ba88b0: 60d4fed0  adrp	x0, #0xfffffff007636000
0xfffffff009ba88b4: 005c3491  add	x0, x0, #0xd17
0xfffffff009ba88b8: dab99e97  bl	#0xfffffff008357020
0xfffffff009ba88bc: 4d000014  b	#0xfffffff009ba89f0
0xfffffff009ba88c0: 88027e92  and	x8, x20, #4
0xfffffff009ba88c4: 08fd41d3  lsr	x8, x8, #1
0xfffffff009ba88c8: 14011f52  eor	w20, w8, #2
0xfffffff009ba88cc: 700240f9  ldr	x16, [x19]
0xfffffff009ba88d0: f10313aa  mov	x17, x19
0xfffffff009ba88d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ba88d8: 301ac1da  autda	x16, x17
0xfffffff009ba88dc: 113d80d2  mov	x17, #0x1e8
0xfffffff009ba88e0: 1002118b  add	x16, x16, x17
0xfffffff009ba88e4: 080240f9  ldr	x8, [x16]
0xfffffff009ba88e8: e90310aa  mov	x9, x16
0xfffffff009ba88ec: e00313aa  mov	x0, x19
0xfffffff009ba88f0: 010080d2  mov	x1, #0
0xfffffff009ba88f4: f10309aa  mov	x17, x9
0xfffffff009ba88f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009ba88fc: 11093fd7  blraa	x8, x17
0xfffffff009ba8900: 700240f9  ldr	x16, [x19]
0xfffffff009ba8904: f10313aa  mov	x17, x19
0xfffffff009ba8908: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ba890c: 301ac1da  autda	x16, x17
0xfffffff009ba8910: 114380d2  mov	x17, #0x218
0xfffffff009ba8914: 1002118b  add	x16, x16, x17
0xfffffff009ba8918: 080240f9  ldr	x8, [x16]
0xfffffff009ba891c: e90310aa  mov	x9, x16
0xfffffff009ba8920: e00313aa  mov	x0, x19
0xfffffff009ba8924: 010080d2  mov	x1, #0
0xfffffff009ba8928: f10309aa  mov	x17, x9
0xfffffff009ba892c: 11a8e6f2  movk	x17, #0x3540, lsl #48
