; Candidate 12791
; ADRP+ADD at VM 0xfffffff0091577e0 (fileoff 0x21537e0): page=0x1fe332000 add_imm=0xd9a

0xfffffff009157760: 400600b4  cbz	x0, #0xfffffff009157828
0xfffffff009157764: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff009157768: 100040f9  ldr	x16, [x0]
0xfffffff00915776c: f10300aa  mov	x17, x0
0xfffffff009157770: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009157774: 301ac1da  autda	x16, x17
0xfffffff009157778: 112180d2  mov	x17, #0x108
0xfffffff00915777c: 1002118b  add	x16, x16, x17
0xfffffff009157780: 080240f9  ldr	x8, [x16]
0xfffffff009157784: a9835df8  ldur	x9, [x29, #-0x28]
0xfffffff009157788: 2a50fff0  adrp	x10, #0xfffffff007b5e000
0xfffffff00915778c: 4a5541f9  ldr	x10, [x10, #0x2a8]
0xfffffff009157790: 4a0140f9  ldr	x10, [x10]
0xfffffff009157794: 5f0109eb  cmp	x10, x9
0xfffffff009157798: 01020054  b.ne	#0xfffffff0091577d8
0xfffffff00915779c: e30310aa  mov	x3, x16
0xfffffff0091577a0: 61e61791  add	x1, x19, #0x5f9
0xfffffff0091577a4: f00308aa  mov	x16, x8
0xfffffff0091577a8: 02008052  mov	w2, #0
0xfffffff0091577ac: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0091577b0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0091577b4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0091577b8: ffc30191  add	sp, sp, #0x70
0xfffffff0091577bc: ff2303d5  autibsp	
0xfffffff0091577c0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0091577c4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0091577cc
0xfffffff0091577c8: 208e38d4  brk	#0xc471
0xfffffff0091577cc: f10303aa  mov	x17, x3
0xfffffff0091577d0: 916dfef2  movk	x17, #0xf36c, lsl #48
0xfffffff0091577d4: 110a1fd7  braa	x16, x17
0xfffffff0091577d8: 9d19b097  bl	#0xfffffff007d5de4c
0xfffffff0091577dc: 736640f9  ldr	x19, [x19, #0xc8]
0xfffffff0091577e0: 8019ffd0  adrp	x0, #0xfffffff007489000
0xfffffff0091577e4: 00683691  add	x0, x0, #0xd9a
0xfffffff0091577e8: 07000014  b	#0xfffffff009157804
0xfffffff0091577ec: 765f0094  bl	#0xfffffff00916f5c4
0xfffffff0091577f0: 60e21791  add	x0, x19, #0x5f8
0xfffffff0091577f4: 465f0094  bl	#0xfffffff00916f50c
0xfffffff0091577f8: 736640f9  ldr	x19, [x19, #0xc8]
0xfffffff0091577fc: 8019ffd0  adrp	x0, #0xfffffff007489000
0xfffffff009157800: 00883091  add	x0, x0, #0xc22
0xfffffff009157804: f73dc797  bl	#0xfffffff008326fe0
0xfffffff009157808: e10300aa  mov	x1, x0
0xfffffff00915780c: e00313aa  mov	x0, x19
0xfffffff009157810: ac283294  bl	#0xfffffff009de1ac0
0xfffffff009157814: 4b5f0094  bl	#0xfffffff00916f540
0xfffffff009157818: 555f0094  bl	#0xfffffff00916f56c
0xfffffff00915781c: 5f5f0094  bl	#0xfffffff00916f598
0xfffffff009157820: 745f0094  bl	#0xfffffff00916f5f0
0xfffffff009157824: 865f0094  bl	#0xfffffff00916f63c
0xfffffff009157828: 985f0094  bl	#0xfffffff00916f688
0xfffffff00915782c: 7f2303d5  pacibsp	
0xfffffff009157830: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009157834: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009157838: fd430091  add	x29, sp, #0x10
0xfffffff00915783c: f30300aa  mov	x19, x0
0xfffffff009157840: 004c40f9  ldr	x0, [x0, #0x98]
0xfffffff009157844: 100040f9  ldr	x16, [x0]
0xfffffff009157848: f10300aa  mov	x17, x0
0xfffffff00915784c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009157850: 301ac1da  autda	x16, x17
0xfffffff009157854: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff009157858: e90310aa  mov	x9, x16
0xfffffff00915785c: 10000090  adrp	x16, #0xfffffff009157000
