; Candidate 15032
; ADRP+ADD at VM 0xfffffff009a57cb4 (fileoff 0x2a53cb4): page=0x960000 add_imm=0xe58

0xfffffff009a57c34: 68420039  strb	w8, [x19, #0x10]
0xfffffff009a57c38: a0ddfed0  adrp	x0, #0xfffffff00760d000
0xfffffff009a57c3c: 00b41491  add	x0, x0, #0x52d
0xfffffff009a57c40: 7e45a397  bl	#0xfffffff008329238
0xfffffff009a57c44: a812ffb0  adrp	x8, #0xfffffff007cac000
0xfffffff009a57c48: 086943f9  ldr	x8, [x8, #0x6d0]
0xfffffff009a57c4c: 080140f9  ldr	x8, [x8]
0xfffffff009a57c50: 60a201a9  stp	x0, x8, [x19, #0x18]
0xfffffff009a57c54: 7fa20039  strb	wzr, [x19, #0x28]
0xfffffff009a57c58: a0ddfed0  adrp	x0, #0xfffffff00760d000
0xfffffff009a57c5c: 000c1591  add	x0, x0, #0x543
0xfffffff009a57c60: 7645a397  bl	#0xfffffff008329238
0xfffffff009a57c64: a812ffb0  adrp	x8, #0xfffffff007cac000
0xfffffff009a57c68: 087d43f9  ldr	x8, [x8, #0x6f8]
0xfffffff009a57c6c: 080140f9  ldr	x8, [x8]
0xfffffff009a57c70: 602203a9  stp	x0, x8, [x19, #0x30]
0xfffffff009a57c74: 7f020139  strb	wzr, [x19, #0x40]
0xfffffff009a57c78: 004b0090  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a57c7c: 00c03891  add	x0, x0, #0xe30
0xfffffff009a57c80: a1ddfed0  adrp	x1, #0xfffffff00760d000
0xfffffff009a57c84: 214c1591  add	x1, x1, #0x553
0xfffffff009a57c88: a212ffb0  adrp	x2, #0xfffffff007cac000
0xfffffff009a57c8c: 424843f9  ldr	x2, [x2, #0x690]
0xfffffff009a57c90: 03268052  mov	w3, #0x130
0xfffffff009a57c94: a92fa297  bl	#0xfffffff0082e3b38
0xfffffff009a57c98: b012ffd0  adrp	x16, #0xfffffff007cad000
0xfffffff009a57c9c: 10223891  add	x16, x16, #0xe08
0xfffffff009a57ca0: 10420091  add	x16, x16, #0x10
0xfffffff009a57ca4: f10300aa  mov	x17, x0
0xfffffff009a57ca8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a57cac: 300ac1da  pacda	x16, x17
0xfffffff009a57cb0: 100000f9  str	x16, [x0]
0xfffffff009a57cb4: 004b0090  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a57cb8: 00603991  add	x0, x0, #0xe58
0xfffffff009a57cbc: a1ddfed0  adrp	x1, #0xfffffff00760d000
0xfffffff009a57cc0: 21fc1791  add	x1, x1, #0x5ff
0xfffffff009a57cc4: a212ffb0  adrp	x2, #0xfffffff007cac000
0xfffffff009a57cc8: 424043f9  ldr	x2, [x2, #0x680]
0xfffffff009a57ccc: 032c8052  mov	w3, #0x160
0xfffffff009a57cd0: 9a2fa297  bl	#0xfffffff0082e3b38
0xfffffff009a57cd4: b012fff0  adrp	x16, #0xfffffff007cae000
0xfffffff009a57cd8: 10821691  add	x16, x16, #0x5a0
0xfffffff009a57cdc: 10420091  add	x16, x16, #0x10
0xfffffff009a57ce0: f10300aa  mov	x17, x0
0xfffffff009a57ce4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a57ce8: 300ac1da  pacda	x16, x17
0xfffffff009a57cec: 100000f9  str	x16, [x0]
0xfffffff009a57cf0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a57cf4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a57cf8: ff0f5fd6  retab	
0xfffffff009a57cfc: 7f2303d5  pacibsp	
0xfffffff009a57d00: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a57d04: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a57d08: fd430091  add	x29, sp, #0x10
0xfffffff009a57d0c: 004b0090  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a57d10: 00603991  add	x0, x0, #0xe58
0xfffffff009a57d14: 7832a297  bl	#0xfffffff0082e46f4
0xfffffff009a57d18: 004b0090  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a57d1c: 00c03891  add	x0, x0, #0xe30
0xfffffff009a57d20: 7532a297  bl	#0xfffffff0082e46f4
0xfffffff009a57d24: 130080d2  mov	x19, #0
0xfffffff009a57d28: 144b00b0  adrp	x20, #0xfffffff00a3b8000
0xfffffff009a57d2c: 94021291  add	x20, x20, #0x480
0xfffffff009a57d30: 806a73f8  ldr	x0, [x20, x19]
