; Candidate 14525
; ADRP+ADD at VM 0xfffffff00980ab40 (fileoff 0x2806b40): page=0x1fddac000 add_imm=0xd0e

0xfffffff00980aac0: 08e12591  add	x8, x8, #0x978
0xfffffff00980aac4: 010140f9  ldr	x1, [x8]
0xfffffff00980aac8: e00315aa  mov	x0, x21
0xfffffff00980aacc: 8a64ab97  bl	#0xfffffff0082e3cf4
0xfffffff00980aad0: 600200b4  cbz	x0, #0xfffffff00980ab1c
0xfffffff00980aad4: e10300aa  mov	x1, x0
0xfffffff00980aad8: e00314aa  mov	x0, x20
0xfffffff00980aadc: 8be5ff97  bl	#0xfffffff009804108
0xfffffff00980aae0: 684e0011  add	w8, w19, #0x13
0xfffffff00980aae4: 1f000071  cmp	w0, #0
0xfffffff00980aae8: f313881a  csel	w19, wzr, w8, ne
0xfffffff00980aaec: afffff17  b	#0xfffffff00980a9a8
0xfffffff00980aaf0: 53588052  mov	w19, #0x2c2
0xfffffff00980aaf4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00980aaf8: 95f5ffb4  cbz	x21, #0xfffffff00980a9a8
0xfffffff00980aafc: 76f5ffb5  cbnz	x22, #0xfffffff00980a9a8
0xfffffff00980ab00: 45f5ffb5  cbnz	x5, #0xfffffff00980a9a8
0xfffffff00980ab04: 26f5ffb5  cbnz	x6, #0xfffffff00980a9a8
0xfffffff00980ab08: 899240f9  ldr	x9, [x20, #0x120]
0xfffffff00980ab0c: 28214039  ldrb	w8, [x9, #8]
0xfffffff00980ab10: 08020837  tbnz	w8, #1, #0xfffffff00980ab50
0xfffffff00980ab14: 283140b9  ldr	w8, [x9, #0x30]
0xfffffff00980ab18: 11000014  b	#0xfffffff00980ab5c
0xfffffff00980ab1c: e00c9b97  bl	#0xfffffff007ecde9c
0xfffffff00980ab20: 886e40f9  ldr	x8, [x20, #0xd8]
0xfffffff00980ab24: 69edfe90  adrp	x9, #0xfffffff0075b6000
0xfffffff00980ab28: 29193591  add	x9, x9, #0xd46
0xfffffff00980ab2c: 4aedfef0  adrp	x10, #0xfffffff0075b5000
0xfffffff00980ab30: 4aa53691  add	x10, x10, #0xda9
0xfffffff00980ab34: a0010034  cbz	w0, #0xfffffff00980ab68
0xfffffff00980ab38: e95701a9  stp	x9, x21, [sp, #0x10]
0xfffffff00980ab3c: e82b00a9  stp	x8, x10, [sp]
0xfffffff00980ab40: 60edfe90  adrp	x0, #0xfffffff0075b6000
0xfffffff00980ab44: 00383491  add	x0, x0, #0xd0e
0xfffffff00980ab48: 3631ad97  bl	#0xfffffff008357020
0xfffffff00980ab4c: 97ffff17  b	#0xfffffff00980a9a8
0xfffffff00980ab50: 884a41b9  ldr	w8, [x20, #0x148]
0xfffffff00980ab54: 48000035  cbnz	w8, #0xfffffff00980ab5c
0xfffffff00980ab58: 286140b9  ldr	w8, [x9, #0x60]
0xfffffff00980ab5c: 13008052  mov	w19, #0
0xfffffff00980ab60: a80200b9  str	w8, [x21]
0xfffffff00980ab64: 91ffff17  b	#0xfffffff00980a9a8
0xfffffff00980ab68: e95701a9  stp	x9, x21, [sp, #0x10]
0xfffffff00980ab6c: e82b00a9  stp	x8, x10, [sp]
0xfffffff00980ab70: 60edfe90  adrp	x0, #0xfffffff0075b6000
0xfffffff00980ab74: 00383491  add	x0, x0, #0xd0e
0xfffffff00980ab78: 7692b197  bl	#0xfffffff00846f550
0xfffffff00980ab7c: 8bffff17  b	#0xfffffff00980a9a8
0xfffffff00980ab80: 886e40f9  ldr	x8, [x20, #0xd8]
0xfffffff00980ab84: 09578252  mov	w9, #0x12b8
0xfffffff00980ab88: 03000014  b	#0xfffffff00980ab94
0xfffffff00980ab8c: 886e40f9  ldr	x8, [x20, #0xd8]
0xfffffff00980ab90: 89698252  mov	w9, #0x134c
0xfffffff00980ab94: 4aedfef0  adrp	x10, #0xfffffff0075b5000
0xfffffff00980ab98: 4a613c91  add	x10, x10, #0xf18
0xfffffff00980ab9c: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff00980aba0: e80300f9  str	x8, [sp]
0xfffffff00980aba4: 40edfef0  adrp	x0, #0xfffffff0075b5000
0xfffffff00980aba8: 00bc2291  add	x0, x0, #0x8af
0xfffffff00980abac: 5826b297  bl	#0xfffffff00849450c
0xfffffff00980abb0: 7f2303d5  pacibsp	
0xfffffff00980abb4: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00980abb8: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff00980abbc: fa6705a9  stp	x26, x25, [sp, #0x50]
