; Candidate 16083
; ADRP+ADD at VM 0xfffffff009e14d38 (fileoff 0x2e10d38): page=0x1fd88f000 add_imm=0xe00

0xfffffff009e14cb8: 8a420091  add	x10, x20, #0x10
0xfffffff009e14cbc: eb0308aa  mov	x11, x8
0xfffffff009e14cc0: 49fdebc8  casal	x11, x9, [x10]
0xfffffff009e14cc4: 7f0108eb  cmp	x11, x8
0xfffffff009e14cc8: 81feff54  b.ne	#0xfffffff009e14c98
0xfffffff009e14ccc: a0020052  eor	w0, w21, #1
0xfffffff009e14cd0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009e14cd4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e14cd8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009e14cdc: ff0f5fd6  retab	
0xfffffff009e14ce0: 02000094  bl	#0xfffffff009e14ce8
0xfffffff009e14ce4: faffff17  b	#0xfffffff009e14ccc
0xfffffff009e14ce8: 7f2303d5  pacibsp	
0xfffffff009e14cec: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e14cf0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e14cf4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e14cf8: fdc30091  add	x29, sp, #0x30
0xfffffff009e14cfc: ff7f01a9  stp	xzr, xzr, [sp, #0x10]
0xfffffff009e14d00: f5359397  bl	#0xfffffff0082e24d4
0xfffffff009e14d04: 3ab58e97  bl	#0xfffffff0081c21ec
0xfffffff009e14d08: e00200b4  cbz	x0, #0xfffffff009e14d64
0xfffffff009e14d0c: f30300aa  mov	x19, x0
0xfffffff009e14d10: e5630091  add	x5, sp, #0x18
0xfffffff009e14d14: e6430091  add	x6, sp, #0x10
0xfffffff009e14d18: 010080d2  mov	x1, #0
0xfffffff009e14d1c: 020080d2  mov	x2, #0
0xfffffff009e14d20: 23008052  mov	w3, #1
0xfffffff009e14d24: 040080d2  mov	x4, #0
0xfffffff009e14d28: 52c0ff97  bl	#0xfffffff009e04e70
0xfffffff009e14d2c: f40f40f9  ldr	x20, [sp, #0x18]
0xfffffff009e14d30: 540100b4  cbz	x20, #0xfffffff009e14d58
0xfffffff009e14d34: f40300f9  str	x20, [sp]
0xfffffff009e14d38: 60c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e14d3c: 00003891  add	x0, x0, #0xe00
0xfffffff009e14d40: a1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e14d44: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e14d48: 63d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e14d4c: 63f40591  add	x3, x3, #0x17d
0xfffffff009e14d50: 22028052  mov	w2, #0x11
0xfffffff009e14d54: f7789497  bl	#0xfffffff008333130
0xfffffff009e14d58: e00313aa  mov	x0, x19
0xfffffff009e14d5c: 71d28397  bl	#0xfffffff007f09720
0xfffffff009e14d60: 02000014  b	#0xfffffff009e14d68
0xfffffff009e14d64: 140080d2  mov	x20, #0
0xfffffff009e14d68: e00314aa  mov	x0, x20
0xfffffff009e14d6c: 05000094  bl	#0xfffffff009e14d80
0xfffffff009e14d70: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e14d74: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e14d78: ff030191  add	sp, sp, #0x40
0xfffffff009e14d7c: ff0f5fd6  retab	
0xfffffff009e14d80: 7f2303d5  pacibsp	
0xfffffff009e14d84: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e14d88: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e14d8c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e14d90: fdc30091  add	x29, sp, #0x30
0xfffffff009e14d94: 400200b4  cbz	x0, #0xfffffff009e14ddc
0xfffffff009e14d98: f30300aa  mov	x19, x0
0xfffffff009e14d9c: 144000d1  sub	x20, x0, #0x10
0xfffffff009e14da0: e00314aa  mov	x0, x20
0xfffffff009e14da4: 1c000094  bl	#0xfffffff009e14e14
0xfffffff009e14da8: 68025fb8  ldur	w8, [x19, #-0x10]
0xfffffff009e14dac: 0802f837  tbnz	w8, #0x1f, #0xfffffff009e14dec
0xfffffff009e14db0: 9f0200b9  str	wzr, [x20]
0xfffffff009e14db4: 810640b9  ldr	w1, [x20, #4]
