; Candidate 1318
; ADRP+ADD at VM 0xfffffff00834d6dc (fileoff 0x13496dc): page=0x1fed56000 add_imm=0xd29

0xfffffff00834d65c: 10322591  add	x16, x16, #0x94c
0xfffffff00834d660: 511586d2  mov	x17, #0x30aa
0xfffffff00834d664: 3002c1da  pacia	x16, x17
0xfffffff00834d668: e20310aa  mov	x2, x16
0xfffffff00834d66c: e0830091  add	x0, sp, #0x20
0xfffffff00834d670: e10314aa  mov	x1, x20
0xfffffff00834d674: fefbff97  bl	#0xfffffff00834c66c
0xfffffff00834d678: f30300aa  mov	x19, x0
0xfffffff00834d67c: e00313aa  mov	x0, x19
0xfffffff00834d680: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00834d684: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00834d688: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00834d68c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00834d690: ff030291  add	sp, sp, #0x80
0xfffffff00834d694: ff0f5fd6  retab	
0xfffffff00834d698: e00314aa  mov	x0, x20
0xfffffff00834d69c: 010080d2  mov	x1, #0
0xfffffff00834d6a0: 03000014  b	#0xfffffff00834d6ac
0xfffffff00834d6a4: e00314aa  mov	x0, x20
0xfffffff00834d6a8: e10315aa  mov	x1, x21
0xfffffff00834d6ac: e45b0394  bl	#0xfffffff00842463c
0xfffffff00834d6b0: 13008052  mov	w19, #0
0xfffffff00834d6b4: 0866fff0  adrp	x8, #0xfffffff007010000
0xfffffff00834d6b8: 008dc23d  ldr	q0, [x8, #0xa30]
0xfffffff00834d6bc: c042823c  stur	q0, [x22, #0x24]
0xfffffff00834d6c0: 88078052  mov	w8, #0x3c
0xfffffff00834d6c4: c80600b9  str	w8, [x22, #4]
0xfffffff00834d6c8: 0866ffd0  adrp	x8, #0xfffffff00700f000
0xfffffff00834d6cc: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff00834d6d0: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff00834d6d4: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff00834d6d8: e9ffff17  b	#0xfffffff00834d67c
0xfffffff00834d6dc: a06affd0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834d6e0: 00a43491  add	x0, x0, #0xd29
0xfffffff00834d6e4: 8b57fe97  bl	#0xfffffff0082e3510
0xfffffff00834d6e8: 200020d4  brk	#1
0xfffffff00834d6ec: 5f2403d5  bti	c
0xfffffff00834d6f0: 40f600f0  adrp	x0, #0xfffffff00a218000
0xfffffff00834d6f4: 00401c91  add	x0, x0, #0x710
0xfffffff00834d6f8: c0035fd6  ret	
0xfffffff00834d6fc: 5f2403d5  bti	c
0xfffffff00834d700: e10300aa  mov	x1, x0
0xfffffff00834d704: 08008092  mov	x8, #-1
0xfffffff00834d708: 080000f9  str	x8, [x0]
0xfffffff00834d70c: 80b1ffb0  adrp	x0, #0xfffffff00797e000
0xfffffff00834d710: 00c01291  add	x0, x0, #0x4b0
0xfffffff00834d714: 02048052  mov	w2, #0x20
0xfffffff00834d718: e167fe17  b	#0xfffffff0082e769c
0xfffffff00834d71c: 5f2403d5  bti	c
0xfffffff00834d720: 08008092  mov	x8, #-1
0xfffffff00834d724: 080000f9  str	x8, [x0]
0xfffffff00834d728: c0035fd6  ret	
0xfffffff00834d72c: 7f2303d5  pacibsp	
0xfffffff00834d730: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00834d734: fd030091  mov	x29, sp
0xfffffff00834d738: 88b1ffb0  adrp	x8, #0xfffffff00797e000
0xfffffff00834d73c: 08dd44b9  ldr	w8, [x8, #0x4dc]
0xfffffff00834d740: 1f491b72  tst	w8, #0xffffe0
0xfffffff00834d744: c0000054  b.eq	#0xfffffff00834d75c
0xfffffff00834d748: 80b1ffb0  adrp	x0, #0xfffffff00797e000
0xfffffff00834d74c: 00c01291  add	x0, x0, #0x4b0
0xfffffff00834d750: 81008052  mov	w1, #4
0xfffffff00834d754: 9b64e997  bl	#0xfffffff007da69c0
0xfffffff00834d758: 08000014  b	#0xfffffff00834d778
