; Candidate 13655
; ADRP+ADD at VM 0xfffffff0093bef10 (fileoff 0x23baf10): page=0xfc2000 add_imm=0xd50

0xfffffff0093bee90: fc0316aa  mov	x28, x22
0xfffffff0093bee94: 3cb4f9f2  movk	x28, #0xcda1, lsl #48
0xfffffff0093bee98: 97ffff17  b	#0xfffffff0093becf4
0xfffffff0093bee9c: 1a008052  mov	w26, #0
0xfffffff0093beea0: 180080d2  mov	x24, #0
0xfffffff0093beea4: 02000014  b	#0xfffffff0093beeac
0xfffffff0093beea8: 1a008052  mov	w26, #0
0xfffffff0093beeac: 190080d2  mov	x25, #0
0xfffffff0093beeb0: 91ffff17  b	#0xfffffff0093becf4
0xfffffff0093beeb4: 5f2403d5  bti	c
0xfffffff0093beeb8: 0f96bc17  b	#0xfffffff0082e46f4
0xfffffff0093beebc: 7f2303d5  pacibsp	
0xfffffff0093beec0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0093beec4: fd030091  mov	x29, sp
0xfffffff0093beec8: 007e00d0  adrp	x0, #0xfffffff00a380000
0xfffffff0093beecc: 00403591  add	x0, x0, #0xd50
0xfffffff0093beed0: 410affb0  adrp	x1, #0xfffffff007507000
0xfffffff0093beed4: 21200c91  add	x1, x1, #0x308
0xfffffff0093beed8: 6240ffd0  adrp	x2, #0xfffffff007bcc000
0xfffffff0093beedc: 42e041f9  ldr	x2, [x2, #0x3c0]
0xfffffff0093beee0: 03ae8152  mov	w3, #0xd70
0xfffffff0093beee4: 1593bc97  bl	#0xfffffff0082e3b38
0xfffffff0093beee8: 7040ffd0  adrp	x16, #0xfffffff007bcc000
0xfffffff0093beeec: 10a23191  add	x16, x16, #0xc68
0xfffffff0093beef0: 10420091  add	x16, x16, #0x10
0xfffffff0093beef4: f10300aa  mov	x17, x0
0xfffffff0093beef8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093beefc: 300ac1da  pacda	x16, x17
0xfffffff0093bef00: 100000f9  str	x16, [x0]
0xfffffff0093bef04: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0093bef08: ff0f5fd6  retab	
0xfffffff0093bef0c: 5f2403d5  bti	c
0xfffffff0093bef10: 007e00d0  adrp	x0, #0xfffffff00a380000
0xfffffff0093bef14: 00403591  add	x0, x0, #0xd50
0xfffffff0093bef18: f795bc17  b	#0xfffffff0082e46f4
0xfffffff0093bef1c: 7f2303d5  pacibsp	
0xfffffff0093bef20: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0093bef24: fd030091  mov	x29, sp
0xfffffff0093bef28: 410affb0  adrp	x1, #0xfffffff007507000
0xfffffff0093bef2c: 21fc1391  add	x1, x1, #0x4ff
0xfffffff0093bef30: 6240ffd0  adrp	x2, #0xfffffff007bcc000
0xfffffff0093bef34: 42d441f9  ldr	x2, [x2, #0x3a8]
0xfffffff0093bef38: 03348052  mov	w3, #0x1a0
0xfffffff0093bef3c: ff92bc97  bl	#0xfffffff0082e3b38
0xfffffff0093bef40: 7040fff0  adrp	x16, #0xfffffff007bcd000
0xfffffff0093bef44: 10020c91  add	x16, x16, #0x300
0xfffffff0093bef48: 10420091  add	x16, x16, #0x10
0xfffffff0093bef4c: f10300aa  mov	x17, x0
0xfffffff0093bef50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093bef54: 300ac1da  pacda	x16, x17
0xfffffff0093bef58: 100000f9  str	x16, [x0]
0xfffffff0093bef5c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0093bef60: ff0f5fd6  retab	
0xfffffff0093bef64: 5f2403d5  bti	c
0xfffffff0093bef68: e395bc17  b	#0xfffffff0082e46f4
0xfffffff0093bef6c: 7f2303d5  pacibsp	
0xfffffff0093bef70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0093bef74: fd030091  mov	x29, sp
0xfffffff0093bef78: a9e0fe97  bl	#0xfffffff00937721c
0xfffffff0093bef7c: 7040ffd0  adrp	x16, #0xfffffff007bcc000
0xfffffff0093bef80: 10823491  add	x16, x16, #0xd20
0xfffffff0093bef84: 10420091  add	x16, x16, #0x10
0xfffffff0093bef88: f10300aa  mov	x17, x0
0xfffffff0093bef8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
