; Candidate 10045
; ADRP+ADD at VM 0xfffffff008c8617c (fileoff 0x1c8217c): page=0x1fe6c7000 add_imm=0xdd7

0xfffffff008c860fc: 693251b9  ldr	w9, [x19, #0x1130]
0xfffffff008c86100: 1f01096b  cmp	w8, w9
0xfffffff008c86104: 40020054  b.eq	#0xfffffff008c8614c
0xfffffff008c86108: 700240f9  ldr	x16, [x19]
0xfffffff008c8610c: f10313aa  mov	x17, x19
0xfffffff008c86110: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c86114: 301ac1da  autda	x16, x17
0xfffffff008c86118: 118680d2  mov	x17, #0x430
0xfffffff008c8611c: 1002118b  add	x16, x16, x17
0xfffffff008c86120: 080240f9  ldr	x8, [x16]
0xfffffff008c86124: e90310aa  mov	x9, x16
0xfffffff008c86128: e00313aa  mov	x0, x19
0xfffffff008c8612c: 01268052  mov	w1, #0x130
0xfffffff008c86130: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008c86134: 020080d2  mov	x2, #0
0xfffffff008c86138: 030080d2  mov	x3, #0
0xfffffff008c8613c: f10309aa  mov	x17, x9
0xfffffff008c86140: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008c86144: 11093fd7  blraa	x8, x17
0xfffffff008c86148: 682e51b9  ldr	w8, [x19, #0x112c]
0xfffffff008c8614c: 683211b9  str	w8, [x19, #0x1130]
0xfffffff008c86150: a8d24339  ldrb	w8, [x21, #0xf4]
0xfffffff008c86154: 080d0353  ubfx	w8, w8, #3, #1
0xfffffff008c86158: a85a0039  strb	w8, [x21, #0x16]
0xfffffff008c8615c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008c86160: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008c86164: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008c86168: ff030191  add	sp, sp, #0x40
0xfffffff008c8616c: ff0f5fd6  retab	
0xfffffff008c86170: c8005036  tbz	w8, #0xa, #0xfffffff008c86188
0xfffffff008c86174: a8024039  ldrb	w8, [x21]
0xfffffff008c86178: e80300f9  str	x8, [sp]
0xfffffff008c8617c: 2036fff0  adrp	x0, #0xfffffff00734d000
0xfffffff008c86180: 005c3791  add	x0, x0, #0xdd7
0xfffffff008c86184: a743db97  bl	#0xfffffff008357020
0xfffffff008c86188: 700240f9  ldr	x16, [x19]
0xfffffff008c8618c: f10313aa  mov	x17, x19
0xfffffff008c86190: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c86194: 301ac1da  autda	x16, x17
0xfffffff008c86198: 118680d2  mov	x17, #0x430
0xfffffff008c8619c: 1002118b  add	x16, x16, x17
0xfffffff008c861a0: 080240f9  ldr	x8, [x16]
0xfffffff008c861a4: e90310aa  mov	x9, x16
0xfffffff008c861a8: e00313aa  mov	x0, x19
0xfffffff008c861ac: 01268052  mov	w1, #0x130
0xfffffff008c861b0: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008c861b4: 020080d2  mov	x2, #0
0xfffffff008c861b8: 030080d2  mov	x3, #0
0xfffffff008c861bc: f10309aa  mov	x17, x9
0xfffffff008c861c0: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008c861c4: 11093fd7  blraa	x8, x17
0xfffffff008c861c8: e2ffff17  b	#0xfffffff008c86150
0xfffffff008c861cc: 7f2303d5  pacibsp	
0xfffffff008c861d0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008c861d4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008c861d8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008c861dc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008c861e0: fdc30091  add	x29, sp, #0x30
0xfffffff008c861e4: f30300aa  mov	x19, x0
0xfffffff008c861e8: 08248252  mov	w8, #0x1120
0xfffffff008c861ec: 1400088b  add	x20, x0, x8
0xfffffff008c861f0: 150b9052  mov	w21, #0x8058
0xfffffff008c861f4: f57fbc72  movk	w21, #0xe3ff, lsl #16
0xfffffff008c861f8: 8a624039  ldrb	w10, [x20, #0x18]
