; Candidate 7665
; ADRP+ADD at VM 0xfffffff008877710 (fileoff 0x1873710): page=0x1fe972000 add_imm=0xe80

0xfffffff008877690: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff008877694: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008877698: c84cffd0  adrp	x8, #0xfffffff007211000
0xfffffff00887769c: 09892c91  add	x9, x8, #0xb22
0xfffffff0088776a0: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff0088776a4: 08053c91  add	x8, x8, #0xf01
0xfffffff0088776a8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088776ac: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088776b0: a80b8052  mov	w8, #0x5d
0xfffffff0088776b4: c04cffd0  adrp	x0, #0xfffffff007211000
0xfffffff0088776b8: 00440a91  add	x0, x0, #0x291
0xfffffff0088776bc: f92300a9  stp	x25, x8, [sp]
0xfffffff0088776c0: 68ffd497  bl	#0xfffffff007db7460
0xfffffff0088776c4: 19000014  b	#0xfffffff008877728
0xfffffff0088776c8: b9f20094  bl	#0xfffffff0088b41ac
0xfffffff0088776cc: f90300aa  mov	x25, x0
0xfffffff0088776d0: c0008052  mov	w0, #6
0xfffffff0088776d4: 5f100094  bl	#0xfffffff00887b850
0xfffffff0088776d8: f6e304a9  stp	x22, x24, [sp, #0x48]
0xfffffff0088776dc: e80317aa  mov	x8, x23
0xfffffff0088776e0: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff0088776e4: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0088776e8: c84cffd0  adrp	x8, #0xfffffff007211000
0xfffffff0088776ec: 09892c91  add	x9, x8, #0xb22
0xfffffff0088776f0: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff0088776f4: 08053c91  add	x8, x8, #0xf01
0xfffffff0088776f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088776fc: a80b8052  mov	w8, #0x5d
0xfffffff008877700: 034fffd0  adrp	x3, #0xfffffff007259000
0xfffffff008877704: 63143891  add	x3, x3, #0xe05
0xfffffff008877708: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887770c: f90300f9  str	x25, [sp]
0xfffffff008877710: 804bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008877714: 00003a91  add	x0, x0, #0xe80
0xfffffff008877718: 818cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887771c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008877720: 02008052  mov	w2, #0
0xfffffff008877724: 83eeea97  bl	#0xfffffff008333130
0xfffffff008877728: 540800b4  cbz	x20, #0xfffffff008877830
0xfffffff00887772c: 350800b4  cbz	x21, #0xfffffff008877830
0xfffffff008877730: ff1e0071  cmp	w23, #7
0xfffffff008877734: e8070054  b.hi	#0xfffffff008877830
0xfffffff008877738: d60700b4  cbz	x22, #0xfffffff008877830
0xfffffff00887773c: b80700b4  cbz	x24, #0xfffffff008877830
0xfffffff008877740: 19d300f0  adrp	x25, #0xfffffff00a2da000
0xfffffff008877744: 28c77839  ldrb	w8, [x25, #0xe31]
0xfffffff008877748: e8010037  tbnz	w8, #0, #0xfffffff008877784
0xfffffff00887774c: 000080d2  mov	x0, #0
0xfffffff008877750: 010080d2  mov	x1, #0
0xfffffff008877754: 020080d2  mov	x2, #0
0xfffffff008877758: 030080d2  mov	x3, #0
0xfffffff00887775c: 040080d2  mov	x4, #0
0xfffffff008877760: d6f40094  bl	#0xfffffff0088b4ab8
0xfffffff008877764: 000080d2  mov	x0, #0
0xfffffff008877768: 010080d2  mov	x1, #0
0xfffffff00887776c: 020080d2  mov	x2, #0
0xfffffff008877770: 030080d2  mov	x3, #0
0xfffffff008877774: 040080d2  mov	x4, #0
0xfffffff008877778: 9ff60094  bl	#0xfffffff0088b51f4
0xfffffff00887777c: 28008052  mov	w8, #1
0xfffffff008877780: 28c73839  strb	w8, [x25, #0xe31]
0xfffffff008877784: 20038052  mov	w0, #0x19
0xfffffff008877788: 0bee0094  bl	#0xfffffff0088b2fb4
0xfffffff00887778c: 888cffb0  adrp	x8, #0xfffffff007a08000
