; Candidate 5740
; ADRP+ADD at VM 0xfffffff0088027b8 (fileoff 0x17fe7b8): page=0x1fe9e7000 add_imm=0xe80

0xfffffff008802738: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880273c: e80313aa  mov	x8, x19
0xfffffff008802740: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff008802744: 00f02391  add	x0, x0, #0x8fc
0xfffffff008802748: f62300a9  stp	x22, x8, [sp]
0xfffffff00880274c: 0c000014  b	#0xfffffff00880277c
0xfffffff008802750: 60040034  cbz	w0, #0xfffffff0088027dc
0xfffffff008802754: e803154b  neg	w8, w21
0xfffffff008802758: 28042837  tbnz	w8, #5, #0xfffffff0088027dc
0xfffffff00880275c: 28734239  ldrb	w8, [x25, #0x9c]
0xfffffff008802760: 29e34d39  ldrb	w9, [x25, #0x378]
0xfffffff008802764: 2adb4d39  ldrb	w10, [x25, #0x376]
0xfffffff008802768: 2bc74d39  ldrb	w11, [x25, #0x371]
0xfffffff00880276c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff008802770: e82700a9  stp	x8, x9, [sp]
0xfffffff008802774: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff008802778: 00702291  add	x0, x0, #0x89c
0xfffffff00880277c: 39d3d697  bl	#0xfffffff007db7460
0xfffffff008802780: 25000014  b	#0xfffffff008802814
0xfffffff008802784: 8ac60294  bl	#0xfffffff0088b41ac
0xfffffff008802788: f60300aa  mov	x22, x0
0xfffffff00880278c: e00314aa  mov	x0, x20
0xfffffff008802790: 30e40194  bl	#0xfffffff00887b850
0xfffffff008802794: 28734239  ldrb	w8, [x25, #0x9c]
0xfffffff008802798: 29e34d39  ldrb	w9, [x25, #0x378]
0xfffffff00880279c: 2adb4d39  ldrb	w10, [x25, #0x376]
0xfffffff0088027a0: 2bc74d39  ldrb	w11, [x25, #0x371]
0xfffffff0088027a4: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0088027a8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088027ac: e80313aa  mov	x8, x19
0xfffffff0088027b0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088027b4: f60300f9  str	x22, [sp]
0xfffffff0088027b8: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088027bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088027c0: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088027c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088027c8: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff0088027cc: 63a01a91  add	x3, x3, #0x6a8
0xfffffff0088027d0: 02008052  mov	w2, #0
0xfffffff0088027d4: 57c2ec97  bl	#0xfffffff008333130
0xfffffff0088027d8: 0f000014  b	#0xfffffff008802814
0xfffffff0088027dc: 28734239  ldrb	w8, [x25, #0x9c]
0xfffffff0088027e0: 29e34d39  ldrb	w9, [x25, #0x378]
0xfffffff0088027e4: 2adb4d39  ldrb	w10, [x25, #0x376]
0xfffffff0088027e8: 2bc74d39  ldrb	w11, [x25, #0x371]
0xfffffff0088027ec: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0088027f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0088027f4: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088027f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088027fc: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008802800: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008802804: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff008802808: 63241991  add	x3, x3, #0x649
0xfffffff00880280c: 02008052  mov	w2, #0
0xfffffff008802810: 48c2ec97  bl	#0xfffffff008333130
0xfffffff008802814: e00313aa  mov	x0, x19
0xfffffff008802818: e10314aa  mov	x1, x20
0xfffffff00880281c: ede30194  bl	#0xfffffff00887b7d0
0xfffffff008802820: 20090034  cbz	w0, #0xfffffff008802944
0xfffffff008802824: e00313aa  mov	x0, x19
0xfffffff008802828: fce30194  bl	#0xfffffff00887b818
0xfffffff00880282c: b502f837  tbnz	w21, #0x1f, #0xfffffff008802880
0xfffffff008802830: b7021b12  and	w23, w21, #0x20
0xfffffff008802834: 18000052  eor	w24, w0, #1
