; Candidate 6967
; ADRP+ADD at VM 0xfffffff00884d434 (fileoff 0x1849434): page=0x1fe99c000 add_imm=0xe80

0xfffffff00884d3b4: 880c8052  mov	w8, #0x64
0xfffffff00884d3b8: c04effb0  adrp	x0, #0xfffffff007226000
0xfffffff00884d3bc: 00f80491  add	x0, x0, #0x13e
0xfffffff00884d3c0: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff00884d3c4: f80300f9  str	x24, [sp]
0xfffffff00884d3c8: 26a8d597  bl	#0xfffffff007db7460
0xfffffff00884d3cc: 18008052  mov	w24, #0
0xfffffff00884d3d0: 3e000014  b	#0xfffffff00884d4c8
0xfffffff00884d3d4: 769b0194  bl	#0xfffffff0088b41ac
0xfffffff00884d3d8: f90300aa  mov	x25, x0
0xfffffff00884d3dc: 80008052  mov	w0, #4
0xfffffff00884d3e0: 1cb90094  bl	#0xfffffff00887b850
0xfffffff00884d3e4: e80318aa  mov	x8, x24
0xfffffff00884d3e8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00884d3ec: f72306a9  stp	x23, x8, [sp, #0x60]
0xfffffff00884d3f0: e80316aa  mov	x8, x22
0xfffffff00884d3f4: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff00884d3f8: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff00884d3fc: 084efff0  adrp	x8, #0xfffffff007210000
0xfffffff00884d400: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884d404: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00884d408: e8178052  mov	w8, #0xbf
0xfffffff00884d40c: c94eff90  adrp	x9, #0xfffffff007225000
0xfffffff00884d410: 29c53d91  add	x9, x9, #0xf71
0xfffffff00884d414: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884d418: c84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00884d41c: 08811191  add	x8, x8, #0x460
0xfffffff00884d420: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884d424: e80d8052  mov	w8, #0x6f
0xfffffff00884d428: 2350ffb0  adrp	x3, #0xfffffff007252000
0xfffffff00884d42c: 637c0191  add	x3, x3, #0x5f
0xfffffff00884d430: f92300a9  stp	x25, x8, [sp]
0xfffffff00884d434: e04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884d438: 00003a91  add	x0, x0, #0xe80
0xfffffff00884d43c: c18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00884d440: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884d444: 02008052  mov	w2, #0
0xfffffff00884d448: 3a97eb97  bl	#0xfffffff008333130
0xfffffff00884d44c: 1f000014  b	#0xfffffff00884d4c8
0xfffffff00884d450: 579b0194  bl	#0xfffffff0088b41ac
0xfffffff00884d454: f80300aa  mov	x24, x0
0xfffffff00884d458: 80008052  mov	w0, #4
0xfffffff00884d45c: fdb80094  bl	#0xfffffff00887b850
0xfffffff00884d460: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884d464: e90316aa  mov	x9, x22
0xfffffff00884d468: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff00884d46c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00884d470: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00884d474: 484effd0  adrp	x8, #0xfffffff007217000
0xfffffff00884d478: 0aa90f91  add	x10, x8, #0x3ea
0xfffffff00884d47c: 28168052  mov	w8, #0xb1
0xfffffff00884d480: c94eff90  adrp	x9, #0xfffffff007225000
0xfffffff00884d484: 29c53d91  add	x9, x9, #0xf71
0xfffffff00884d488: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884d48c: c84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00884d490: 08811191  add	x8, x8, #0x460
0xfffffff00884d494: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884d498: e80d8052  mov	w8, #0x6f
0xfffffff00884d49c: 2350ffb0  adrp	x3, #0xfffffff007252000
0xfffffff00884d4a0: 638c0091  add	x3, x3, #0x23
0xfffffff00884d4a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884d4a8: f80300f9  str	x24, [sp]
0xfffffff00884d4ac: e04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884d4b0: 00003a91  add	x0, x0, #0xe80
