; Candidate 2566
; ADRP+ADD at VM 0xfffffff0086bce34 (fileoff 0x16b8e34): page=0x1fea70000 add_imm=0xe04

0xfffffff0086bcdb4: 68be81b9  ldrsw	x8, [x19, #0x1bc]
0xfffffff0086bcdb8: 097c4093  sxtw	x9, w0
0xfffffff0086bcdbc: 087d099b  mul	x8, x8, x9
0xfffffff0086bcdc0: 01fd50d3  lsr	x1, x8, #0x10
0xfffffff0086bcdc4: e00313aa  mov	x0, x19
0xfffffff0086bcdc8: 8a070094  bl	#0xfffffff0086bebf0
0xfffffff0086bcdcc: e10300aa  mov	x1, x0
0xfffffff0086bcdd0: e00313aa  mov	x0, x19
0xfffffff0086bcdd4: ce070094  bl	#0xfffffff0086bed0c
0xfffffff0086bcdd8: a0c31ab8  stur	w0, [x29, #-0x54]
0xfffffff0086bcddc: 4e000014  b	#0xfffffff0086bcf14
0xfffffff0086bcde0: 683a41b9  ldr	w8, [x19, #0x138]
0xfffffff0086bcde4: 08050051  sub	w8, w8, #1
0xfffffff0086bcde8: 087d011b  mul	w8, w8, w1
0xfffffff0086bcdec: 087d1053  lsr	w8, w8, #0x10
0xfffffff0086bcdf0: 69a240f9  ldr	x9, [x19, #0x140]
0xfffffff0086bcdf4: 28596878  ldrh	w8, [x9, w8, uxtw #1]
0xfffffff0086bcdf8: 18000014  b	#0xfffffff0086bce58
0xfffffff0086bcdfc: 700240f9  ldr	x16, [x19]
0xfffffff0086bce00: f10313aa  mov	x17, x19
0xfffffff0086bce04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086bce08: 301ac1da  autda	x16, x17
0xfffffff0086bce0c: 113d80d2  mov	x17, #0x1e8
0xfffffff0086bce10: 1002118b  add	x16, x16, x17
0xfffffff0086bce14: 080240f9  ldr	x8, [x16]
0xfffffff0086bce18: e90310aa  mov	x9, x16
0xfffffff0086bce1c: e00313aa  mov	x0, x19
0xfffffff0086bce20: 010080d2  mov	x1, #0
0xfffffff0086bce24: f10309aa  mov	x17, x9
0xfffffff0086bce28: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086bce2c: 11093fd7  blraa	x8, x17
0xfffffff0086bce30: e05700a9  stp	x0, x21, [sp]
0xfffffff0086bce34: 8053ff90  adrp	x0, #0xfffffff00712c000
0xfffffff0086bce38: 00103891  add	x0, x0, #0xe04
0xfffffff0086bce3c: c3020014  b	#0xfffffff0086bd948
0xfffffff0086bce40: e00313aa  mov	x0, x19
0xfffffff0086bce44: d9030094  bl	#0xfffffff0086bdda8
0xfffffff0086bce48: e10300aa  mov	x1, x0
0xfffffff0086bce4c: e00313aa  mov	x0, x19
0xfffffff0086bce50: 65050094  bl	#0xfffffff0086be3e4
0xfffffff0086bce54: 083c0012  and	w8, w0, #0xffff
0xfffffff0086bce58: 686201b9  str	w8, [x19, #0x160]
0xfffffff0086bce5c: 68fe40b9  ldr	w8, [x19, #0xfc]
0xfffffff0086bce60: 1f190071  cmp	w8, #6
0xfffffff0086bce64: 83050054  b.lo	#0xfffffff0086bcf14
0xfffffff0086bce68: 700240f9  ldr	x16, [x19]
0xfffffff0086bce6c: f10313aa  mov	x17, x19
0xfffffff0086bce70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086bce74: 301ac1da  autda	x16, x17
0xfffffff0086bce78: 113d80d2  mov	x17, #0x1e8
0xfffffff0086bce7c: 1002118b  add	x16, x16, x17
0xfffffff0086bce80: 080240f9  ldr	x8, [x16]
0xfffffff0086bce84: e90310aa  mov	x9, x16
0xfffffff0086bce88: e00313aa  mov	x0, x19
0xfffffff0086bce8c: 010080d2  mov	x1, #0
0xfffffff0086bce90: f10309aa  mov	x17, x9
0xfffffff0086bce94: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086bce98: 11093fd7  blraa	x8, x17
0xfffffff0086bce9c: a8c35ab8  ldur	w8, [x29, #-0x54]
0xfffffff0086bcea0: 097d8052  mov	w9, #0x3e8
0xfffffff0086bcea4: 087d091b  mul	w8, w8, w9
0xfffffff0086bcea8: 087d5093  sbfx	x8, x8, #0x10, #0x10
0xfffffff0086bceac: e06b00a9  stp	x0, x26, [sp]
0xfffffff0086bceb0: e80b00f9  str	x8, [sp, #0x10]
