; Candidate 8965
; ADRP+ADD at VM 0xfffffff0088ff998 (fileoff 0x18fb998): page=0x19dc000 add_imm=0xe90

0xfffffff0088ff918: 08028052  mov	w8, #0x10
0xfffffff0088ff91c: 089000b9  str	w8, [x0, #0x90]
0xfffffff0088ff920: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ff924: ff0f5fd6  retab	
0xfffffff0088ff928: 5f2403d5  bti	c
0xfffffff0088ff92c: 8511ea17  b	#0xfffffff008383f40
0xfffffff0088ff930: 5f2403d5  bti	c
0xfffffff0088ff934: 8311ea17  b	#0xfffffff008383f40
0xfffffff0088ff938: 7f2303d5  pacibsp	
0xfffffff0088ff93c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088ff940: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088ff944: fd430091  add	x29, sp, #0x10
0xfffffff0088ff948: f30300aa  mov	x19, x0
0xfffffff0088ff94c: 7d11ea97  bl	#0xfffffff008383f40
0xfffffff0088ff950: e088ffb0  adrp	x0, #0xfffffff007a1c000
0xfffffff0088ff954: 00e00c91  add	x0, x0, #0x338
0xfffffff0088ff958: e10313aa  mov	x1, x19
0xfffffff0088ff95c: 02508052  mov	w2, #0x280
0xfffffff0088ff960: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088ff964: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088ff968: ff2303d5  autibsp	
0xfffffff0088ff96c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088ff970: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088ff978
0xfffffff0088ff974: 208e38d4  brk	#0xc471
0xfffffff0088ff978: 499fe717  b	#0xfffffff0082e769c
0xfffffff0088ff97c: 5f2403d5  bti	c
0xfffffff0088ff980: e20301aa  mov	x2, x1
0xfffffff0088ff984: e10300aa  mov	x1, x0
0xfffffff0088ff988: e088ffb0  adrp	x0, #0xfffffff007a1c000
0xfffffff0088ff98c: 00e00c91  add	x0, x0, #0x338
0xfffffff0088ff990: 439fe717  b	#0xfffffff0082e769c
0xfffffff0088ff994: 5f2403d5  bti	c
0xfffffff0088ff998: e0ce0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ff99c: 00403a91  add	x0, x0, #0xe90
0xfffffff0088ff9a0: c0035fd6  ret	
0xfffffff0088ff9a4: 7f2303d5  pacibsp	
0xfffffff0088ff9a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088ff9ac: fd030091  mov	x29, sp
0xfffffff0088ff9b0: 814bffd0  adrp	x1, #0xfffffff007271000
0xfffffff0088ff9b4: 21d02891  add	x1, x1, #0xa34
0xfffffff0088ff9b8: e288ff90  adrp	x2, #0xfffffff007a1b000
0xfffffff0088ff9bc: 42a041f9  ldr	x2, [x2, #0x340]
0xfffffff0088ff9c0: 03508052  mov	w3, #0x280
0xfffffff0088ff9c4: 5d90e797  bl	#0xfffffff0082e3b38
0xfffffff0088ff9c8: f088ff90  adrp	x16, #0xfffffff007a1b000
0xfffffff0088ff9cc: 10c22791  add	x16, x16, #0x9f0
0xfffffff0088ff9d0: 10420091  add	x16, x16, #0x10
0xfffffff0088ff9d4: f10300aa  mov	x17, x0
0xfffffff0088ff9d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ff9dc: 300ac1da  pacda	x16, x17
0xfffffff0088ff9e0: 100000f9  str	x16, [x0]
0xfffffff0088ff9e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ff9e8: ff0f5fd6  retab	
0xfffffff0088ff9ec: 7f2303d5  pacibsp	
0xfffffff0088ff9f0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088ff9f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088ff9f8: fd430091  add	x29, sp, #0x10
0xfffffff0088ff9fc: e088ffb0  adrp	x0, #0xfffffff007a1c000
0xfffffff0088ffa00: 00e00c91  add	x0, x0, #0x338
0xfffffff0088ffa04: 01508052  mov	w1, #0x280
0xfffffff0088ffa08: 0c9fe797  bl	#0xfffffff0082e7638
0xfffffff0088ffa0c: f30300aa  mov	x19, x0
0xfffffff0088ffa10: f4ce0090  adrp	x20, #0xfffffff00a2db000
0xfffffff0088ffa14: 94423a91  add	x20, x20, #0xe90
