; Candidate 4626
; ADRP+ADD at VM 0xfffffff0087be1c4 (fileoff 0x17ba1c4): page=0x1fe973000 add_imm=0xd90

0xfffffff0087be144: 542f40b9  ldr	w20, [x26, #0x2c]
0xfffffff0087be148: 7401f836  tbz	w20, #0x1f, #0xfffffff0087be174
0xfffffff0087be14c: 08a48152  mov	w8, #0xd20
0xfffffff0087be150: f52300a9  stp	x21, x8, [sp]
0xfffffff0087be154: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be158: 00403691  add	x0, x0, #0xd90
0xfffffff0087be15c: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be160: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be164: 02008052  mov	w2, #0
0xfffffff0087be168: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be16c: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087be170: f0d3ed97  bl	#0xfffffff008333130
0xfffffff0087be174: 88060011  add	w8, w20, #1
0xfffffff0087be178: 3c23c81a  lsl	w28, w25, w8
0xfffffff0087be17c: 7600f837  tbnz	w22, #0x1f, #0xfffffff0087be188
0xfffffff0087be180: 9f03166b  cmp	w28, w22
0xfffffff0087be184: 6c010054  b.gt	#0xfffffff0087be1b0
0xfffffff0087be188: 28a48152  mov	w8, #0xd21
0xfffffff0087be18c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087be190: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be194: 00403691  add	x0, x0, #0xd90
0xfffffff0087be198: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be19c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be1a0: 02008052  mov	w2, #0
0xfffffff0087be1a4: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be1a8: 63581091  add	x3, x3, #0x416
0xfffffff0087be1ac: e1d3ed97  bl	#0xfffffff008333130
0xfffffff0087be1b0: 7700f837  tbnz	w23, #0x1f, #0xfffffff0087be1bc
0xfffffff0087be1b4: 9f03176b  cmp	w28, w23
0xfffffff0087be1b8: 6c010054  b.gt	#0xfffffff0087be1e4
0xfffffff0087be1bc: 48a48152  mov	w8, #0xd22
0xfffffff0087be1c0: f52300a9  stp	x21, x8, [sp]
0xfffffff0087be1c4: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be1c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087be1cc: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be1d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be1d4: 02008052  mov	w2, #0
0xfffffff0087be1d8: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be1dc: 63241191  add	x3, x3, #0x449
0xfffffff0087be1e0: d4d3ed97  bl	#0xfffffff008333130
0xfffffff0087be1e4: c802174b  sub	w8, w22, w23
0xfffffff0087be1e8: 2923d41a  lsl	w9, w25, w20
0xfffffff0087be1ec: 2a050051  sub	w10, w9, #1
0xfffffff0087be1f0: 4a01080a  and	w10, w10, w8
0xfffffff0087be1f4: 2801080a  and	w8, w9, w8
0xfffffff0087be1f8: 5f01086b  cmp	w10, w8
0xfffffff0087be1fc: 8d000054  b.le	#0xfffffff0087be20c
0xfffffff0087be200: f70316aa  mov	x23, x22
0xfffffff0087be204: e80318aa  mov	x8, x24
0xfffffff0087be208: f82700b9  str	w24, [sp, #0x24]
0xfffffff0087be20c: 18070091  add	x24, x24, #1
0xfffffff0087be210: 1f1f00f1  cmp	x24, #7
0xfffffff0087be214: 41f1ff54  b.ne	#0xfffffff0087be03c
0xfffffff0087be218: ff060031  cmn	w23, #1
0xfffffff0087be21c: eaa74429  ldp	w10, w9, [sp, #0x24]
0xfffffff0087be220: eb0f40f9  ldr	x11, [sp, #0x18]
0xfffffff0087be224: 20ceff54  b.eq	#0xfffffff0087bdbe8
0xfffffff0087be228: 28008052  mov	w8, #1
0xfffffff0087be22c: 685900b9  str	w8, [x11, #0x58]
0xfffffff0087be230: 3f010a6b  cmp	w9, w10
0xfffffff0087be234: 28b18a1a  csel	w8, w9, w10, lt
0xfffffff0087be238: 29c18a1a  csel	w9, w9, w10, gt
0xfffffff0087be23c: 68250c29  stp	w8, w9, [x11, #0x60]
0xfffffff0087be240: 6afeff17  b	#0xfffffff0087bdbe8
