; Candidate 16047
; ADRP+ADD at VM 0xfffffff009e10104 (fileoff 0x2e0c104): page=0x1fd893000 add_imm=0xe00

0xfffffff009e10084: c8028052  mov	w8, #0x16
0xfffffff009e10088: 88a302b9  str	w8, [x28, #0x2a0]
0xfffffff009e1008c: 37010014  b	#0xfffffff009e10568
0xfffffff009e10090: c80242b9  ldr	w8, [x22, #0x200]
0xfffffff009e10094: e80300f9  str	x8, [sp]
0xfffffff009e10098: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1009c: 00003891  add	x0, x0, #0xe00
0xfffffff009e100a0: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e100a4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e100a8: 83d0feb0  adrp	x3, #0xfffffff007821000
0xfffffff009e100ac: 630c0e91  add	x3, x3, #0x383
0xfffffff009e100b0: 02028052  mov	w2, #0x10
0xfffffff009e100b4: 1f8c9497  bl	#0xfffffff008333130
0xfffffff009e100b8: d5028052  mov	w21, #0x16
0xfffffff009e100bc: 967341f9  ldr	x22, [x28, #0x2e0]
0xfffffff009e100c0: 0a000014  b	#0xfffffff009e100e8
0xfffffff009e100c4: e8c20091  add	x8, x23, #0x30
0xfffffff009e100c8: 010140f9  ldr	x1, [x8]
0xfffffff009e100cc: e00317aa  mov	x0, x23
0xfffffff009e100d0: e20316aa  mov	x2, x22
0xfffffff009e100d4: e30314aa  mov	x3, x20
0xfffffff009e100d8: 504e0094  bl	#0xfffffff009e23a18
0xfffffff009e100dc: f50300aa  mov	x21, x0
0xfffffff009e100e0: e00317aa  mov	x0, x23
0xfffffff009e100e4: 024c0094  bl	#0xfffffff009e230ec
0xfffffff009e100e8: e00316aa  mov	x0, x22
0xfffffff009e100ec: 12000014  b	#0xfffffff009e10134
0xfffffff009e100f0: 140080d2  mov	x20, #0
0xfffffff009e100f4: 95018052  mov	w21, #0xc
0xfffffff009e100f8: d9fcff17  b	#0xfffffff009e0f45c
0xfffffff009e100fc: c80242b9  ldr	w8, [x22, #0x200]
0xfffffff009e10100: e80300f9  str	x8, [sp]
0xfffffff009e10104: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e10108: 00003891  add	x0, x0, #0xe00
0xfffffff009e1010c: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10110: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10114: 83d0feb0  adrp	x3, #0xfffffff007821000
0xfffffff009e10118: 63500f91  add	x3, x3, #0x3d4
0xfffffff009e1011c: 02028052  mov	w2, #0x10
0xfffffff009e10120: 048c9497  bl	#0xfffffff008333130
0xfffffff009e10124: d5028052  mov	w21, #0x16
0xfffffff009e10128: 807341f9  ldr	x0, [x28, #0x2e0]
0xfffffff009e1012c: 15130094  bl	#0xfffffff009e14d80
0xfffffff009e10130: 805341f9  ldr	x0, [x28, #0x2a0]
0xfffffff009e10134: 13130094  bl	#0xfffffff009e14d80
0xfffffff009e10138: d0fcff17  b	#0xfffffff009e0f478
0xfffffff009e1013c: 9f2403d5  bti	j
0xfffffff009e10140: 751b00b4  cbz	x21, #0xfffffff009e104ac
0xfffffff009e10144: a91640b9  ldr	w9, [x21, #0x14]
0xfffffff009e10148: da000014  b	#0xfffffff009e104b0
0xfffffff009e1014c: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff009e10150: e80300a9  stp	x8, x0, [sp]
0xfffffff009e10154: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e10158: 00003891  add	x0, x0, #0xe00
0xfffffff009e1015c: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10160: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10164: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e10168: 63181d91  add	x3, x3, #0x746
0xfffffff009e1016c: 02028052  mov	w2, #0x10
0xfffffff009e10170: f08b9497  bl	#0xfffffff008333130
0xfffffff009e10174: dd000014  b	#0xfffffff009e104e8
0xfffffff009e10178: 682d00f0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e1017c: 083143f9  ldr	x8, [x8, #0x660]
0xfffffff009e10180: 081540b9  ldr	w8, [x8, #0x14]
