; Candidate 14191
; ADRP+ADD at VM 0xfffffff00974bb7c (fileoff 0x2747b7c): page=0xc40000 add_imm=0xd58

0xfffffff00974bafc: e10310aa  mov	x1, x16
0xfffffff00974bb00: e00313aa  mov	x0, x19
0xfffffff00974bb04: 4cc6b197  bl	#0xfffffff0083bd434
0xfffffff00974bb08: e10300aa  mov	x1, x0
0xfffffff00974bb0c: 605600f9  str	x0, [x19, #0xa8]
0xfffffff00974bb10: b00240f9  ldr	x16, [x21]
0xfffffff00974bb14: f10315aa  mov	x17, x21
0xfffffff00974bb18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bb1c: 301ac1da  autda	x16, x17
0xfffffff00974bb20: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00974bb24: e90310aa  mov	x9, x16
0xfffffff00974bb28: e00315aa  mov	x0, x21
0xfffffff00974bb2c: f10309aa  mov	x17, x9
0xfffffff00974bb30: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff00974bb34: 11093fd7  blraa	x8, x17
0xfffffff00974bb38: 700240f9  ldr	x16, [x19]
0xfffffff00974bb3c: f10313aa  mov	x17, x19
0xfffffff00974bb40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bb44: 301ac1da  autda	x16, x17
0xfffffff00974bb48: f10310aa  mov	x17, x16
0xfffffff00974bb4c: f147c1da  xpacd	x17
0xfffffff00974bb50: 1f0211eb  cmp	x16, x17
0xfffffff00974bb54: 40000054  b.eq	#0xfffffff00974bb5c
0xfffffff00974bb58: 408e38d4  brk	#0xc472
0xfffffff00974bb5c: 08021591  add	x8, x16, #0x540
0xfffffff00974bb60: 09a242f9  ldr	x9, [x16, #0x540]
0xfffffff00974bb64: e00313aa  mov	x0, x19
0xfffffff00974bb68: f10308aa  mov	x17, x8
0xfffffff00974bb6c: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974bb70: 31093fd7  blraa	x9, x17
0xfffffff00974bb74: a00400b4  cbz	x0, #0xfffffff00974bc08
0xfffffff00974bb78: f40300aa  mov	x20, x0
0xfffffff00974bb7c: 00620090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974bb80: 00603591  add	x0, x0, #0xd58
0xfffffff00974bb84: 7563ae97  bl	#0xfffffff0082e4958
0xfffffff00974bb88: f60300aa  mov	x22, x0
0xfffffff00974bb8c: 900240f9  ldr	x16, [x20]
0xfffffff00974bb90: f10314aa  mov	x17, x20
0xfffffff00974bb94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bb98: 301ac1da  autda	x16, x17
0xfffffff00974bb9c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974bba0: e90310aa  mov	x9, x16
0xfffffff00974bba4: e00314aa  mov	x0, x20
0xfffffff00974bba8: f10309aa  mov	x17, x9
0xfffffff00974bbac: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974bbb0: 11093fd7  blraa	x8, x17
0xfffffff00974bbb4: f70300aa  mov	x23, x0
0xfffffff00974bbb8: 700240f9  ldr	x16, [x19]
0xfffffff00974bbbc: f10313aa  mov	x17, x19
0xfffffff00974bbc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974bbc4: 301ac1da  autda	x16, x17
0xfffffff00974bbc8: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974bbcc: e90310aa  mov	x9, x16
0xfffffff00974bbd0: e00313aa  mov	x0, x19
0xfffffff00974bbd4: f10309aa  mov	x17, x9
0xfffffff00974bbd8: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974bbdc: 11093fd7  blraa	x8, x17
0xfffffff00974bbe0: e50300aa  mov	x5, x0
0xfffffff00974bbe4: e43e0012  and	w4, w23, #0xffff
0xfffffff00974bbe8: 02f2feb0  adrp	x2, #0xfffffff00758c000
0xfffffff00974bbec: 421c0291  add	x2, x2, #0x87
0xfffffff00974bbf0: e00314aa  mov	x0, x20
0xfffffff00974bbf4: e10316aa  mov	x1, x22
0xfffffff00974bbf8: c3138052  mov	w3, #0x9e
