; Candidate 13551
; ADRP+ADD at VM 0xfffffff00938749c (fileoff 0x238349c): page=0x1fe176000 add_imm=0xe60

0xfffffff00938741c: f40301aa  mov	x20, x1
0xfffffff009387420: f30300aa  mov	x19, x0
0xfffffff009387424: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff009387428: 08004639  ldrb	w8, [x0, #0x180]
0xfffffff00938742c: e8033836  tbz	w8, #7, #0xfffffff0093874a8
0xfffffff009387430: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009387434: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff009387438: e0c30091  add	x0, sp, #0x30
0xfffffff00938743c: e1b30091  add	x1, sp, #0x2c
0xfffffff009387440: b133ad97  bl	#0xfffffff007ed4304
0xfffffff009387444: f51b40f9  ldr	x21, [sp, #0x30]
0xfffffff009387448: 700240f9  ldr	x16, [x19]
0xfffffff00938744c: f10313aa  mov	x17, x19
0xfffffff009387450: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009387454: 301ac1da  autda	x16, x17
0xfffffff009387458: f10310aa  mov	x17, x16
0xfffffff00938745c: f147c1da  xpacd	x17
0xfffffff009387460: 1f0211eb  cmp	x16, x17
0xfffffff009387464: 40000054  b.eq	#0xfffffff00938746c
0xfffffff009387468: 408e38d4  brk	#0xc472
0xfffffff00938746c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009387470: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009387474: f62f40b9  ldr	w22, [sp, #0x2c]
0xfffffff009387478: e00313aa  mov	x0, x19
0xfffffff00938747c: 010080d2  mov	x1, #0
0xfffffff009387480: f10308aa  mov	x17, x8
0xfffffff009387484: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009387488: 31093fd7  blraa	x9, x17
0xfffffff00938748c: a80bffd0  adrp	x8, #0xfffffff0074fd000
0xfffffff009387490: 08813c91  add	x8, x8, #0xf20
0xfffffff009387494: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff009387498: f55b00a9  stp	x21, x22, [sp]
0xfffffff00938749c: a00bffd0  adrp	x0, #0xfffffff0074fd000
0xfffffff0093874a0: 00803991  add	x0, x0, #0xe60
0xfffffff0093874a4: df3ebf97  bl	#0xfffffff008357020
0xfffffff0093874a8: c841fff0  adrp	x8, #0xfffffff007bc2000
0xfffffff0093874ac: 086943f9  ldr	x8, [x8, #0x6d0]
0xfffffff0093874b0: 09210b91  add	x9, x8, #0x2c8
0xfffffff0093874b4: 086541f9  ldr	x8, [x8, #0x2c8]
0xfffffff0093874b8: e00313aa  mov	x0, x19
0xfffffff0093874bc: e10314aa  mov	x1, x20
0xfffffff0093874c0: f10309aa  mov	x17, x9
0xfffffff0093874c4: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0093874c8: 11093fd7  blraa	x8, x17
0xfffffff0093874cc: 7fb20539  strb	wzr, [x19, #0x16c]
0xfffffff0093874d0: 60ee40f9  ldr	x0, [x19, #0x1d8]
0xfffffff0093874d4: 400000b4  cbz	x0, #0xfffffff0093874dc
0xfffffff0093874d8: f0a4a997  bl	#0xfffffff007df0898
0xfffffff0093874dc: 60f240f9  ldr	x0, [x19, #0x1e0]
0xfffffff0093874e0: 400000b4  cbz	x0, #0xfffffff0093874e8
0xfffffff0093874e4: eda4a997  bl	#0xfffffff007df0898
0xfffffff0093874e8: 609240f9  ldr	x0, [x19, #0x120]
0xfffffff0093874ec: be561e94  bl	#0xfffffff009b1cfe4
0xfffffff0093874f0: 609640f9  ldr	x0, [x19, #0x128]
0xfffffff0093874f4: bc561e94  bl	#0xfffffff009b1cfe4
0xfffffff0093874f8: a2a300d1  sub	x2, x29, #0x28
0xfffffff0093874fc: e0018052  mov	w0, #0xf
0xfffffff009387500: 01409952  mov	w1, #0xca00
0xfffffff009387504: 4173a772  movk	w1, #0x3b9a, lsl #16
0xfffffff009387508: 611ca897  bl	#0xfffffff007d8e68c
0xfffffff00938750c: 74c20591  add	x20, x19, #0x170
0xfffffff009387510: 687241b9  ldr	w8, [x19, #0x170]
0xfffffff009387514: 88020034  cbz	w8, #0xfffffff009387564
0xfffffff009387518: 6e33ad97  bl	#0xfffffff007ed42d0
