; Candidate 15807
; ADRP+ADD at VM 0xfffffff009d345d8 (fileoff 0x2d305d8): page=0x1fd93a000 add_imm=0xd0e

0xfffffff009d34558: f10309aa  mov	x17, x9
0xfffffff009d3455c: b19eebf2  movk	x17, #0x5cf5, lsl #48
0xfffffff009d34560: 11093fd7  blraa	x8, x17
0xfffffff009d34564: a0040034  cbz	w0, #0xfffffff009d345f8
0xfffffff009d34568: 772f9297  bl	#0xfffffff0081c0344
0xfffffff009d3456c: 600400b4  cbz	x0, #0xfffffff009d345f8
0xfffffff009d34570: f30300aa  mov	x19, x0
0xfffffff009d34574: c1c9fed0  adrp	x1, #0xfffffff00766e000
0xfffffff009d34578: 21903391  add	x1, x1, #0xce4
0xfffffff009d3457c: e2bf0091  add	x2, sp, #0x2f
0xfffffff009d34580: e1ccc697  bl	#0xfffffff008ee7904
0xfffffff009d34584: 60000035  cbnz	w0, #0xfffffff009d34590
0xfffffff009d34588: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff009d3458c: c8020035  cbnz	w8, #0xfffffff009d345e4
0xfffffff009d34590: e8c30091  add	x8, sp, #0x30
0xfffffff009d34594: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009d34598: 00f18e3c  stur	q0, [x8, #0xef]
0xfffffff009d3459c: 008106ad  stp	q0, q0, [x8, #0xd0]
0xfffffff009d345a0: 008105ad  stp	q0, q0, [x8, #0xb0]
0xfffffff009d345a4: 008104ad  stp	q0, q0, [x8, #0x90]
0xfffffff009d345a8: 0021803d  str	q0, [x8, #0x80]
0xfffffff009d345ac: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009d345b0: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009d345b4: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009d345b8: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009d345bc: e00313aa  mov	x0, x19
0xfffffff009d345c0: 992e9297  bl	#0xfffffff0081c0024
0xfffffff009d345c4: f4c30091  add	x20, sp, #0x30
0xfffffff009d345c8: e1c30091  add	x1, sp, #0x30
0xfffffff009d345cc: e21f8052  mov	w2, #0xff
0xfffffff009d345d0: b9339297  bl	#0xfffffff0081c14b4
0xfffffff009d345d4: f40300f9  str	x20, [sp]
0xfffffff009d345d8: c0c9fed0  adrp	x0, #0xfffffff00766e000
0xfffffff009d345dc: 00383491  add	x0, x0, #0xd0e
0xfffffff009d345e0: 908a9897  bl	#0xfffffff008357020
0xfffffff009d345e4: e00313aa  mov	x0, x19
0xfffffff009d345e8: 692d9297  bl	#0xfffffff0081bfb8c
0xfffffff009d345ec: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff009d345f0: 1f010071  cmp	w8, #0
0xfffffff009d345f4: e0079f1a  cset	w0, ne
0xfffffff009d345f8: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff009d345fc: a9fefeb0  adrp	x9, #0xfffffff007d09000
0xfffffff009d34600: 290143f9  ldr	x9, [x9, #0x600]
0xfffffff009d34604: 290140f9  ldr	x9, [x9]
0xfffffff009d34608: 3f0108eb  cmp	x9, x8
0xfffffff009d3460c: 01010054  b.ne	#0xfffffff009d3462c
0xfffffff009d34610: fd7b58a9  ldp	x29, x30, [sp, #0x180]
0xfffffff009d34614: f44f57a9  ldp	x20, x19, [sp, #0x170]
0xfffffff009d34618: f65756a9  ldp	x22, x21, [sp, #0x160]
0xfffffff009d3461c: f85f55a9  ldp	x24, x23, [sp, #0x150]
0xfffffff009d34620: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff009d34624: ff430691  add	sp, sp, #0x190
0xfffffff009d34628: ff0f5fd6  retab	
0xfffffff009d3462c: 08a68097  bl	#0xfffffff007d5de4c
0xfffffff009d34630: 7f2303d5  pacibsp	
0xfffffff009d34634: ff0301d1  sub	sp, sp, #0x40
0xfffffff009d34638: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009d3463c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009d34640: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009d34644: fdc30091  add	x29, sp, #0x30
0xfffffff009d34648: f30300aa  mov	x19, x0
0xfffffff009d3464c: 55340090  adrp	x21, #0xfffffff00a3bc000
0xfffffff009d34650: b5421491  add	x21, x21, #0x510
0xfffffff009d34654: a80240b9  ldr	w8, [x21]
