; Candidate 12118
; ADRP+ADD at VM 0xfffffff009011310 (fileoff 0x200d310): page=0x1feb2b000 add_imm=0xd00

0xfffffff009011290: 10a21d91  add	x16, x16, #0x768
0xfffffff009011294: 10420091  add	x16, x16, #0x10
0xfffffff009011298: f10300aa  mov	x17, x0
0xfffffff00901129c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090112a0: 300ac1da  pacda	x16, x17
0xfffffff0090112a4: 100000f9  str	x16, [x0]
0xfffffff0090112a8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0090112ac: ff0f5fd6  retab	
0xfffffff0090112b0: 5f2403d5  bti	c
0xfffffff0090112b4: a658cb17  b	#0xfffffff0082e754c
0xfffffff0090112b8: 5f2403d5  bti	c
0xfffffff0090112bc: a458cb17  b	#0xfffffff0082e754c
0xfffffff0090112c0: 7f2303d5  pacibsp	
0xfffffff0090112c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0090112c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0090112cc: fd430091  add	x29, sp, #0x10
0xfffffff0090112d0: f30300aa  mov	x19, x0
0xfffffff0090112d4: 9e58cb97  bl	#0xfffffff0082e754c
0xfffffff0090112d8: 4059fff0  adrp	x0, #0xfffffff007b3c000
0xfffffff0090112dc: 00003491  add	x0, x0, #0xd00
0xfffffff0090112e0: e10313aa  mov	x1, x19
0xfffffff0090112e4: 02038052  mov	w2, #0x18
0xfffffff0090112e8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090112ec: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090112f0: ff2303d5  autibsp	
0xfffffff0090112f4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0090112f8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009011300
0xfffffff0090112fc: 208e38d4  brk	#0xc471
0xfffffff009011300: e758cb17  b	#0xfffffff0082e769c
0xfffffff009011304: 5f2403d5  bti	c
0xfffffff009011308: e20301aa  mov	x2, x1
0xfffffff00901130c: e10300aa  mov	x1, x0
0xfffffff009011310: 4059fff0  adrp	x0, #0xfffffff007b3c000
0xfffffff009011314: 00003491  add	x0, x0, #0xd00
0xfffffff009011318: e158cb17  b	#0xfffffff0082e769c
0xfffffff00901131c: 5f2403d5  bti	c
0xfffffff009011320: e0970090  adrp	x0, #0xfffffff00a30d000
0xfffffff009011324: 00403591  add	x0, x0, #0xd50
0xfffffff009011328: c0035fd6  ret	
0xfffffff00901132c: 7f2303d5  pacibsp	
0xfffffff009011330: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009011334: fd030091  mov	x29, sp
0xfffffff009011338: 8121ff90  adrp	x1, #0xfffffff007441000
0xfffffff00901133c: 21ec1391  add	x1, x1, #0x4fb
0xfffffff009011340: 2259ffb0  adrp	x2, #0xfffffff007b36000
0xfffffff009011344: 42a844f9  ldr	x2, [x2, #0x950]
0xfffffff009011348: 03038052  mov	w3, #0x18
0xfffffff00901134c: fb49cb97  bl	#0xfffffff0082e3b38
0xfffffff009011350: 5059ffd0  adrp	x16, #0xfffffff007b3b000
0xfffffff009011354: 10e21f91  add	x16, x16, #0x7f8
0xfffffff009011358: 10420091  add	x16, x16, #0x10
0xfffffff00901135c: f10300aa  mov	x17, x0
0xfffffff009011360: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009011364: 300ac1da  pacda	x16, x17
0xfffffff009011368: 100000f9  str	x16, [x0]
0xfffffff00901136c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009011370: ff0f5fd6  retab	
0xfffffff009011374: 7f2303d5  pacibsp	
0xfffffff009011378: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00901137c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009011380: fd430091  add	x29, sp, #0x10
0xfffffff009011384: 4059fff0  adrp	x0, #0xfffffff007b3c000
0xfffffff009011388: 00003491  add	x0, x0, #0xd00
0xfffffff00901138c: 01038052  mov	w1, #0x18
