; Candidate 16795
; ADRP+ADD at VM 0xfffffff009f64c94 (fileoff 0x2f60c94): page=0x470000 add_imm=0xe58

0xfffffff009f64c14: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f64c18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f64c1c: fd430091  add	x29, sp, #0x10
0xfffffff009f64c20: e0eefef0  adrp	x0, #0xfffffff007d43000
0xfffffff009f64c24: 00601891  add	x0, x0, #0x618
0xfffffff009f64c28: 01118052  mov	w1, #0x88
0xfffffff009f64c2c: 830a8e97  bl	#0xfffffff0082e7638
0xfffffff009f64c30: f30300aa  mov	x19, x0
0xfffffff009f64c34: 94230090  adrp	x20, #0xfffffff00a3d4000
0xfffffff009f64c38: 94623991  add	x20, x20, #0xe58
0xfffffff009f64c3c: e10314aa  mov	x1, x20
0xfffffff009f64c40: aa7c9097  bl	#0xfffffff008383ee8
0xfffffff009f64c44: d0eefe90  adrp	x16, #0xfffffff007d3c000
0xfffffff009f64c48: 10223391  add	x16, x16, #0xcc8
0xfffffff009f64c4c: 10420091  add	x16, x16, #0x10
0xfffffff009f64c50: f10300aa  mov	x17, x0
0xfffffff009f64c54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f64c58: 300ac1da  pacda	x16, x17
0xfffffff009f64c5c: 100000f9  str	x16, [x0]
0xfffffff009f64c60: e00314aa  mov	x0, x20
0xfffffff009f64c64: 34018e97  bl	#0xfffffff0082e5134
0xfffffff009f64c68: e00313aa  mov	x0, x19
0xfffffff009f64c6c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f64c70: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f64c74: ff0f5fd6  retab	
0xfffffff009f64c78: 5f2403d5  bti	c
0xfffffff009f64c7c: 9efe8d17  b	#0xfffffff0082e46f4
0xfffffff009f64c80: 5f2403d5  bti	c
0xfffffff009f64c84: 9cfe8d17  b	#0xfffffff0082e46f4
0xfffffff009f64c88: 7f2303d5  pacibsp	
0xfffffff009f64c8c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009f64c90: fd030091  mov	x29, sp
0xfffffff009f64c94: 80230090  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f64c98: 00603991  add	x0, x0, #0xe58
0xfffffff009f64c9c: 01c8fef0  adrp	x1, #0xfffffff007867000
0xfffffff009f64ca0: 21b81991  add	x1, x1, #0x66e
0xfffffff009f64ca4: c2eefe90  adrp	x2, #0xfffffff007d3c000
0xfffffff009f64ca8: 425442f9  ldr	x2, [x2, #0x4a8]
0xfffffff009f64cac: 03118052  mov	w3, #0x88
0xfffffff009f64cb0: a2fb8d97  bl	#0xfffffff0082e3b38
0xfffffff009f64cb4: d0eefeb0  adrp	x16, #0xfffffff007d3d000
0xfffffff009f64cb8: 10820891  add	x16, x16, #0x220
0xfffffff009f64cbc: 10420091  add	x16, x16, #0x10
0xfffffff009f64cc0: f10300aa  mov	x17, x0
0xfffffff009f64cc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f64cc8: 300ac1da  pacda	x16, x17
0xfffffff009f64ccc: 100000f9  str	x16, [x0]
0xfffffff009f64cd0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009f64cd4: ff0f5fd6  retab	
0xfffffff009f64cd8: 5f2403d5  bti	c
0xfffffff009f64cdc: 80230090  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f64ce0: 00603991  add	x0, x0, #0xe58
0xfffffff009f64ce4: 84fe8d17  b	#0xfffffff0082e46f4
0xfffffff009f64ce8: 7f2303d5  pacibsp	
0xfffffff009f64cec: ff4302d1  sub	sp, sp, #0x90
0xfffffff009f64cf0: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff009f64cf4: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009f64cf8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009f64cfc: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009f64d00: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009f64d04: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009f64d08: fd030291  add	x29, sp, #0x80
0xfffffff009f64d0c: f50301aa  mov	x21, x1
0xfffffff009f64d10: f40300aa  mov	x20, x0
